model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/paraphrase-albert-small-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,1300,b510e0f063cc,1,0.5577596426010132,0.5577596426010132,3.818042039871216,0.0,0.4285714328289032,0.0,0
sentence-transformers/paraphrase-albert-small-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,319,c185ddac8b5a,2,0.5281000137329102,0.5281000137329102,3.5361781120300293,0.0,0.2857142984867096,0.0,0
sentence-transformers/paraphrase-albert-small-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,2899,02494e9ed104,3,0.516995370388031,0.516995370388031,3.430647373199463,0.0,0.5714285969734192,0.0,0
sentence-transformers/paraphrase-albert-small-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4183,3d50ffa95952,4,0.5137329697608948,0.5137329697608948,3.399643898010254,0.0,0.5714285969734192,0.0,0
sentence-transformers/paraphrase-albert-small-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4062,f5cd1e11c87f,5,0.5102201104164124,0.5102201104164124,3.366260051727295,0.0,0.4285714328289032,0.0,0
sentence-transformers/paraphrase-albert-small-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,42,02d9739e2d83,6,0.5011252760887146,0.5011252760887146,3.279829263687134,0.0,0.4285714328289032,0.0,0
sentence-transformers/paraphrase-albert-small-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,7,0.49665042757987976,0.49665042757987976,3.2373032569885254,0.1666666716337204,0.4285714328289032,1.0,0
sentence-transformers/paraphrase-albert-small-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3611,a9cf3208589d,8,0.49088573455810547,0.49088573455810547,3.1825199127197266,0.0,0.4285714328289032,0.0,0
sentence-transformers/paraphrase-albert-small-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3612,4a2adc186b51,9,0.4847649931907654,0.4847649931907654,3.1243526935577393,0.0,0.4285714328289032,0.0,0
sentence-transformers/paraphrase-albert-small-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,190,1c1cad1fac03,10,0.48469725251197815,0.48469725251197815,3.123708724975586,0.0,0.4285714328289032,0.0,0
sentence-transformers/paraphrase-albert-small-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,0.5950114727020264,0.5950114727020264,4.141520977020264,0.3333333432674408,0.5,1.0,0
