q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,3,33b4e36b0d81,0.5464982390403748,2.4503345489501953,0.20000000298023224,0.1682360897391828,0.7551198070045066,1,1.3113493866171189,120,a04637eaf44a,0.4965977072715759,1.052600383758545,0.0,0.11157175065711056,0.0,1,0.32285725483135885,191,a9be4c9c15a1,0.5319325923919678,2.042344808578491,0.1818181872367859,0.23500177712287373,0.7312252964426877,1,1.0732625523452441,30,c6a87cc5d35e,0.553456723690033,2.6452443599700928,0.1428571492433548,0.2554127452163465,0.43436306516397905,0,1.2761962211393527,57,c1933354ef21,0.5138177275657654,1.5349401235580444,0.1428571492433548,0.2554127452163465,0.43436306516397905,1,0.7028253576420954,41,babe1d93de49,0.49710720777511597,1.0668717622756958,0.1666666716337204,0.45814521593713003,0.6969223808312256,1,0.49736726631626677,219,573d5b3bbb3d,0.487122118473053,0.7871853709220886,0.0,0.11157175065711056,0.0,0,0.12020771251456448,167.0,00c6f12023ab,0.49917691946029663,1.1248451471328735,0.2857142984867096,0.11157175065711056,1.0,0.0,0.5989046559615584,124.0,3b11edaeeba4,0.5065382122993469,1.331037998199463,0.1111111119389534,0.0,0.3612524502353885,0.0,0.5443043107651775,184.0,389dd43f303d,0.48902320861816406,0.8404356837272644,0.125,0.11157175065711056,0.56883934867846,0.0,0.3181108296272816
1,06d678da6c8d,prepare procedural documents,61,dc17b84d2d6b,0.5938081741333008,2.6782541275024414,0.1428571492433548,0.2554127452163465,0.4835877978296777,1,1.3409636409390622,77,9b108680399f,0.5780861973762512,2.464003801345825,0.5,0.0,1.0,1,1.327409638464451,198,edb3d68bc36f,0.5520408153533936,2.109071731567383,0.1428571492433548,0.2554127452163465,0.5866964104389011,1,1.0250720928157966,95,7c80e08ee743,0.555937647819519,2.1621756553649902,0.5,0.0,1.0,1,1.154708778858185,186,4c7ceb754866,0.5408155918121338,1.9561007022857666,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.8602807260283316,121,66497e9d2189,0.5155764818191528,1.6121560335159302,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.650702405644306,15,c5e6a1a8c44d,0.4998322129249573,1.397601842880249,0.1666666716337204,0.14384099455923594,0.38008251264002774,1,0.539130092720856,46.0,f64f2eefbcb7,0.5121371746063232,1.5652869939804077,0.0,0.2554127452163465,0.0,0.0,0.4797454190513634,167.0,00c6f12023ab,0.4547436833381653,0.7831603288650513,0.0,0.14384099455923594,0.0,0.0,0.002699654142930351,30.0,c6a87cc5d35e,0.4909090995788574,1.2760026454925537,0.20000000298023224,0.0,0.4185432430857448,0.0,0.43945467805129373
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.6895284652709961,3.990370035171509,0.1818181872367859,0.4054650386637325,0.5410330217665478,1,1.3353997741569306,81,e9ce432833f3,0.6388372182846069,3.068434000015259,0.1666666716337204,0.29389328800662196,0.6661069603241577,1,1.0783543013545762,51,6385c0e2eb2e,0.6590383052825928,3.4358367919921875,0.27272728085517883,0.29389328800662196,1.0,1,1.2837293957243128,102,f2c8cd5b27ab,0.5448242425918579,1.3585929870605469,0.07692307978868484,0.29389328800662196,0.2803772187470784,0,0.3444011103055456,9,3cdbc3929112,0.5730363130569458,1.8716939687728882,0.0833333358168602,0.4054650386637325,0.20293416593281158,1,0.5339891208576804,195,6b483cafcca2,0.5039981603622437,0.6160773038864136,0.0,0.4054650386637325,0.0,0,-0.0028794109991776493,84,c6940290ea74,0.504979133605957,0.6339185833930969,0.07692307978868484,0.29389328800662196,0.18585554800777296,0,0.06961844863645449,46.0,f64f2eefbcb7,0.4979857802391052,0.50672847032547,0.0,0.29389328800662196,0.0,0.0,-0.029389328800662196,49.0,824d3015533f,0.4992404282093048,0.5295470952987671,0.0,0.29389328800662196,0.0,0.0,-0.021529057191273904,,,,,,,,,
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.8418434858322144,4.9334845542907715,0.27272728085517883,0.0,1.0,1,1.4954545557498933,30,c6a87cc5d35e,0.6028317809104919,1.2017475366592407,0.25,0.4236488349555293,0.7227864663262495,1,0.3813366941517554,4,9fc64a999e12,0.6067798733711243,1.2633898258209229,0.07692307978868484,0.0,0.24508049066047397,1,0.3020102801924363,103,6680fc36f234,0.6830798387527466,2.454676389694214,0.20000000298023224,0.1682360897391828,0.6637841295013728,1,0.7268852006644002,84,c6940290ea74,0.5872066617012024,0.957789421081543,0.09090909361839294,0.1682360897391828,0.2863316623558012,1,0.21356030370680917,184,389dd43f303d,0.5828315615653992,0.8894801139831543,0.2222222238779068,0.27980784039629336,0.7247805089690667,1,0.3135710207916484,46,f64f2eefbcb7,0.5658999085426331,0.6251229047775269,0.09090909361839294,0.1682360897391828,0.47149891070466704,1,0.17812774934088338,115.0,830e9df61ddd,0.5975980162620544,1.120031714439392,0.0,0.27980784039629336,0.0,1.0,0.1630123770873419,38.0,a3c08ed1a115,0.6653650403022766,2.178091526031494,0.0833333358168602,0.07707532800886907,0.48805468479924696,1.0,0.6174891601430834,61.0,dc17b84d2d6b,0.5839414596557617,0.9068092107772827,0.09090909361839294,0.1682360897391828,0.2863316623558012,1.0,0.19961744829653133
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",199,0d99df7b9f80,0.6693296432495117,3.3619937896728516,0.1818181872367859,0.07707532800886907,0.8768824657917131,1,1.4689935784299666,61,dc17b84d2d6b,0.581507682800293,1.8925873041152954,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.6878257348433288,142,c71cb5036aef,0.6262766718864441,2.641646385192871,0.1666666716337204,0.0,1.0,1,1.2190938577055932,27,88a991273442,0.5312609672546387,1.0518766641616821,0.10000000149011612,0.27980784039629336,0.5542711270971936,1,0.40309341289876144,3,33b4e36b0d81,0.6067798733711243,2.3154327869415283,0.07692307978868484,0.0,0.25027679688765847,1,0.8707167008132763,63,50171927f859,0.5396245718002319,1.191813588142395,0.07692307978868484,0.0,0.35121644979786815,0,0.37969469411990625,103,6680fc36f234,0.582589864730835,1.910693883895874,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.6954026698365958,115.0,830e9df61ddd,0.571674108505249,1.7280552387237549,0.10000000149011612,0.27980784039629336,0.5900009613842612,1.0,0.6963315435125357,17.0,e1dbddbff402,0.5152438879013062,0.7838844060897827,0.0,0.27980784039629336,0.0,1.0,0.1265829886387459,16.0,6e6ec1a475b8,0.5399500131607056,1.197258710861206,0.09090909361839294,0.1682360897391828,0.29240259438360094,1.0,0.3968577414050849
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.6433030366897583,2.77284574508667,0.125,0.11157175065711056,0.4243632379262217,1,1.3411517933319232,162,957f012e4031,0.6133853197097778,2.379950761795044,0.1666666716337204,0.14384099455923594,1.0,1,1.2996713344134383,127,3d77dabe7560,0.6383780837059021,2.7081687450408936,0.1428571492433548,0.0,0.46335877870863124,1,1.3269469228248163,189,a49d5a99c1d7,0.5325720310211182,1.3186686038970947,0.0,0.0,0.0,0,0.42867250740528107,138,ef5aeb4ce41e,0.5492900609970093,1.5382184982299805,0.0,0.14384099455923594,0.0,1,0.580742480245977,68,7a9450b42a26,0.5002759695053101,0.8945399522781372,0.1428571492433548,0.0,0.46335877870863124,1,0.38786285860939457,75,f634ee56b726,0.5696104764938354,1.8050767183303833,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,0.8562895502425529,129.0,06f6e71fddcf,0.5459797382354736,1.4947456121444702,0.0,0.0,0.0,1.0,0.5720675989985466,161.0,f1f35b083d3a,0.5256149768829346,1.2273049354553223,0.0,0.11157175065711056,0.0,1.0,0.41905403667525953,125.0,12a1310a48ad,0.47676101326942444,0.5857293009757996,0.0,0.11157175065711056,0.0,0.0,0.028748238919541324
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.7085885405540466,3.617737293243408,0.375,0.09116076173031373,1.0,1,1.4658839238269687,141,dbc0d59bd942,0.5137485265731812,1.476514220237732,0.2222222238779068,0.09116076173031373,0.6219592058133134,1,0.5807129354899004,204,62b52b411f3a,0.6250619292259216,2.6998093128204346,0.25,0.2027325123874243,0.7370548607343586,1,1.0585500547684685,59,da6e8742f6bf,0.5805111527442932,2.210211992263794,0.25,0.2027325123874243,0.6211695670957962,1,0.8412147691776246,181,49ccfbfcfc0a,0.5505481958389282,1.8809295892715454,0.1111111119389534,0.2027325123874243,0.47072232479609577,1,0.6854259890725152,209,2ac9980eb5e6,0.5158432722091675,1.4995347261428833,0.09090909361839294,0.0,0.24906489358216158,1,0.49481074618062265,182,8729852fc4b8,0.48855072259902954,1.1995991468429565,0.0,0.0,0.0,1,0.30907689332962035,126.0,ebdb003908ef,0.44932830333709717,0.7685586214065552,0.2222222238779068,0.09116076173031373,0.6219592058133134,1.0,0.3154426445936038,10.0,365ec2897755,0.482554167509079,1.1336991786956787,0.10000000149011612,0.09116076173031373,0.3519334053455243,0.0,0.32600788093816185,160.0,56c85bc2a8f3,0.4740750193595886,1.0405162572860718,0.1111111119389534,0.2027325123874243,0.29483898213239673,1.0,0.31170310580622906
7,bfcc3cdee21d,devise research or testing protocols,150,3ffc9e8eaffb,0.4805796146392822,2.5025486946105957,0.0,0.0,0.0,1,1.1948788195848465,76,298036041aa4,0.4838862419128418,2.5985043048858643,0.0,0.11157175065711056,0.0,0,1.1888428279145211,158,16ac0e74dbe1,0.47830820083618164,2.4366343021392822,0.0,0.0,0.0,1,1.157014536857605,195,6b483cafcca2,0.47688454389572144,2.3953208923339844,0.0,0.0,0.0,0,1.0832822769880295,46,f64f2eefbcb7,0.4604218900203705,1.917588233947754,0.0,0.11157175065711056,0.0,0,0.7976939924939127,59,da6e8742f6bf,0.4470447301864624,1.5293940305709839,0.1428571492433548,0.0,0.7279980425438168,0,0.790305517447021,134,469df54e4928,0.4386349320411682,1.285348653793335,0.0,0.4054650386637325,0.0,0,0.40511790195638064,188.0,be19a52818cf,0.4137688875198364,0.5637564659118652,0.125,0.11157175065711056,1.0,0.0,0.31934337848262495,145.0,7809c19536e4,0.4320681691169739,1.094786524772644,0.0,0.27980784039629336,0.0,0.0,0.3082162345837227,17.0,e1dbddbff402,0.41190028190612793,0.5095310807228088,0.0,0.0,0.0,0.0,0.0
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,148,253c9a1feb09,0.661684513092041,2.9532721042633057,0.0714285746216774,0.34657354027998,0.3971492778525809,1,1.3202017188737893,175,825fff3275ff,0.6214144825935364,2.426497220993042,0.0714285746216774,0.34657354027998,0.2791607921593588,1,1.0256361906600242,72,91e3b64a6f04,0.6333221793174744,2.5822625160217285,0.0625,0.1783374505407972,0.3399328564670396,1,1.1388375189704971,92,3f67b920ee49,0.5378925800323486,1.3339415788650513,0.06666667014360428,0.25541277854966626,0.30226484596362396,1,0.5044674864407028,176,62eda05f366c,0.6016285419464111,2.1676759719848633,0.07692307978868484,0.45814529093709055,0.43364407635795327,1,0.9327453687971784,9,3cdbc3929112,0.47744661569595337,0.5432440042495728,0.27272728085517883,0.45814529093709055,1.0,0,0.25418547090629096,174,003763627ff4,0.5366133451461792,1.3172078132629395,0.06666667014360428,0.25541277854966626,0.20334964494839133,1,0.4665534184609621,159.0,3319e1abdfb1,0.5864362716674805,1.9689449071884155,0.0714285746216774,0.34657354027998,0.3971492778525809,1.0,0.8359207302997612,94.0,832ecabbf00a,0.6142116785049438,2.3322768211364746,0.0714285746216774,0.34657354027998,0.2791607921593588,1.0,0.9792804812264686,180.0,893bb3cbc01a,0.4784214198589325,0.5559954643249512,0.0,0.34657354027998,0.0,1.0,0.02169185555164114
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.7202827334403992,2.691859006881714,0.3333333432674408,0.0,1.0,1,1.3858243510127068,21,c9b70de179fe,0.7334917187690735,2.8929080963134766,0.1428571492433548,0.0,0.4600056990490311,1,1.3594302858265028,195,6b483cafcca2,0.6114670038223267,1.035614252090454,0.1428571492433548,0.0,0.5399943009509689,1,0.45235939593595403,84,c6940290ea74,0.6286112666130066,1.2965607643127441,0.2857142984867096,0.11157175065711056,0.7852673921958094,1,0.6365444905138311,59,da6e8742f6bf,0.6844784021377563,2.1468942165374756,0.1428571492433548,0.0,0.5091386755288673,1,1.0001909902686188,29,ef7349785e11,0.6594897508621216,1.7665510177612305,0.0,0.0,0.0,1,0.6715816959738732,192,8562bf3caec4,0.6193503737449646,1.1556041240692139,0.125,0.11157175065711056,0.3639750440568452,1,0.449463991451151,46.0,f64f2eefbcb7,0.6837252378463745,2.1354305744171143,0.125,0.11157175065711056,0.4212923481389641,1.0,0.959346899755903,185.0,7b03e0901b8c,0.6355564594268799,1.402271032333374,0.125,0.11157175065711056,0.4662903711526754,1.0,0.6041905058406195,182.0,8729852fc4b8,0.6286417245864868,1.2970243692398071,0.25,0.2027325123874243,0.8447488584474884,1.0,0.6477642650379796
