model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.00967502117157,0.49665042757987976,3.2373032569885254,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4515,4a1caf119652,2,0.5985962402820587,0.2604787349700928,0.9928949475288391,0.0,0.7142857313156128,0.45632249116897583,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,3,0.6329919648170471,0.2880270779132843,1.2546948194503784,0.0,0.5714285969734192,0.5206381678581238,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3229,095a703ccc5d,4,0.5572179508209228,0.41511663794517517,2.462463855743408,0.0,0.4285714328289032,0.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3917,d23e50a9caf6,5,0.5659073841571808,0.3641130328178406,1.9777618646621704,0.0,1.0,0.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4503,8c63b2397fed,6,0.6237841796875,0.45511114597320557,2.842543601989746,0.0,0.7142857313156128,0.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,1855,20dc1dc3600c,7,0.595368857383728,0.305997371673584,1.4254717826843262,0.0,0.7777777910232544,0.3054102659225464,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,319,c185ddac8b5a,8,0.6502664041519165,0.5281000137329102,3.5361781120300293,0.0,0.2857142984867096,0.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4058,74fe0528c27f,9,0.5964575409889221,0.29878565669059753,1.3569368124008179,0.1111111119389534,0.8571428656578064,0.6006578207015991,0
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4492,77bb92ac8bda,10,0.5761310410499573,0.435025155544281,2.651660442352295,0.0,0.4285714328289032,0.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.135260934829712,0.5950114727020264,4.141520977020264,0.3333333432674408,0.5,1.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,1.0091984820365907,0.5096023082733154,3.3572187423706055,0.25,0.75,0.8359322547912598,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,3213,e73f40d83ac6,3,0.5931443226337433,0.4629589319229126,2.9288980960845947,0.0,0.3333333432674408,0.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,2894,cf18143d1067,4,0.5924725484848022,0.39207637310028076,2.277991771697998,0.0,1.0,0.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,3270,8b34e22b3caa,5,0.5992532622814178,0.399213969707489,2.3435356616973877,0.0,1.0,0.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,2687,63e153a526cc,6,0.5883009386062622,0.38768520951271057,2.237668037414551,0.0,1.0,0.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4233,b87ab72bb352,7,0.5657345008850098,0.3902468681335449,2.2611916065216064,0.0,0.75,0.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,8,0.7746596884727478,0.38623476028442383,2.224348783493042,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,3983,1292506f4417,9,0.6246373605728149,0.4259340763092041,2.5889031887054443,0.0,1.0,0.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,1793,8ae36371368b,10,0.5648099732398987,0.38927364349365234,2.2522544860839844,0.0,0.75,0.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,0.9822843027114868,0.4798673987388611,2.9513957500457764,0.2222222238779068,0.23076923191547394,1.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5212,4560445c4d7f,2,0.743846173286438,0.3667629361152649,1.96235990524292,0.10000000149011612,0.23076923191547394,0.6781270503997803,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1719,2af2d91166d4,3,0.7740529727935791,0.32819175720214844,1.625076413154602,0.10000000149011612,0.23076923191547394,0.8691253662109375,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4045,3837c62f004b,4,0.7511188340187073,0.3417060971260071,1.7432518005371094,0.0833333358168602,0.38461539149284363,0.730104386806488,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1607,6544768291be,5,0.7696596932411194,0.38571304082870483,2.128068208694458,0.10000000149011612,0.23076923191547394,0.7004439830780029,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",144,c5c6e125b314,6,0.6954638910293579,0.3705710470676422,1.9956597089767456,0.03703703731298447,0.4333333373069763,0.4986642599105835,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",988,3b90c12a006f,7,0.7321219396591186,0.38297271728515625,2.1041054725646973,0.09090909361839294,0.3076923191547394,0.582549512386322,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2978,c05f6c233521,8,0.7758886170387268,0.37749049067497253,2.056166410446167,0.1111111119389534,0.1538461595773697,0.7577754855155945,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2912,65b13af81036,9,0.7528713297843933,0.36804109811782837,1.973536729812622,0.10000000149011612,0.23076923191547394,0.7004439830780029,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3303,8dee13915ca0,10,0.8598850917816162,0.587072491645813,3.8888447284698486,0.07692307978868484,0.6153846383094788,0.3116838037967682,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3215,d4793dfe8103,1,1.0989050221443177,0.5792301893234253,3.126361846923828,0.10000000149011612,0.6363636255264282,1.0,1
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3978,6918d9132472,2,1.021005804538727,0.5422466993331909,2.8266239166259766,0.125,0.27272728085517883,0.9709965586662292,1
