query_text,cand_text,label
train personnel on proper operational procedures,conduct employee training programs,positive
train personnel on proper operational procedures,instruct college students in physical or life sciences,positive
train personnel on proper operational procedures,prepare proposal documents,negative
train personnel on proper operational procedures,"purchase materials, equipment, or other resources",negative
prepare procedural documents,document organizational or operational procedures,positive
prepare procedural documents,"prepare contracts, disclosures, or applications",positive
prepare procedural documents,operate industrial equipment,negative
prepare procedural documents,recruit personnel,negative
design medical devices or appliances,design electromechanical equipment or systems,positive
design medical devices or appliances,design industrial equipment,positive
design medical devices or appliances,direct operational or production activities,negative
design medical devices or appliances,supervise employees,negative
conduct environmental audits,monitor activities affecting environmental quality,positive
conduct environmental audits,analyze environmental regulations to ensure organizational compliance,positive
conduct environmental audits,"direct sales, marketing, or customer service activities",negative
conduct environmental audits,"interview employees, customers, or others to collect information",negative
develop operational methods or processes that use green materials or emphasize sustainability,develop sustainable business strategies or practices,positive
develop operational methods or processes that use green materials or emphasize sustainability,implement transportation changes to reduce environmental impact,positive
develop operational methods or processes that use green materials or emphasize sustainability,manage human resources activities,negative
develop operational methods or processes that use green materials or emphasize sustainability,fabricate devices or components,negative
estimate operational costs,estimate labor requirements,positive
estimate operational costs,estimate time requirements for development or production projects,positive
estimate operational costs,research genetic characteristics or expression,negative
estimate operational costs,install production equipment or systems,negative
supervise engineering or other technical personnel,supervise production or support personnel,positive
supervise engineering or other technical personnel,supervise scientific or technical personnel,positive
supervise engineering or other technical personnel,prepare financial documents,negative
supervise engineering or other technical personnel,analyze chemical compounds or substances,negative
research engineering aspects of biological or chemical processes,research microbiological or chemical processes or structures,positive
research engineering aspects of biological or chemical processes,research engineering applications of emerging technologies,positive
research engineering aspects of biological or chemical processes,manage inventories of products or organizational resources,negative
research engineering aspects of biological or chemical processes,negotiate labor disputes,negative
develop software or computer applications,develop business or financial information systems,positive
develop software or computer applications,program robotic equipment,positive
develop software or computer applications,hire personnel,negative
develop software or computer applications,administer standardized physical or psychological tests,negative
evaluate quality of materials or products,test quality of materials or finished products,positive
evaluate quality of materials or products,inspect finished products to locate flaws,positive
evaluate quality of materials or products,"direct organizational operations, projects, or services",negative
evaluate quality of materials or products,perform marketing activities,negative
"recommend technical design or process changes to improve efficiency, quality, or performance",recommend organizational process or policy changes,positive
"recommend technical design or process changes to improve efficiency, quality, or performance",research human performance or health factors related to engineering or design activities,positive
"recommend technical design or process changes to improve efficiency, quality, or performance",analyze logistics processes,negative
"recommend technical design or process changes to improve efficiency, quality, or performance",research diseases or parasites,negative
confer with technical personnel to prepare designs or operational plans,evaluate technical data to determine effect on designs or plans,positive
confer with technical personnel to prepare designs or operational plans,confer with other personnel to resolve design or operational problems,positive
confer with technical personnel to prepare designs or operational plans,devise research or testing protocols,negative
confer with technical personnel to prepare designs or operational plans,direct industrial production activities,negative
"communicate technical information to suppliers, contractors, or regulatory agencies","explain engineering drawings, specifications, or other technical information",positive
"communicate technical information to suppliers, contractors, or regulatory agencies","coordinate activities with suppliers, contractors, clients, or other departments",positive
"communicate technical information to suppliers, contractors, or regulatory agencies",approve expenditures,negative
"communicate technical information to suppliers, contractors, or regulatory agencies",research industrial processes or operations,negative
develop technical methods or processes,develop technical specifications for systems or equipment,positive
develop technical methods or processes,develop specifications for new products or processes,positive
develop technical methods or processes,prepare operational budgets,negative
develop technical methods or processes,advise others on logistics topics,negative
create models of engineering designs or methods,research advanced engineering designs or applications,positive
create models of engineering designs or methods,create physical models or prototypes,positive
create models of engineering designs or methods,perform human resources activities,negative
create models of engineering designs or methods,represent the organization in external relations,negative
maintain operational records or records systems,monitor facilities or operational systems,positive
maintain operational records or records systems,maintain personnel records,positive
maintain operational records or records systems,assist engineers or scientists with research,negative
maintain operational records or records systems,develop biological research methods,negative
prepare detailed work plans,review technical documents to plan work,positive
prepare detailed work plans,prepare technical reports for internal use,positive
prepare detailed work plans,maintain laboratory or technical equipment,negative
prepare detailed work plans,operate laboratory or field equipment,negative
update technical knowledge,review details of technical drawings or specifications,positive
update technical knowledge,provide technical guidance to other personnel,positive
update technical knowledge,direct facility maintenance or repair activities,negative
