q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,37,78a6d412d86e,0.5226098299026489,2.9972710609436035,0.2222222238779068,0.09116076173031373,1.0,1,1.2832523930942357,40,f64df278da5d,0.586201548576355,3.9992516040802,0.0,0.11157175065711056,0.0,1,1.1832642284607366,3,33b4e36b0d81,0.4120952785015106,1.2559528350830078,0.20000000298023224,0.1682360897391828,0.6090768487392924,0,0.7244445303488972,57,c1933354ef21,0.4227140545845032,1.423267126083374,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,0.7116772768763768,114,98e7b9000779,0.41576486825942993,1.3137725591659546,0.1666666716337204,0.45814521593713003,0.562135019628792,1,0.7299108185675853,151,506120811a05,0.4530777335166931,1.9016913175582886,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,0.8127233920363652,103,6680fc36f234,0.37689730525016785,0.7013573050498962,0.1111111119389534,0.0,0.42020984140568113,1,0.6243720126811325,191,a9be4c9c15a1,0.3909868896007538,0.9233592748641968,0.1818181872367859,0.23500177712287373,0.5898036247287963,1,0.6896839408340536,107,750257b28f11,0.3833119571208954,0.8024294972419739,0.0,0.11157175065711056,0.0,1,0.490873406586595,167,00c6f12023ab,0.34889110922813416,0.2600787580013275,0.2857142984867096,0.11157175065711056,0.8065963084128944,0,0.5888143468096935
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.7685825824737549,3.8570785522460938,0.5,0.0,1.0,1,1.4499999895691873,95,7c80e08ee743,0.7037163972854614,3.2619316577911377,0.5,0.0,1.0,1,1.3226861447095872,167,00c6f12023ab,0.5855053663253784,2.1773462295532227,0.0,0.14384099455923594,0.0,1,0.7848738631423552,30,c6a87cc5d35e,0.5438142418861389,1.794830322265625,0.20000000298023224,0.0,0.4185432430857448,1,0.8401251547400068,61,dc17b84d2d6b,0.49472570419311523,1.3444433212280273,0.1428571492433548,0.2554127452163465,0.4835877978296777,1,0.7283047592256278,15,c5e6a1a8c44d,0.4662623107433319,1.0832918882369995,0.1666666716337204,0.14384099455923594,0.38008251264002774,1,0.6470769318359076,35,e19513a85bed,0.4783393144607544,1.1940982341766357,0.20000000298023224,0.0,0.4185432430857448,1,0.7042732499901365,17,e1dbddbff402,0.3968084454536438,0.44605305790901184,0.1666666716337204,0.14384099455923594,0.38008251264002774,1,0.5021037171201883,151,506120811a05,0.4695252776145935,1.113229513168335,0.0,0.0,0.0,1,0.5571346238255501,185,7b03e0901b8c,0.416667103767395,0.6282561421394348,0.0,0.2554127452163465,0.0,1,0.40519672367887843
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.6047323346138,3.626011610031128,0.1818181872367859,0.4054650386637325,0.5410330217665478,1,1.2921781613911425,51,6385c0e2eb2e,0.5117775201797485,2.371760606765747,0.27272728085517883,0.29389328800662196,1.0,1,1.161643302376533,145,7809c19536e4,0.502807080745697,2.2507212162017822,0.06666667014360428,0.12565719826743915,0.15907974871851754,1,0.893857521612856,102,f2c8cd5b27ab,0.49541983008384705,2.1510441303253174,0.07692307978868484,0.29389328800662196,0.2803772187470784,1,0.8857715773620635,198,edb3d68bc36f,0.46330326795578003,1.7176913022994995,0.07692307978868484,0.29389328800662196,0.18585554800777296,1,0.7490076815919922,81,e9ce432833f3,0.3464387357234955,0.14082348346710205,0.1666666716337204,0.29389328800662196,0.6661069603241577,1,0.5350658035150792,89,b03b706832f2,0.43559500575065613,1.3438202142715454,0.0,0.20273252627630822,0.0,1,0.6161631087938253,9,3cdbc3929112,0.4466407895088196,1.4928624629974365,0.0833333358168602,0.4054650386637325,0.20293416593281158,0,0.6337527818891793,55,4805101e52c6,0.38283291459083557,0.6318947076797485,0.07692307978868484,0.29389328800662196,0.34345305712870267,0,0.4943856503237729,98,207462e43a8e,0.3998573422431946,0.8616074919700623,0.06666667014360428,0.12565719826743915,0.15907974871851754,0,0.5109056182696554
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.6070749759674072,2.6783602237701416,0.27272728085517883,0.0,0.99530758268517,1,1.4938121977687737,145,7809c19536e4,0.5736575722694397,2.1923084259033203,0.27272728085517883,0.0,1.0,1,1.3616865664720537,15,c5e6a1a8c44d,0.5739929676055908,2.1971867084503174,0.2222222238779068,0.27980784039629336,0.8812522236029512,1,1.2883761930781683,83,4ffdd533affb,0.5728203654289246,2.180131435394287,0.10000000149011612,0.27980784039629336,0.45208944765912534,1,1.154816739178951,186,4c7ceb754866,0.49508553743362427,1.0494885444641113,0.20000000298023224,0.1682360897391828,0.6227890661610791,1,0.8985010255822838,98,207462e43a8e,0.5446993112564087,1.7711143493652344,0.07692307978868484,0.0,0.2439304707225717,1,1.0113788854302759,12,9251af4a3821,0.4926106631755829,1.0134917497634888,0.20000000298023224,0.1682360897391828,0.6606693773587912,1,0.9017208182516356,61,dc17b84d2d6b,0.5231220722198486,1.4572762250900269,0.09090909361839294,0.1682360897391828,0.28498807470557874,1,0.90911441075107,46,f64f2eefbcb7,0.5053256750106812,1.1984299421310425,0.09090909361839294,0.1682360897391828,0.46928644105215295,1,0.9000161402290277,10,365ec2897755,0.491601824760437,0.9988183379173279,0.09090909361839294,0.1682360897391828,0.41404231592543655,1,0.8239213389822843
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.5567910075187683,3.576502799987793,0.1666666716337204,0.0,1.0,1,1.5166666597127916,154,17f9d29c543d,0.4665997624397278,2.2096004486083984,0.1666666716337204,0.0,0.6014932466855267,1,1.0613368849613982,199,0d99df7b9f80,0.5032651424407959,2.7652862071990967,0.1818181872367859,0.07707532800886907,0.8768824657917131,1,1.2720434321986864,198,edb3d68bc36f,0.42850059270858765,1.6321847438812256,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.8035507626679226,27,88a991273442,0.3617009222507477,0.6197956800460815,0.10000000149011612,0.27980784039629336,0.5542711270971936,0,0.5906547016580256,53,a68e486bae8e,0.4100832939147949,1.3530595302581787,0.0,0.07707532800886907,0.0,1,0.6593273139630946,186,4c7ceb754866,0.39585503935813904,1.137421727180481,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.6376738868501468,116,1cf7420e0aac,0.3701258897781372,0.747481107711792,0.0833333358168602,0.07707532800886907,0.4682199018857571,1,0.6721853918648546,113,322cdff981bb,0.4021112620830536,1.232238531112671,0.0833333358168602,0.07707532800886907,0.3784798271794378,1,0.7544619661772185,3,33b4e36b0d81,0.38369154930114746,0.9530767798423767,0.07692307978868484,0.0,0.25027679688765847,0,0.6062690695172746
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.7175503969192505,3.2562332153320312,0.125,0.11157175065711056,0.4243632379262217,1,1.3067913557744497,155,f6d7dbe3f71e,0.6149582862854004,2.200765371322632,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,1.067362369235954,162,957f012e4031,0.5259577631950378,1.2851277589797974,0.1666666716337204,0.14384099455923594,1.0,1,1.0164188629206259,127,3d77dabe7560,0.6644779443740845,2.71022367477417,0.1428571492433548,0.0,0.46335877870863124,1,1.2004433966017853,75,f634ee56b726,0.5763775110244751,1.8038462400436401,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,0.9709728669490428,60,90e3d91fbf4d,0.5616966485977173,1.652809500694275,0.1111111119389534,0.2027325123874243,0.3914217993657387,1,0.8911088066513364,219,573d5b3bbb3d,0.4977174401283264,0.994591236114502,0.0,0.0,0.0,1,0.634378369152546,73,a40c650a049f,0.5121767520904541,1.1433486938476562,0.0,0.27980784039629336,0.0,1,0.6296104603097844,147,a2140782858a,0.4149330258369446,0.14290493726730347,0.125,0.11157175065711056,0.4243632379262217,1,0.5450952406383033,63,50171927f859,0.48596662282943726,0.8736987709999084,0.10000000149011612,0.27980784039629336,0.36322616127583385,1,0.6796646792339149
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.7765964269638062,4.208022594451904,0.375,0.09116076173031373,1.0,1,1.461325873819524,204,62b52b411f3a,0.6231990456581116,2.5266640186309814,0.25,0.2027325123874243,0.7370548607343586,1,1.0325740643295414,59,da6e8742f6bf,0.6200014352798462,2.4916155338287354,0.25,0.2027325123874243,0.6211695670957962,1,0.9848228888121521,141,dbc0d59bd942,0.5340931415557861,1.549991488456726,0.2222222238779068,0.09116076173031373,0.6219592058133134,1,0.8114314293951003,214,fc824bfe7bf0,0.49632561206817627,1.1360290050506592,0.10000000149011612,0.09116076173031373,0.4049996907988265,1,0.6605661606086309,181,49ccfbfcfc0a,0.4980214834213257,1.1546170711517334,0.1111111119389534,0.2027325123874243,0.47072232479609577,1,0.6697947468824514,183,ff9c96c6d776,0.4531649947166443,0.6629538536071777,0.09090909361839294,0.0,0.24906489358216158,1,0.5205650243863897,218,2f93e8f923e8,0.47584444284439087,0.9115388989448547,0.0,0.09116076173031373,0.0,1,0.47920083889120213,9,3cdbc3929112,0.45357757806777954,0.6674761176109314,0.1111111119389534,0.2027325123874243,0.3263305849633995,0,0.4667808399430563,7,bfcc3cdee21d,0.47124502062797546,0.8611255288124084,0.1111111119389534,0.2027325123874243,0.29483898213239673,1,0.5464955734239461
7,bfcc3cdee21d,devise research or testing protocols,141,dbc0d59bd942,0.5807905197143555,1.9804731607437134,0.125,0.11157175065711056,0.666730880547555,1,1.2166210022476263,214,fc824bfe7bf0,0.5463796854019165,1.5131078958511353,0.125,0.11157175065711056,1.0,1,1.1956952599262671,220,7cd42be784e2,0.6245636343955994,2.57499623298645,0.0,0.11157175065711056,0.0,1,1.1832642284607366,59,da6e8742f6bf,0.5558948516845703,1.6423420906066895,0.1428571492433548,0.0,0.7279980425438168,1,1.1525707955698479,56,269bfa3db5c6,0.6049578189849854,2.308711528778076,0.0,0.11157175065711056,0.0,1,1.103141012546964,205,45b6fa08d56b,0.5282946825027466,1.2674788236618042,0.1666666716337204,0.14384099455923594,0.8016645111345602,1,1.043653599422416,160,56c85bc2a8f3,0.53955078125,1.4203583002090454,0.1428571492433548,0.0,0.7279980425438168,1,1.0874368663172234,173,49c0d2367c5d,0.5180368423461914,1.128157615661621,0.125,0.11157175065711056,0.666730880547555,1,0.965740231862361,158,16ac0e74dbe1,0.5597026944160461,1.69405996799469,0.0,0.0,0.0,1,0.9349323391914368,124,3b11edaeeba4,0.5867446660995483,2.0613420009613037,0.0,0.11157175065711056,0.0,1,1.0287091312384085
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,9,3cdbc3929112,0.5453643202781677,2.870131731033325,0.27272728085517883,0.45814529093709055,1.0,1,1.4267327501884008,94,832ecabbf00a,0.515148401260376,2.43046498298645,0.0714285746216774,0.34657354027998,0.2791607921593588,1,1.1098176834763136,48,23ca56c5d573,0.5201095342636108,2.5026535987854004,0.1666666716337204,0.45814529093709055,0.6626296285525629,1,1.2299213747003066,139,80c1c070d6f0,0.4228295683860779,1.0871496200561523,0.0714285746216774,0.34657354027998,0.3384517146224187,1,0.7589929885180264,72,91e3b64a6f04,0.4133627116680145,0.9493990540504456,0.0625,0.1783374505407972,0.3399328564670396,1,0.7475937140681589,182,8729852fc4b8,0.437259316444397,1.2971144914627075,0.1428571492433548,0.25541277854966626,0.5597556222932607,1,0.8993895927439195,175,825fff3275ff,0.4869704842567444,2.0204529762268066,0.0714285746216774,0.34657354027998,0.2791607921593588,1,0.9964036343277541,174,003763627ff4,0.4335974454879761,1.2438311576843262,0.06666667014360428,0.25541277854966626,0.20334964494839133,0,0.7192964713367627,148,253c9a1feb09,0.39764177799224854,0.7206465005874634,0.0714285746216774,0.34657354027998,0.3971492778525809,0,0.6281581508992661,57,c1933354ef21,0.38294315338134766,0.5067693591117859,0.1818181872367859,0.6019862854963265,0.6591046042245914,0,0.6130001853682541
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.7689198851585388,3.685126781463623,0.3333333432674408,0.0,1.0,1,1.4833333134651185,84,c6940290ea74,0.5790575742721558,1.531994104385376,0.2857142984867096,0.11157175065711056,0.7852673921958094,1,0.9170839280353881,195,6b483cafcca2,0.6156210899353027,1.946642518043518,0.1428571492433548,0.0,0.5399943009509689,1,0.9595166316055175,49,824d3015533f,0.6104677319526672,1.8882008790969849,0.2857142984867096,0.11157175065711056,0.8875827192916397,1,1.0329459083531647,198,edb3d68bc36f,0.6258712410926819,2.0628843307495117,0.125,0.11157175065711056,0.3639750440568452,1,0.9103605194343359,8,04d0abdf0b41,0.5453643202781677,1.1498959064483643,0.27272728085517883,0.45814529093709055,0.9727897385813257,1,0.8461037530035789,10,365ec2897755,0.5647495985031128,1.3697346448898315,0.125,0.11157175065711056,0.4945492360194517,1,0.795705978293764,182,8729852fc4b8,0.6155760288238525,1.9461314678192139,0.25,0.2027325123874243,0.8447488584474884,1,1.0218873709316523,204,62b52b411f3a,0.4779410660266876,0.3852829039096832,0.3333333432674408,0.0,1.0,1,0.7482104949653149,46,f64f2eefbcb7,0.5511033535003662,1.2149794101715088,0.125,0.11157175065711056,0.4212923481389641,1,0.7342645078489326
