model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4258,2edf95aa0513,1,0.5616670846939087,0.5616670846939087,5.871616840362549,0.0,0.5714285969734192,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4743,80198c4e31ae,2,0.4808679521083832,0.4808679521083832,4.862895965576172,0.0,0.5714285969734192,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,396,d0d62d040f36,3,0.4673765301704407,0.4673765301704407,4.694464683532715,0.0,0.5714285969734192,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3050,c06738d7cb15,4,0.4652685523033142,0.4652685523033142,4.668148040771484,0.0,0.7142857313156128,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,1844,3e122c78f945,5,0.46336010098457336,0.46336010098457336,4.644322872161865,0.0,0.5714285969734192,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,2895,dc0618053a41,6,0.43927252292633057,0.43927252292633057,4.3436055183410645,0.0,0.5714285969734192,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4835,5a0ef39818c8,7,0.4355756640434265,0.4355756640434265,4.297452926635742,0.0,0.5714285969734192,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,1559,05649ee43189,8,0.4326001703739166,0.4326001703739166,4.260306358337402,0.0,0.4285714328289032,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,2479,8cee47cceb1c,9,0.43200480937957764,0.43200480937957764,4.252873420715332,0.0,0.4285714328289032,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3118,59f5656c9b57,10,0.429679274559021,0.429679274559021,4.223840713500977,0.0,0.4285714328289032,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,758,077b37efd178,1,0.675433874130249,0.675433874130249,6.446132183074951,0.0,1.0,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,4856,8854c5efcfea,2,0.6477803587913513,0.6477803587913513,6.11163330078125,0.0,0.75,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,3757,0c29bb383513,3,0.61752849817276,0.61752849817276,5.7457051277160645,0.0,0.75,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,4767,501c21443889,4,0.6022402048110962,0.6022402048110962,5.560777187347412,0.0,0.5,0.0,0
