q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,37,78a6d412d86e,0.6296172142028809,2.421759843826294,0.2222222238779068,0.09116076173031373,1.0,1,1.4748131049259068,41,babe1d93de49,0.5975903868675232,1.910580039024353,0.1666666716337204,0.45814521593713003,0.562135019628792,1,1.1407733798743716,103,6680fc36f234,0.6446065902709961,2.6610052585601807,0.1111111119389534,0.0,0.42020984140568113,1,1.374851226574546,46,f64f2eefbcb7,0.6325105428695679,2.467940330505371,0.1111111119389534,0.0,0.4473295481082181,1,1.3254309212045603,40,f64df278da5d,0.529984176158905,0.8315181136131287,0.0,0.11157175065711056,0.0,1,0.670056303678319,167,00c6f12023ab,0.5516211986541748,1.1768664121627808,0.2857142984867096,0.11157175065711056,0.8065963084128944,1,1.0245630449556566,62,c6d9ce80244c,0.5552412867546082,1.2346465587615967,0.20000000298023224,0.1682360897391828,0.6090768487392924,1,0.9776809782689504,30,c6a87cc5d35e,0.5331843495368958,0.8825960159301758,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,0.7787697917955613,191,a9be4c9c15a1,0.5862690210342407,1.7298798561096191,0.1818181872367859,0.23500177712287373,0.5898036247287963,1,1.1158534572042735,137,a4f4cc8a14a2,0.5103641748428345,0.5183634757995605,0.0,0.2554127452163465,0.0,0,0.5083125916382812
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.6763184070587158,2.845137357711792,0.5,0.0,1.0,1,1.5000000014901163,30,c6a87cc5d35e,0.5651623606681824,1.7966464757919312,0.20000000298023224,0.0,0.4185432430857448,1,1.0439837165538381,95,7c80e08ee743,0.5859827399253845,1.9930368661880493,0.5,0.0,1.0,1,1.2591648638248445,153,8594b6595861,0.5526306629180908,1.6784398555755615,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.9665563775406654,61,dc17b84d2d6b,0.5625934600830078,1.772415041923523,0.1428571492433548,0.2554127452163465,0.4835877978296777,1,1.042264334806128,167,00c6f12023ab,0.5989580750465393,2.1154279708862305,0.0,0.14384099455923594,0.0,1,1.0106237027920775,214,fc824bfe7bf0,0.36961767077445984,-0.04784917086362839,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.44696065021617964,15,c5e6a1a8c44d,0.5531548261642456,1.6833840608596802,0.1666666716337204,0.14384099455923594,0.38008251264002774,1,0.9870567858694229,17,e1dbddbff402,0.5604241490364075,1.7519527673721313,0.1666666716337204,0.14384099455923594,0.38008251264002774,1,1.0076113284109267,124,3b11edaeeba4,0.4399738609790802,0.6157928705215454,0.0,0.2554127452163465,0.0,1,0.5370822292825722
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.7500577569007874,4.15471887588501,0.1818181872367859,0.4054650386637325,0.5410330217665478,1,1.362451425245258,51,6385c0e2eb2e,0.5819971561431885,1.5522074699401855,0.27272728085517883,0.29389328800662196,1.0,1,0.9595253337989014,81,e9ce432833f3,0.5734484195709229,1.419825553894043,0.1666666716337204,0.29389328800662196,0.6661069603241577,1,0.8247348699556534,4,9fc64a999e12,0.5152955055236816,0.5192955732345581,0.06666667014360428,0.12565719826743915,0.15907974871851754,1,0.47438277966904263,102,f2c8cd5b27ab,0.6348294615745544,2.370344877243042,0.07692307978868484,0.29389328800662196,0.2803772187470784,1,0.9087290697548338,9,3cdbc3929112,0.603948175907135,1.8921312093734741,0.0833333358168602,0.4054650386637325,0.20293416593281158,1,0.763965403381654,24,2ae9204d54c8,0.554182767868042,1.1214863061904907,0.0833333358168602,0.4054650386637325,0.20686376715165652,1,0.5950907205352776,68,7a9450b42a26,0.46429669857025146,-0.27044910192489624,0.1818181872367859,0.4054650386637325,0.40979793308446816,1,0.35518837648559237,62,c6d9ce80244c,0.5205247402191162,0.6002731919288635,0.06666667014360428,0.12565719826743915,0.16216015645362905,1,0.4934007805148929,73,a40c650a049f,0.526411235332489,0.6914288401603699,0.0,0.12565719826743915,0.0,0,0.41155189748234955
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.7708336114883423,4.234505653381348,0.27272728085517883,0.0,0.99530758268517,1,1.5438122096897027,15,c5e6a1a8c44d,0.4967421293258667,-0.2612811028957367,0.2222222238779068,0.27980784039629336,0.8812522236029512,1,0.5125961067152762,145,7809c19536e4,0.5501211285591125,0.6142681837081909,0.27272728085517883,0.0,1.0,1,0.7684612289071083,46,f64f2eefbcb7,0.5785632133483887,1.0807896852493286,0.09090909361839294,0.1682360897391828,0.46928644105215295,1,0.6808908491692643,103,6680fc36f234,0.6837993860244751,2.8069264888763428,0.20000000298023224,0.1682360897391828,0.6606693773587912,1,1.1141258388955544,61,dc17b84d2d6b,0.6019313931465149,1.4640862941741943,0.09090909361839294,0.1682360897391828,0.28498807470557874,1,0.701263040227348,4,9fc64a999e12,0.6604315638542175,2.423635721206665,0.07692307978868484,0.0,0.2439304707225717,1,0.9180457081617708,83,4ffdd533affb,0.558482825756073,0.7514209747314453,0.10000000149011612,0.27980784039629336,0.45208944765912534,1,0.5901482449449319,63,50171927f859,0.584000825881958,1.1699800491333008,0.0,0.0,0.0,1,0.5609561309218407,12,9251af4a3821,0.5501433610916138,0.6146328449249268,0.20000000298023224,0.1682360897391828,0.6606693773587912,1,0.6376300439436385
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.6778684854507446,2.734858512878418,0.1666666716337204,0.0,1.0,1,1.5666666716337205,84,c6940290ea74,0.6225110292434692,1.9387681484222412,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,1.0747943221373533,199,0d99df7b9f80,0.6551826000213623,2.4086148738861084,0.1818181872367859,0.07707532800886907,0.8768824657917131,1,1.4149717029745876,27,88a991273442,0.5392690896987915,0.7416737675666809,0.10000000149011612,0.27980784039629336,0.5542711270971936,1,0.7896938928945876,198,edb3d68bc36f,0.6142842769622803,1.8204599618911743,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,1.0387499182267161,3,33b4e36b0d81,0.6604315638542175,2.4840996265411377,0.07692307978868484,0.0,0.25027679688765847,1,1.2456339483505685,103,6680fc36f234,0.6538858413696289,2.3899662494659424,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,1.212258770946977,169,2d10ff099811,0.5990363955497742,1.6011817455291748,0.09090909361839294,0.1682360897391828,0.41033208986285585,1,1.0132186868501438,16,6e6ec1a475b8,0.5332921743392944,0.6557203531265259,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.6838939859313938,116,1cf7420e0aac,0.5756507515907288,1.2648749351501465,0.0833333358168602,0.07707532800886907,0.4682199018857571,1,0.9410755027934963
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.7206270694732666,3.4591426849365234,0.125,0.11157175065711056,0.4243632379262217,1,1.3623699552282342,162,957f012e4031,0.567612886428833,1.3916977643966675,0.1666666716337204,0.14384099455923594,1.0,1,1.0278138596691184,127,3d77dabe7560,0.7016925811767578,3.203310012817383,0.1428571492433548,0.0,0.46335877870863124,1,1.3184397167302262,155,f6d7dbe3f71e,0.509825587272644,0.6109070777893066,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,0.6583293134398526,147,a2140782858a,0.5283762812614441,0.8615540266036987,0.125,0.11157175065711056,0.4243632379262217,1,0.6987076929673205,75,f634ee56b726,0.6629037857055664,2.6792168617248535,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,1.183017452997691,146,284cc33eb902,0.47002527117729187,0.07314673066139221,0.1428571492433548,0.0,0.46335877870863124,1,0.5211398808992993,131,c3b47654a283,0.5139250755310059,0.6662971377372742,0.0,0.0,0.0,1,0.5212693467736245,182,8729852fc4b8,0.5177936553955078,0.7185673117637634,0.0,0.2027325123874243,0.0,0,0.4646348452535481,197,3a46124701c0,0.5002620816230774,0.4816901683807373,0.0,0.0,0.0,0,0.4231003075838089
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.7239991426467896,3.9873886108398438,0.375,0.09116076173031373,1.0,1,1.5158839238269688,10,365ec2897755,0.4495828151702881,0.7253738045692444,0.10000000149011612,0.09116076173031373,0.3519334053455243,0,0.5370709277186808,204,62b52b411f3a,0.625336766242981,2.8145787715911865,0.25,0.2027325123874243,0.7370548607343586,1,1.1724508461822234,126,ebdb003908ef,0.44451189041137695,0.6650952100753784,0.2222222238779068,0.09116076173031373,0.6219592058133134,1,0.65911843178654,157,018f6a0e7f9a,0.39732223749160767,0.10414701700210571,0.1538461595773697,0.20273252627630822,0.4653176280529234,1,0.46889020640860285,181,49ccfbfcfc0a,0.4811375141143799,1.1004676818847656,0.1111111119389534,0.2027325123874243,0.47072232479609577,1,0.7035743520641052,59,da6e8742f6bf,0.6038452386856079,2.5591068267822266,0.25,0.2027325123874243,0.6211695670957962,1,1.0741128882689943,214,fc824bfe7bf0,0.465395987033844,0.9133465886116028,0.10000000149011612,0.09116076173031373,0.4049996907988265,1,0.6492654814324017,160,56c85bc2a8f3,0.4049881100654602,0.19527201354503632,0.1111111119389534,0.2027325123874243,0.29483898213239673,1,0.43234925409583613,208,c1c0caaa937b,0.4714861512184143,0.9857410192489624,0.1111111119389534,0.2027325123874243,0.29483898213239673,1,0.6154416359010176
7,bfcc3cdee21d,devise research or testing protocols,204,62b52b411f3a,0.4640192985534668,2.368593692779541,0.1428571492433548,0.0,0.7279980425438168,1,1.4762278910021294,56,269bfa3db5c6,0.40907013416290283,1.3170874118804932,0.0,0.11157175065711056,0.0,0,0.8339459546788187,126,ebdb003908ef,0.4135398268699646,1.4026193618774414,0.125,0.11157175065711056,0.666730880547555,1,1.127962172797831,209,2ac9980eb5e6,0.45758169889450073,2.245404005050659,0.1111111119389534,0.2027325123874243,0.6149755153908953,1,1.3819377454932857,9,3cdbc3929112,0.46132951974868774,2.317122220993042,0.0,0.0,0.0,0,1.1826276630163193,195,6b483cafcca2,0.44983893632888794,2.097238540649414,0.0,0.0,0.0,0,1.1084141582250595,183,ff9c96c6d776,0.40505486726760864,1.2402513027191162,0.1111111119389534,0.2027325123874243,0.6149755153908953,0,0.998968318384521,205,45b6fa08d56b,0.3577880263328552,0.3357537090778351,0.1666666716337204,0.14384099455923594,0.8016645111345602,1,0.8158142157468862,59,da6e8742f6bf,0.3708905279636383,0.5864830017089844,0.1428571492433548,0.0,0.7279980425438168,0,0.8390637721161354,188,be19a52818cf,0.31530994176864624,-0.47710633277893066,0.125,0.11157175065711056,1.0,0,0.5733922206743212
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,94,832ecabbf00a,0.7074658274650574,2.762479305267334,0.0714285746216774,0.34657354027998,0.2791607921593588,1,1.2987632127737905,148,253c9a1feb09,0.6691981554031372,2.31408953666687,0.0714285746216774,0.34657354027998,0.3971492778525809,1,1.1989384509358214,72,91e3b64a6f04,0.6552735567092896,2.1509320735931396,0.0625,0.1783374505407972,0.3399328564670396,1,1.1458820785638306,9,3cdbc3929112,0.5497860312461853,0.9149138331413269,0.27272728085517883,0.45814529093709055,1.0,1,0.9379035621557569,174,003763627ff4,0.5872422456741333,1.3537957668304443,0.06666667014360428,0.25541277854966626,0.20334964494839133,1,0.8385899415850087,176,62eda05f366c,0.6372445821762085,1.9396830797195435,0.07692307978868484,0.45814529093709055,0.43364407635795327,1,1.0818595389794599,92,3f67b920ee49,0.5656169652938843,1.1004080772399902,0.06666667014360428,0.25541277854966626,0.30226484596362396,1,0.7933980854147473,81,e9ce432833f3,0.532059907913208,0.707213282585144,0.0714285746216774,0.34657354027998,0.22046322892919656,1,0.6313699623712725,59,da6e8742f6bf,0.5081996917724609,0.42763838171958923,0.07692307978868484,0.45814529093709055,0.33737037144743715,1,0.5727224577830683,175,825fff3275ff,0.6960302591323853,2.6284866333007812,0.0714285746216774,0.34657354027998,0.2791607921593588,1,1.2565919729208852
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.745762825012207,3.113154888153076,0.3333333432674408,0.0,1.0,1,1.4842166543006898,84,c6940290ea74,0.72221440076828,2.798091173171997,0.2857142984867096,0.11157175065711056,0.7852673921958094,1,1.3237158771629205,182,8729852fc4b8,0.7597647905349731,3.300492763519287,0.25,0.2027325123874243,0.8447488584474884,1,1.475388855178343,204,62b52b411f3a,0.5629026889801025,0.6665967106819153,0.3333333432674408,0.0,1.0,1,0.8427722692489624,49,824d3015533f,0.6725541353225708,2.133666753768921,0.2857142984867096,0.11157175065711056,0.8875827192916397,1,1.183862017915897,10,365ec2897755,0.5861016511917114,0.9769847989082336,0.125,0.11157175065711056,0.4945492360194517,1,0.7553558640682349,198,edb3d68bc36f,0.5394567847251892,0.35290464758872986,0.125,0.11157175065711056,0.3639750440568452,1,0.5400165462753579,2,771b010da2fa,0.603948175907135,1.2157604694366455,0.0833333358168602,0.4054650386637325,0.2723072551832694,1,0.7174005147868938,8,04d0abdf0b41,0.5497860312461853,0.49110373854637146,0.27272728085517883,0.45814529093709055,0.9727897385813257,1,0.7456664136244899,195,6b483cafcca2,0.5878725647926331,1.000678539276123,0.1428571492433548,0.0,0.5399943009509689,1,0.7871879657529708
