model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.5385709404945374,0.5385709404945374,4.702530860900879,0.1666666716337204,0.4285714328289032,1.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,42,02d9739e2d83,2,0.5064963698387146,0.5064963698387146,4.35260009765625,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4905,a57e4cb16fc4,3,0.48136740922927856,0.48136740922927856,4.078445911407471,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4062,f5cd1e11c87f,4,0.48018762469291687,0.48018762469291687,4.0655741691589355,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4224,40b1287b6f99,5,0.4761433005332947,0.4761433005332947,4.021450996398926,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,1300,b510e0f063cc,6,0.4758438467979431,0.4758438467979431,4.018184185028076,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,2206,2d6089baf90f,7,0.4620685577392578,0.4620685577392578,3.8678970336914062,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3611,a9cf3208589d,8,0.4526224434375763,0.4526224434375763,3.764840841293335,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3612,4a2adc186b51,9,0.4504648447036743,0.4504648447036743,3.7413015365600586,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,1412,e63b1bee1602,10,0.447678804397583,0.447678804397583,3.7109060287475586,0.0,0.5714285969734192,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,0.5242195129394531,0.5242195129394531,4.74448299407959,0.3333333432674408,0.5,1.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,1529,8c8790508d02,2,0.48207154870033264,0.48207154870033264,4.272541046142578,0.0,0.75,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,170,8b7c50fed2a1,3,0.47774502635002136,0.47774502635002136,4.224095344543457,0.0,0.75,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,4,0.44239693880081177,0.44239693880081177,3.8282928466796875,0.25,0.75,0.8359322547912598,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,2182,7ff74426554b,5,0.43519312143325806,0.43519312143325806,3.7476296424865723,0.0,0.75,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,4767,501c21443889,6,0.4324871599674225,0.4324871599674225,3.7173304557800293,0.0,0.5,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,2489,0b71467e6421,7,0.43240389227867126,0.43240389227867126,3.716398239135742,0.0,0.75,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,921,8062342e5508,8,0.42579221725463867,0.42579221725463867,3.642364978790283,0.0,0.75,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,1702,6b306e6c84b1,9,0.4068335294723511,0.4068335294723511,3.430079221725464,0.20000000298023224,1.0,0.7181130647659302,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,2819,1c73c294d9f8,10,0.4056638479232788,0.4056638479232788,3.4169819355010986,0.0,0.75,0.0,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4793,ecfb3bfe17da,1,0.6128121614456177,0.6128121614456177,4.606470108032227,0.07692307978868484,0.4615384638309479,0.3802230656147003,0
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3413,0c3e5c7f3c75,2,0.5944471955299377,0.5944471955299377,4.428731441497803,0.10000000149011612,0.23076923191547394,0.5673700571060181,0
