model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.8805562210083008,0.3607358932495117,3.3631303310394287,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3211,bf363c434df6,2,0.5428011667728424,0.2815144956111908,2.3741064071655273,0.0,0.6363636255264282,0.26207441091537476,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,3,0.7160958003997803,0.2839123010635376,2.4040415287017822,0.125,0.7142857313156128,0.6748585104942322,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,4,0.5785453867912292,0.23071494698524475,1.7399094104766846,0.0,0.5714285969734192,0.5206381678581238,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,2479,8cee47cceb1c,5,0.5732617032527924,0.43200480937957764,4.252873420715332,0.0,0.4285714328289032,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,2450,59d676f6659f,6,0.5764030468463898,0.3901987075805664,3.7309532165527344,0.0,0.8571428656578064,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3895,4b2c97c70c4d,7,0.5995502126216888,0.39952653646469116,3.847404718399048,0.0,1.0,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,5106,c983325cad2b,8,0.5497823011875153,0.21232768893241882,1.5103572607040405,0.0,1.0,0.36591723561286926,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,379,55cbbefb6882,9,0.5266541194915771,0.33783140778541565,3.077183961868286,0.0,0.8571428656578064,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3762,3f9e06094af7,10,0.5188582491874695,0.17999109625816345,1.1066573858261108,0.0,0.8571428656578064,0.40614983439445496,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.141584987640381,0.6016684174537659,5.553860664367676,0.3333333432674408,0.5,1.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4310,506583358173,2,0.7206222367286682,0.3635823130607605,2.6739563941955566,0.1428571492433548,0.5714285969734192,0.5047074556350708,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4835,5a0ef39818c8,3,0.6667142462730408,0.4702255129814148,3.963919162750244,0.0,1.0,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,4,1.0357469868659974,0.5375481247901917,4.778257846832275,0.25,0.75,0.8359322547912598,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,5,0.8476633381843567,0.46684011816978455,3.922969341278076,0.1428571492433548,0.6666666865348816,0.560200035572052,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,989,4ec4f7a20f54,6,0.6401615691184998,0.46332797408103943,3.880486249923706,0.0,0.800000011920929,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4228,91aa446c1ed9,7,0.7264161658287048,0.5541223287582397,4.978740215301514,0.0,0.800000011920929,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,2093,bc30fde7977a,8,0.7198162627220154,0.5261223912239075,4.640051364898682,0.0,1.0,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4233,b87ab72bb352,9,0.6490589928627014,0.4779568314552307,4.057437896728516,0.0,0.75,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,10,0.718911464214325,0.3275524079799652,2.2381365299224854,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,0.8294571590423584,0.31899672746658325,4.477041244506836,0.2222222238779068,0.23076923191547394,1.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4450,58319ec211bf,2,0.7485926699638367,0.4519461393356323,6.38292932510376,0.07692307978868484,0.5384615659713745,0.38245493173599243,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3310,1b5b70c37d4d,3,0.7009113383293152,0.23648928105831146,3.2942612171173096,0.10000000149011612,0.23076923191547394,0.9090558886528015,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",987,3beb6e6213e9,4,0.5410661351680756,0.15331026911735535,2.101853609085083,0.10000000149011612,0.23076923191547394,0.6781270503997803,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",447,0dbbcd9e85e6,5,0.729129011631012,0.28090333938598633,3.9309558868408203,0.10000000149011612,0.23076923191547394,0.8691253662109375,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3041,d58419ba221e,6,0.4999375295639038,0.23337356746196747,3.249596118927002,0.06896551698446274,0.40625,0.30646517872810364,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3706,f35d80d38c13,7,0.57408496260643,0.30659162998199463,4.299208641052246,0.0625,0.9230769276618958,0.17468635737895966,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1607,6544768291be,8,0.48855891823768616,0.21613329648971558,3.0024492740631104,0.10000000149011612,0.23076923191547394,0.7004439830780029,0
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3567,b9a61efec89c,9,0.5583765757083893,0.25969141721725464,3.626873731613159,0.0714285746216774,0.692307710647583,0.319213330745697,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3891,6579f5e89913,10,0.7023336839675903,0.39484506845474243,5.564360618591309,0.0833333358168602,0.4615384638309479,0.4245058596134186,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3215,d4793dfe8103,1,0.9142824959754944,0.38489067554473877,3.9223878383636475,0.10000000149011612,0.6363636255264282,1.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3978,6918d9132472,2,0.7197387766838074,0.22512346506118774,2.0756804943084717,0.125,0.27272728085517883,0.9709965586662292,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3331,bd1098fcfc05,3,0.7449455809593201,0.2947010397911072,2.8799095153808594,0.1111111119389534,0.3636363744735718,0.8341408967971802,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4311,dad8075f10c2,4,0.6897193741798401,0.32998138666152954,3.287705659866333,0.10000000149011612,0.6363636255264282,0.5074306130409241,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,1337,284a65d8619b,5,0.6442036581039429,0.2747170627117157,2.6489198207855225,0.0,0.9166666865348816,0.4901593029499054,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,2686,2e522a60ddc9,6,0.6486327600479126,0.21253162622451782,1.930134654045105,0.1111111119389534,0.3636363744735718,0.7819926142692566,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3560,5f0ac5f58a14,7,0.5331181836128235,0.27387064695358276,2.63913631439209,0.0,0.7272727489471436,0.22918228805065155,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,2622,62c0405486a6,8,0.5535468709468842,0.1979312300682068,1.7613725662231445,0.0,0.8461538553237915,0.4597052335739136,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3586,f77f2bcecc27,9,0.5164554667472839,0.3407665491104126,3.4123685359954834,0.0,0.7272727489471436,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3799,f53b26701964,10,0.5032807242870331,0.21686509251594543,1.9802241325378418,0.0,0.6363636255264282,0.3246358036994934,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3621,917bf810d271,1,0.8021789145469665,0.4086873531341553,5.295979022979736,0.1111111119389534,0.5,0.6493121981620789,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",4310,506583358173,2,0.48146289110183715,0.30680304765701294,3.885756492614746,0.0,0.699999988079071,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",4331,afa0135399b2,3,0.6070364367961884,0.22129686176776886,2.702230453491211,0.125,0.30000001192092896,0.6515839695930481,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1554,ba67eebc2f04,4,0.6855620694160461,0.18846797943115234,2.2478322982788086,0.10000000149011612,0.6000000238418579,0.8900499939918518,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1337,284a65d8619b,5,0.592760260105133,0.21921437978744507,2.673405885696411,0.0,0.8333333134651184,0.5176379084587097,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",5216,5f28836331e0,6,0.4937255334854126,0.2275112420320511,2.7882461547851562,0.0,0.9090909361839294,0.19051644206047058,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3925,35c1bebe9ccc,7,0.6373953771591186,0.30624037981033325,3.8779683113098145,0.09090909361839294,0.6000000238418579,0.4366590082645416,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3943,1eedfa96d1f9,8,0.4721827757358551,0.21745902299880981,2.649109125137329,0.0,0.8333333134651184,0.17789532244205475,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",5104,6e60043595ae,9,0.4576285433769226,0.1745849847793579,2.0556719303131104,0.0,1.0,0.20506519079208374,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",181,6e0262463c46,10,0.4476085555553436,0.16831755638122559,1.9689220190048218,0.0,0.8999999761581421,0.22201967239379883,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,5,abdac161e57b,design medical devices or appliances,4412,a558f59f975e,1,1.2450611543655397,0.6649765968322754,7.5024495124816895,0.4000000059604645,0.8333333134651184,1.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,5,abdac161e57b,design medical devices or appliances,1243,14686b75fbe4,2,0.7059401822090149,0.28820645809173584,2.6104748249053955,0.1428571492433548,0.8333333134651184,0.5925203561782837,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,5,abdac161e57b,design medical devices or appliances,1694,d6c8c0983834,3,0.7007139277458191,0.23324544727802277,1.8968623876571655,0.0,0.5,0.8832307457923889,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,5,abdac161e57b,design medical devices or appliances,1421,c88a10398d0d,4,1.1602311086654664,0.7208417654037476,8.227801322937012,0.20000000298023224,0.5,0.7869473099708557,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,5,abdac161e57b,design medical devices or appliances,3516,afe8a26918ff,5,0.7274610948562622,0.2939544916152954,2.6851072311401367,0.1428571492433548,0.8333333134651184,0.6384069919586182,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,5,abdac161e57b,design medical devices or appliances,4202,28ce6bceb890,6,0.8174744200706482,0.4856976866722107,5.17469596862793,0.1666666716337204,0.6666666865348816,0.4125571548938751,1
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,5,abdac161e57b,design medical devices or appliances,3541,7f55467072cd,7,0.8829939913749695,0.40656015276908875,4.147176742553711,0.20000000298023224,0.5,0.8478910326957703,1
