q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,3,33b4e36b0d81,0.8429818153381348,2.3031270503997803,0.28378379344940186,0.1682360897391828,0.6090768487392924,0,1.4218991935438858,184,389dd43f303d,0.8403644561767578,2.1430559158325195,0.11764705926179886,0.11157175065711056,0.4588237187240411,0,1.3336798318004766,191,a9be4c9c15a1,0.8344843983650208,1.7834467887878418,0.2164948433637619,0.23500177712287373,0.5898036247287963,0,1.2668298278472458,41,babe1d93de49,0.8297974467277527,1.4968048334121704,0.1627907007932663,0.45814521593713003,0.562135019628792,1,1.2430415067034182,40,f64df278da5d,0.841106116771698,2.1884140968322754,0.04477611929178238,0.11157175065711056,0.0,1,1.1739120252124295,103,6680fc36f234,0.8326319456100464,1.6701555252075195,0.09859155118465424,0.0,0.42020984140568113,0,1.170870394393999,167,00c6f12023ab,0.8177714347839355,0.7613248825073242,0.35087719559669495,0.11157175065711056,0.8065963084128944,0,1.0650497973927153,78,98d9410b9c2c,0.83051997423172,1.5409927368164062,0.13846154510974884,0.11157175065711056,0.4588237187240411,0,1.1379374183988729,12,9251af4a3821,0.8334072828292847,1.7175731658935547,0.1066666692495346,0.0,0.42020984140568113,0,1.1839595296831913,37,78a6d412d86e,0.8130085468292236,0.47003892064094543,0.2567567527294159,0.09116076173031373,1.0,0,1.1090890711835801
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.9242051839828491,3.938718318939209,0.5483871102333069,0.0,1.0,1,1.6654838997125627,95,7c80e08ee743,0.8914169073104858,2.533404588699341,0.4000000059604645,0.0,1.0,1,1.421662621498108,30,c6a87cc5d35e,0.8712795972824097,1.6703145503997803,0.11363636702299118,0.0,0.4185432430857448,1,0.9427923272105472,17,e1dbddbff402,0.870619535446167,1.6420241594314575,0.08474576473236084,0.14384099455923594,0.38008251264002774,1,0.9109370294607835,61,dc17b84d2d6b,0.8661762475967407,1.451583743095398,0.18367347121238708,0.2554127452163465,0.4835877978296777,1,0.9098253446048092,15,c5e6a1a8c44d,0.8639280796051025,1.355226755142212,0.11363636702299118,0.14384099455923594,0.38008251264002774,1,0.8424830171860413,186,4c7ceb754866,0.855939507484436,1.0128345489501953,0.0746268630027771,0.2554127452163465,0.3480953704871541,1,0.7464838487968102,196,0f2541e582f8,0.846950888633728,0.6275801658630371,0.09589041024446487,0.3465735069466602,0.4460490190027163,1,0.711990254744406,167,00c6f12023ab,0.8757309913635254,1.8611024618148804,0.21153846383094788,0.14384099455923594,0.0,1,0.7096692000765349,35,e19513a85bed,0.8415998220443726,0.3982321321964264,0.11363636702299118,0.0,0.4185432430857448,1,0.6600214327427165
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.9445330500602722,5.161917686462402,0.20879121124744415,0.4054650386637325,0.5410330217665478,1,1.4717092379856442,51,6385c0e2eb2e,0.885161280632019,2.2619924545288086,0.17307692766189575,0.29389328800662196,1.0,1,1.2440875960176072,81,e9ce432833f3,0.8837782740592957,2.194441556930542,0.1428571492433548,0.29389328800662196,0.6661069603241577,1,1.0363340039721267,102,f2c8cd5b27ab,0.8674942255020142,1.3990715742111206,0.0803571417927742,0.29389328800662196,0.2803772187470784,1,0.66853626624033,9,3cdbc3929112,0.8726907968521118,1.6528903245925903,0.1340206116437912,0.4054650386637325,0.20293416593281158,1,0.6562085079953243,47,8f3ed6033a9e,0.8594340085983276,1.0053822994232178,0.09909909963607788,0.29389328800662196,0.6287000027189941,1,0.8034341063021675,157,018f6a0e7f9a,0.8391538262367249,0.014827248640358448,0.10000000149011612,0.0,0.36036418183651636,1,0.47611835064892216,68,7a9450b42a26,0.8364672660827637,-0.11639375239610672,0.16129031777381897,0.4054650386637325,0.40979793308446816,1,0.4589782836807675,166,505ab84c8d87,0.8332778811454773,-0.2721744775772095,0.05511811003088951,0.20273252627630822,0.2976077097967211,1,0.37744041288714286,187,02b0fa193387,0.8381766080856323,-0.032903507351875305,0.07619047909975052,0.29389328800662196,0.3226539031954551,1,0.4311713580846834
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.9102931618690491,3.2413859367370605,0.353658527135849,0.0,0.99530758268517,1,1.7210870212726697,15,c5e6a1a8c44d,0.8766379356384277,1.365236520767212,0.1428571492433548,0.27980784039629336,0.8812522236029512,1,1.2358324256348072,46,f64f2eefbcb7,0.8987914323806763,2.6002087593078613,0.08888889104127884,0.1682360897391828,0.46928644105215295,1,1.3148834920891797,12,9251af4a3821,0.8883545398712158,2.0183920860290527,0.23456789553165436,0.1682360897391828,0.6606693773587912,1,1.2513544159110122,145,7809c19536e4,0.8604573011398315,0.46322837471961975,0.18888889253139496,0.0,1.0,1,1.0917942154407503,103,6680fc36f234,0.8856935501098633,1.8700522184371948,0.1875,0.1682360897391828,0.6606693773587912,1,1.2251952784236007,61,dc17b84d2d6b,0.8878732323646545,1.9915610551834106,0.1265822798013687,0.1682360897391828,0.28498807470557874,1,1.0427568114535986,84,c6940290ea74,0.8837089538574219,1.7594186067581177,0.10752688348293304,0.1682360897391828,0.28498807470557874,1,0.9886495775716481,38,a3c08ed1a115,0.8720500469207764,1.1094794273376465,0.09000000357627869,0.07707532800886907,0.485764528545711,1,0.9534133321652384,184,389dd43f303d,0.8764215707778931,1.3531750440597534,0.22368420660495758,0.27980784039629336,0.7213795363593288,1,1.1229376870898653
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",199,0d99df7b9f80,0.9053086638450623,3.2048091888427734,0.19819819927215576,0.07707532800886907,0.8768824657917131,1,1.6928162860754923,103,6680fc36f234,0.901124119758606,3.0190412998199463,0.0891089141368866,0.1682360897391828,0.29240259438360094,1,1.3219312435467812,142,c71cb5036aef,0.8660222291946411,1.4607349634170532,0.18421052396297455,0.0,1.0,1,1.3321889865398409,169,2d10ff099811,0.8815249800682068,2.148961067199707,0.09433962404727936,0.1682360897391828,0.41033208986285585,1,1.1649725694172883,198,edb3d68bc36f,0.8796024918556213,2.0636146068573,0.09803921729326248,0.1682360897391828,0.29240259438360094,1,1.0712090438683601,154,17f9d29c543d,0.840289294719696,0.3183521628379822,0.17094017565250397,0.0,0.6014932466855267,1,0.8045301245636117,116,1cf7420e0aac,0.847716212272644,0.6480612754821777,0.09345794469118118,0.07707532800886907,0.4682199018857571,1,0.8141476760117954,84,c6940290ea74,0.861233651638031,1.2481517791748047,0.10280373692512512,0.1682360897391828,0.29240259438360094,0,0.7786231774170967,18,1c10b347eeee,0.8561492562294006,1.0224361419677734,0.1325301229953766,0.4236488349555293,0.35157930991361547,1,0.8184000905466757,115,830e9df61ddd,0.8489794731140137,0.7041422128677368,0.11764705926179886,0.27980784039629336,0.5900009613842612,1,0.8886131699544035
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.9399020671844482,3.242314100265503,0.054054055362939835,0.11157175065711056,0.4243632379262217,1,1.4628231725141374,162,957f012e4031,0.9068324565887451,1.7876964807510376,0.12244898080825806,0.14384099455923594,1.0,1,1.419663462533429,127,3d77dabe7560,0.9330588579177856,2.941304922103882,0.095238097012043,0.0,0.46335877870863124,1,1.4030654710253803,75,f634ee56b726,0.9149844646453857,2.146275043487549,0.07999999821186066,0.14384099455923594,0.5102462741731951,1,1.2257116962212677,60,90e3d91fbf4d,0.9208359122276306,2.4036600589752197,0.08571428805589676,0.2027325123874243,0.3914217993657387,1,1.2156588296600148,155,f6d7dbe3f71e,0.8825628757476807,0.7201617360115051,0.0784313753247261,0.14384099455923594,0.5102462741731951,1,0.8625746522087211,147,a2140782858a,0.8919156193733215,1.131556510925293,0.05797101557254791,0.11157175065711056,0.4243632379262217,1,0.9207220873281325,24,2ae9204d54c8,0.8880875110626221,0.9631713032722473,0.06779661029577255,0.0,0.46335877870863124,1,0.9051181506833162,189,a49d5a99c1d7,0.8952604532241821,1.278684139251709,0.03125,0.0,0.0,1,0.7138419467210769,63,50171927f859,0.8670626878738403,0.03836220130324364,0.08139535039663315,0.27980784039629336,0.36322616127583385,1,0.5935411205830688
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.9182625412940979,2.728771209716797,0.4166666567325592,0.09116076173031373,1.0,1,1.7004419976762712,126,ebdb003908ef,0.9158838987350464,2.631211519241333,0.2530120611190796,0.09116076173031373,0.6219592058133134,1,1.4965285780404418,59,da6e8742f6bf,0.9072562456130981,2.2773489952087402,0.20000000298023224,0.2027325123874243,0.6211695670957962,1,1.409608380338447,141,dbc0d59bd942,0.9031497240066528,2.1089203357696533,0.190476194024086,0.09116076173031373,0.6219592058133134,1,1.3721993836139053,204,62b52b411f3a,0.8955409526824951,1.7968471050262451,0.2142857164144516,0.2027325123874243,0.7370548607343586,1,1.3449745824281472,157,018f6a0e7f9a,0.887833297252655,1.4807182550430298,0.14159291982650757,0.20273252627630822,0.4653176280529234,1,1.1111713661845188,148,253c9a1feb09,0.8928914666175842,1.6881786584854126,0.09090909361839294,0.09116076173031373,0.27002580046778907,1,1.0682418524324238,160,56c85bc2a8f3,0.8898054957389832,1.5616077184677124,0.14666666090488434,0.2027325123874243,0.29483898213239673,1,1.0301925120083029,209,2ac9980eb5e6,0.8862238526344299,1.4147069454193115,0.06185567006468773,0.0,0.24906489358216158,1,0.9893535876623966,10,365ec2897755,0.8754624128341675,0.9733273386955261,0.12345679104328156,0.09116076173031373,0.3519334053455243,1,0.9113506374326199
7,bfcc3cdee21d,devise research or testing protocols,214,fc824bfe7bf0,0.8808646202087402,1.9856370687484741,0.09375,0.11157175065711056,1.0,1,1.5729789711228834,209,2ac9980eb5e6,0.8928264379501343,2.855454683303833,0.09589041024446487,0.2027325123874243,0.6149755153908953,1,1.5600816104607167,204,62b52b411f3a,0.8892555236816406,2.5957915782928467,0.12727272510528564,0.0,0.7279980425438168,1,1.562548594141059,59,da6e8742f6bf,0.8761260509490967,1.6410664319992065,0.11666666716337204,0.0,0.7279980425438168,1,1.3219268336535026,188,be19a52818cf,0.8657844662666321,0.8890659213066101,0.0923076942563057,0.11157175065711056,1.0,1,1.2916827775231825,183,ff9c96c6d776,0.8696483373641968,1.1700319051742554,0.09756097197532654,0.2027325123874243,0.6149755153908953,1,1.1273050401405873,206,c32f9f13a109,0.8657917976379395,0.8895990252494812,0.0972222238779068,0.11157175065711056,0.666730880547555,1,1.0910471028134998,195,6b483cafcca2,0.8751437664031982,1.5696384906768799,0.0,0.0,0.0,1,0.8916029053926467,6,75e527217c38,0.8615740537643433,0.5829008221626282,0.1066666692495346,0.2027325123874243,0.6149755153908953,1,0.9754073414997637,187,02b0fa193387,0.8553745746612549,0.13209842145442963,0.12068965286016464,0.11157175065711056,0.666730880547555,1,0.894094133977669
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,176,62eda05f366c,0.8918396234512329,2.4682629108428955,0.03448275849223137,0.45814529093709055,0.43364407635795327,1,1.4188054118415718,9,3cdbc3929112,0.8647644519805908,1.2413431406021118,0.23404255509376526,0.45814529093709055,1.0,1,1.3408365699486902,148,253c9a1feb09,0.8919355869293213,2.472611427307129,0.04958677664399147,0.34657354027998,0.3971492778525809,1,1.3994486244921662,94,832ecabbf00a,0.8945572376251221,2.5914125442504883,0.1111111119389534,0.34657354027998,0.2791607921593588,1,1.3468345026978912,72,91e3b64a6f04,0.8915354609489441,2.454479694366455,0.028776979073882103,0.1783374505407972,0.3399328564670396,1,1.3739496862075389,175,825fff3275ff,0.8897935748100281,2.3755455017089844,0.1551724076271057,0.34657354027998,0.2791607921593588,1,1.2689038287410201,174,003763627ff4,0.874424397945404,1.6790865659713745,0.10769230872392654,0.25541277854966626,0.20334964494839133,1,1.0299053378313234,57,c1933354ef21,0.8506678342819214,0.6025505661964417,0.1827957034111023,0.6019862854963265,0.6591046042245914,1,0.9487843003846296,92,3f67b920ee49,0.8577367067337036,0.9228786826133728,0.04651162773370743,0.25541277854966626,0.30226484596362396,1,0.8696675049196883,159,3319e1abdfb1,0.8602074384689331,1.034840703010559,0.0416666679084301,0.34657354027998,0.3971492778525809,1,0.9574343028073289
9,3cdbc3929112,develop technical methods or processes,84,c6940290ea74,0.9180552363395691,3.356168508529663,0.234375,0.11157175065711056,0.7852673921958094,1,1.625269383547417,48,23ca56c5d573,0.8968724012374878,2.0660181045532227,0.3461538553237915,0.0,1.0,1,1.4375682103633882,182,8729852fc4b8,0.9029380679130554,2.435450315475464,0.20000000298023224,0.2027325123874243,0.8447488584474884,1,1.4521313673751854,204,62b52b411f3a,0.8830724954605103,1.225528359413147,0.23076923191547394,0.0,1.0,1,1.268410183787346,49,824d3015533f,0.8918123841285706,1.7578353881835938,0.21666666865348816,0.11157175065711056,0.8875827192916397,1,1.3211742527270496,195,6b483cafcca2,0.8930516242980957,1.833311915397644,0.14814814925193787,0.0,0.5399943009509689,1,1.149572112887743,8,04d0abdf0b41,0.8647644519805908,0.11046846956014633,0.23404255509376526,0.45814529093709055,0.9727897385813257,1,0.9712025773397528,57,c1933354ef21,0.8819096088409424,1.1547023057937622,0.13725490868091583,0.14384099455923594,0.5946365814043407,1,1.0164821165123326,21,c9b70de179fe,0.8780924081802368,0.9222138524055481,0.08064515888690948,0.0,0.4600056990490311,1,0.8959212311807843,46,f64f2eefbcb7,0.8896725177764893,1.627505898475647,0.13846154510974884,0.11157175065711056,0.4212923481389641,1,1.0259547827429256
