model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-distilroberta-v1,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.9172286272048951,0.49103808403015137,3.2887485027313232,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,2,0.5435789227485657,0.24469280242919922,0.9199404716491699,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/all-distilroberta-v1,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,751,2a63b9d3beeb,3,0.5256630659103394,0.37566307187080383,2.1793248653411865,0.0,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4171,0ea00d86baf8,4,0.543795245885849,0.43665239214897156,2.7657864093780518,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,421,cb5492305996,5,0.5192009389400483,0.3977723717689514,2.391923666000366,0.0,0.7142857313156128,0.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3738,4c75851c265c,6,0.5317530512809754,0.4246101975440979,2.649991035461426,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,1600,e07ea79deb22,7,0.5513970136642456,0.4585398733615875,2.9762520790100098,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3127,1df2bc055e00,8,0.5290587425231934,0.4219158887863159,2.6240830421447754,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,1333,94e01be7879d,9,0.5092715799808503,0.3592715859413147,2.021707534790039,0.0,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3612,4a2adc186b51,10,0.5836953401565552,0.4908381700515747,3.2868261337280273,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,0.9845268607139588,0.5178601741790771,4.811087608337402,0.3333333432674408,0.5,1.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,0.9064415574073792,0.48066186904907227,4.361941337585449,0.25,0.75,0.8359322547912598,1
sentence-transformers/all-distilroberta-v1,H_zfilter,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,3,0.6707463741302491,0.35268634557724,2.8167176246643066,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-distilroberta-v1,H_zfilter,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,4,0.7885132908821106,0.47521519660949707,4.296176433563232,0.1428571492433548,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-distilroberta-v1,H_zfilter,1,06d678da6c8d,prepare procedural documents,2093,bc30fde7977a,5,0.5190252244472504,0.36902523040771484,3.0139994621276855,0.0,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,1,06d678da6c8d,prepare procedural documents,4519,5b705c94c97e,6,0.5139570713043213,0.38895708322525024,3.2546639442443848,0.0,0.75,0.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,7,0.4856209337711334,0.16756093502044678,0.5814449787139893,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-distilroberta-v1,H_zfilter,1,06d678da6c8d,prepare procedural documents,5287,2c4e397c0273,8,0.5191663384437561,0.39416632056236267,3.3175621032714844,0.0,0.75,0.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,1,06d678da6c8d,prepare procedural documents,4311,dad8075f10c2,9,0.6741803765296936,0.38229191303253174,3.1741862297058105,0.1666666716337204,0.5714285969734192,0.5047074556350708,1
sentence-transformers/all-distilroberta-v1,H_zfilter,1,06d678da6c8d,prepare procedural documents,3724,7dd99b8b52cd,10,0.45927791595458983,0.3092779219150543,2.292588233947754,0.0,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,0.9915313005447388,0.574009895324707,4.2056708335876465,0.2222222238779068,0.23076923191547394,1.0,1
sentence-transformers/all-distilroberta-v1,H_zfilter,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4453,d9ea7797e0d6,2,0.7167068004608155,0.41951751708984375,2.6901869773864746,0.0714285746216774,0.7692307829856873,0.519934892654419,1
sentence-transformers/all-distilroberta-v1,H_zfilter,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5097,b18de4af858c,3,0.774187970161438,0.5119863748550415,3.597254753112793,0.09090909361839294,0.3076923191547394,0.5441684722900391,1
sentence-transformers/all-distilroberta-v1,H_zfilter,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",142,c477df18ea2a,4,0.6578553199768067,0.46508073806762695,3.137136697769165,0.0,0.9230769276618958,0.16822299361228943,1
sentence-transformers/all-distilroberta-v1,H_zfilter,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5134,29c1e14899e6,5,0.6330304145812988,0.40931451320648193,2.5901012420654297,0.09090909361839294,0.3076923191547394,0.582549512386322,0
