q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,167,00c6f12023ab,0.5344829559326172,1.5830166339874268,0.2857142984867096,0.11157175065711056,0.8065963084128944,1,1.4666466213884815,62,c6d9ce80244c,0.5526326298713684,1.800783634185791,0.20000000298023224,0.1682360897391828,0.6090768487392924,1,1.3994547965928281,191,a9be4c9c15a1,0.5728573799133301,2.0434482097625732,0.1818181872367859,0.23500177712287373,0.5898036247287963,1,1.4522943162466966,164,0c9fad019eee,0.5121104121208191,1.314582109451294,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,1.079141165734713,37,78a6d412d86e,0.4847945272922516,0.9868353605270386,0.2222222238779068,0.09116076173031373,1.0,1,1.4447755501253963,114,98e7b9000779,0.4303039312362671,0.3330357074737549,0.1666666716337204,0.45814521593713003,0.562135019628792,1,0.9205825765203923,57,c1933354ef21,0.5187259316444397,1.3939577341079712,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,1.102125655533259,35,e19513a85bed,0.5238044261932373,1.4548914432525635,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,1.1197700012936045,30,c6a87cc5d35e,0.5817628502845764,2.150299549102783,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,1.3211362768425394,103,6680fc36f234,0.49996089935302734,1.1688073873519897,0.1111111119389534,0.0,0.42020984140568113,1,1.1159516079552292
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.6226688623428345,3.5808420181274414,0.5,0.0,1.0,1,1.730000025331974,198,edb3d68bc36f,0.23608535528182983,-0.3762882649898529,0.1428571492433548,0.2554127452163465,0.5866964104389011,0,0.5248989733151143,214,fc824bfe7bf0,0.287108838558197,0.14599624276161194,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.5542468259584514,196,0f2541e582f8,0.3422057330608368,0.709976851940155,0.125,0.3465735069466602,0.4460490190027163,1,0.7406919636300511,153,8594b6595861,0.3420739769935608,0.7086281776428223,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.5996050535988418,95,7c80e08ee743,0.5646490454673767,2.9869420528411865,0.5,0.0,1.0,1,1.6069285261631012,44,2d4009710863,0.26340043544769287,-0.09668674319982529,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.42017538466568866,124,3b11edaeeba4,0.460082471370697,1.9165818691253662,0.0,0.2554127452163465,0.0,1,0.7232778400442146,15,c5e6a1a8c44d,0.3375607430934906,0.6624299883842468,0.1666666716337204,0.14384099455923594,0.38008251264002774,1,0.701129484929539,186,4c7ceb754866,0.40243110060691833,1.3264533281326294,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.8172607886147109
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.6716803312301636,3.744015693664551,0.1818181872367859,0.4054650386637325,0.5410330217665478,1,1.4318130067054076,51,6385c0e2eb2e,0.537076473236084,1.699987530708313,0.27272728085517883,0.29389328800662196,1.0,1,1.3398090519080323,81,e9ce432833f3,0.49409449100494385,1.0472842454910278,0.1666666716337204,0.29389328800662196,0.6661069603241577,1,0.9861482253277031,157,018f6a0e7f9a,0.44015952944755554,0.22825443744659424,0.125,0.0,0.36036418183651636,1,0.6377481032689903,18,1c10b347eeee,0.4379226267337799,0.19428592920303345,0.09090909361839294,0.5493060332229684,0.22346917081886988,1,0.4820251318377174,145,7809c19536e4,0.5914332866668701,2.525423526763916,0.06666667014360428,0.12565719826743915,0.15907974871851754,1,0.9632311432423972,194,094e12b11051,0.500445544719696,1.143728256225586,0.07692307978868484,0.29389328800662196,0.18585554800777296,1,0.6781794270410307,99,78b76b55f875,0.4600042402744293,0.5296064615249634,0.0833333358168602,0.4054650386637325,0.3341692546148913,1,0.64352248086048,9,3cdbc3929112,0.5429513454437256,1.7892004251480103,0.0833333358168602,0.4054650386637325,0.20293416593281158,1,0.8115318081696782,102,f2c8cd5b27ab,0.5361248254776001,1.68553626537323,0.07692307978868484,0.29389328800662196,0.2803772187470784,1,0.8562667936024403
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.7870267629623413,4.712904930114746,0.27272728085517883,0.0,0.99530758268517,1,1.77216988747137,145,7809c19536e4,0.5356360673904419,0.955379068851471,0.27272728085517883,0.0,1.0,1,1.1408276546001435,15,c5e6a1a8c44d,0.5462628602981567,1.1142172813415527,0.2222222238779068,0.27980784039629336,0.8812522236029512,1,1.0604839835420068,186,4c7ceb754866,0.492944598197937,0.31727153062820435,0.20000000298023224,0.1682360897391828,0.6227890661610791,1,0.7558808967853149,35,e19513a85bed,0.5082571506500244,0.5461475849151611,0.25,0.4236488349555293,0.7193948505967354,1,0.8342540860000064,184,389dd43f303d,0.5057406425476074,0.5085334777832031,0.2222222238779068,0.27980784039629336,0.7213795363593288,1,0.8452381913038495,103,6680fc36f234,0.6206529140472412,2.2261223793029785,0.20000000298023224,0.1682360897391828,0.6606693773587912,1,1.1095030577372789,191,a9be4c9c15a1,0.5257812738418579,0.8080798983573914,0.1538461595773697,0.06676568738369093,0.4355340937421637,1,0.7221709633106651,83,4ffdd533affb,0.5284563302993774,0.8480638861656189,0.10000000149011612,0.27980784039629336,0.45208944765912534,1,0.7230773787263794,46,f64f2eefbcb7,0.5581908822059631,1.292504906654358,0.09090909361839294,0.1682360897391828,0.46928644105215295,1,0.8247042566256105
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.6114763021469116,3.327739715576172,0.1666666716337204,0.0,1.0,1,1.7589986461400986,154,17f9d29c543d,0.4463309347629547,0.6262168884277344,0.1666666716337204,0.0,0.6014932466855267,1,0.8661110931950244,199,0d99df7b9f80,0.6216088533401489,3.493492603302002,0.1818181872367859,0.07707532800886907,0.8768824657917131,1,1.6997465885885097,16,6e6ec1a475b8,0.48592203855514526,1.2738661766052246,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.7877392395018861,103,6680fc36f234,0.5230295658111572,1.8808878660202026,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.9277433975219056,67,3574e4789085,0.4058568477630615,-0.03587659075856209,0.09090909361839294,0.1682360897391828,0.5076245470939644,1,0.6363140198465206,91,b1f99c3dcd62,0.37198954820632935,-0.5898932218551636,0.09090909361839294,0.1682360897391828,0.41033208986285585,1,0.44043026674970476,169,2d10ff099811,0.4428010880947113,0.5684740543365479,0.09090909361839294,0.1682360897391828,0.41033208986285585,1,0.7075974363504298,115,830e9df61ddd,0.5352112650871277,2.0801615715026855,0.10000000149011612,0.27980784039629336,0.5900009613842612,1,1.1696220484890802,9,3cdbc3929112,0.4584377706050873,0.8242660164833069,0.10000000149011612,0.27980784039629336,0.31927202197560756,1,0.6909609940723684
5,abdac161e57b,design medical devices or appliances,162,957f012e4031,0.5424482226371765,2.920837163925171,0.1666666716337204,0.14384099455923594,1.0,1,1.7136714808024458,213,f1b4c19341de,0.30950456857681274,-0.518733561038971,0.1111111119389534,0.2027325123874243,0.7671232876712328,1,0.7407281835120103,127,3d77dabe7560,0.5341053009033203,2.7976481914520264,0.1428571492433548,0.0,0.46335877870863124,1,1.3278595358803056,157,018f6a0e7f9a,0.40266454219818115,0.8568364977836609,0.0833333358168602,0.4054650386637325,0.31748657059665475,1,0.7339477906816332,29,ef7349785e11,0.32543617486953735,-0.2834925949573517,0.1428571492433548,0.0,0.46335877870863124,0,0.5228315239324353,155,f6d7dbe3f71e,0.39841049909591675,0.7940226793289185,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,0.8727130967355805,219,573d5b3bbb3d,0.4034854471683502,0.8689577579498291,0.0,0.0,0.0,1,0.5628027114272117,147,a2140782858a,0.2957313656806946,-0.7221041917800903,0.125,0.11157175065711056,0.4243632379262217,1,0.4615002129272271,24,2ae9204d54c8,0.40371596813201904,0.8723615407943726,0.1428571492433548,0.0,0.46335877870863124,1,0.8748173267318985,131,c3b47654a283,0.40424904227256775,0.8802327513694763,0.0,0.0,0.0,1,0.5655300858616829
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.6294158697128296,3.4934940338134766,0.375,0.09116076173031373,1.0,1,1.7458839476688266,141,dbc0d59bd942,0.41033315658569336,0.9254397749900818,0.2222222238779068,0.09116076173031373,0.6219592058133134,1,0.9348392208430463,49,824d3015533f,0.38491472601890564,0.6274887919425964,0.10000000149011612,0.09116076173031373,0.2988671198922223,0,0.5705246033658622,59,da6e8742f6bf,0.5246409177780151,2.2653379440307617,0.25,0.2027325123874243,0.6211695670957962,1,1.2201368296027313,214,fc824bfe7bf0,0.3912912905216217,0.7022339105606079,0.10000000149011612,0.09116076173031373,0.4049996907988265,1,0.7420188266455046,181,49ccfbfcfc0a,0.4481441378593445,1.3686543703079224,0.1111111119389534,0.2027325123874243,0.47072232479609577,1,0.9290665700038508,208,c1c0caaa937b,0.2773216664791107,-0.6337007284164429,0.1111111119389534,0.2027325123874243,0.29483898213239673,1,0.34613165695155285,204,62b52b411f3a,0.5368325710296631,2.4082467555999756,0.25,0.2027325123874243,0.7370548607343586,1,1.3331868178617077,10,365ec2897755,0.42169609665870667,1.0586344003677368,0.10000000149011612,0.09116076173031373,0.3519334053455243,1,0.7868924264514917,183,ff9c96c6d776,0.3753963112831116,0.5159153938293457,0.09090909361839294,0.0,0.24906489358216158,1,0.5997108082384739
7,bfcc3cdee21d,devise research or testing protocols,188,be19a52818cf,0.29735636711120605,0.4022993743419647,0.125,0.11157175065711056,1.0,0,1.1049388640506714,209,2ac9980eb5e6,0.32087135314941406,1.0134423971176147,0.1111111119389534,0.2027325123874243,0.6149755153908953,0,0.9735484629537113,56,269bfa3db5c6,0.3956156373023987,2.956009864807129,0.0,0.11157175065711056,0.0,0,1.038842851756379,59,da6e8742f6bf,0.3071029782295227,0.6556090116500854,0.1428571492433548,0.0,0.7279980425438168,0,0.9844333028873421,195,6b483cafcca2,0.3829441964626312,2.626685380935669,0.0,0.0,0.0,0,0.9695610105991364,204,62b52b411f3a,0.27066099643707275,-0.2915003001689911,0.1428571492433548,0.0,0.7279980425438168,1,0.839392449863813,134,469df54e4928,0.3771827220916748,2.47694730758667,0.0,0.4054650386637325,0.0,0,0.8924403367393625,214,fc824bfe7bf0,0.2493383288383484,-0.8456660509109497,0.125,0.11157175065711056,1.0,1,0.8873753689362258,48,23ca56c5d573,0.34850722551345825,1.7316851615905762,0.0,0.0,0.0,0,0.7509532123804092,208,c1c0caaa937b,0.23021064698696136,-1.342785120010376,0.1428571492433548,0.0,0.7279980425438168,1,0.5895986297806717
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,148,253c9a1feb09,0.7064986228942871,3.3423702716827393,0.0714285746216774,0.34657354027998,0.3971492778525809,1,1.3590614538566796,57,c1933354ef21,0.2814728617668152,-0.6633520722389221,0.1818181872367859,0.6019862854963265,0.6591046042245914,0,0.47204687608560225,94,832ecabbf00a,0.5944681167602539,2.2865209579467773,0.0714285746216774,0.34657354027998,0.2791607921593588,1,1.0225583017847464,9,3cdbc3929112,0.4037397801876068,0.4889717698097229,0.27272728085517883,0.45814529093709055,1.0,0,0.9901262603376244,130,cbb58925807f,0.33080625534057617,-0.19840173423290253,0.0833333358168602,0.6019862854963265,0.40694789496267003,1,0.48846885115461736,174,003763627ff4,0.4863418936729431,1.2674684524536133,0.06666667014360428,0.25541277854966626,0.20334964494839133,1,0.7340378097466789,72,91e3b64a6f04,0.595453679561615,2.295809745788574,0.0625,0.1783374505407972,0.3399328564670396,1,1.085507873180505,176,62eda05f366c,0.5737030506134033,2.090817451477051,0.07692307978868484,0.45814529093709055,0.43364407635795327,1,1.0716969379652186,139,80c1c070d6f0,0.373269647359848,0.20180119574069977,0.0714285746216774,0.34657354027998,0.3384517146224187,0,0.4827273436330128,92,3f67b920ee49,0.4787957966327667,1.196349024772644,0.06666667014360428,0.25541277854966626,0.30226484596362396,1,0.7861598549168182
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.66581130027771,2.875622272491455,0.3333333432674408,0.0,1.0,1,1.7633333492279053,84,c6940290ea74,0.6069260835647583,2.1236915588378906,0.2857142984867096,0.11157175065711056,0.7852673921958094,1,1.4299919473296892,8,04d0abdf0b41,0.4037397801876068,-0.4708816111087799,0.27272728085517883,0.45814529093709055,0.9727897385813257,1,0.9011725035274184,182,8729852fc4b8,0.6533716320991516,2.7167749404907227,0.25,0.2027325123874243,0.8447488584474884,1,1.6124550795372847,21,c9b70de179fe,0.5739818811416626,1.7030129432678223,0.1428571492433548,0.0,0.4600056990490311,1,1.132412657852388,204,62b52b411f3a,0.43140196800231934,-0.11765123158693314,0.3333333432674408,0.0,1.0,1,1.0481646309792996,59,da6e8742f6bf,0.5363346338272095,1.2222790718078613,0.1428571492433548,0.0,0.5091386755288673,1,1.0474965097493651,18,1c10b347eeee,0.45768362283706665,0.2179505079984665,0.1666666716337204,0.14384099455923594,0.4376366601159687,1,0.7321183669484509,2,771b010da2fa,0.5429513454437256,1.3067706823349,0.0833333358168602,0.4054650386637325,0.2723072551832694,1,0.8695040672178745,10,365ec2897755,0.5096035003662109,0.8809377551078796,0.125,0.11157175065711056,0.4945492360194517,1,0.9432526673499391
