q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,103,6680fc36f234,0.5565820932388306,2.8458666801452637,0.1111111119389534,0.0,0.42020984140568113,0,1.0,100,6002eddcd7d0,0.42315512895584106,0.3167259693145752,0.125,0.11157175065711056,0.31816080182986706,0,0.37459230422973633,120,a04637eaf44a,0.4207688868045807,0.27149417996406555,0.0,0.11157175065711056,0.0,0,0.3634073734283447,37,78a6d412d86e,0.4237116575241089,0.3272751271724701,0.2222222238779068,0.09116076173031373,1.0,0,0.3772009015083313,40,f64df278da5d,0.48651808500289917,1.5177862644195557,0.0,0.11157175065711056,0.0,0,0.6715913414955139,35,e19513a85bed,0.4351325035095215,0.5437600612640381,0.1428571492433548,0.2554127452163465,0.35035564487217496,0,0.43073344230651855,43,61355ce7e829,0.4789596199989319,1.3745137453079224,0.1428571492433548,0.2554127452163465,0.5052523093092118,0,0.6361628174781799,140,f07eaef01260,0.4384959042072296,0.6075140833854675,0.125,0.11157175065711056,0.31816080182986706,0,0.4464986026287079,3,33b4e36b0d81,0.45391833782196045,0.899850070476532,0.20000000298023224,0.1682360897391828,0.6090768487392924,0,0.518787682056427,167,00c6f12023ab,0.5275501012802124,2.295557975769043,0.2857142984867096,0.11157175065711056,0.8065963084128944,0,0.8639193177223206
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.819359302520752,3.840245246887207,0.5,0.0,1.0,0,1.0,37,78a6d412d86e,0.43289774656295776,0.2253081202507019,0.0,0.3465735069466602,0.0,0,0.24160794913768768,198,edb3d68bc36f,0.44628503918647766,0.35053202509880066,0.1428571492433548,0.2554127452163465,0.5866964104389011,0,0.2678791582584381,119,b729f6985724,0.4433111548423767,0.3227144777774811,0.0,0.2554127452163465,0.0,0,0.26204320788383484,124,3b11edaeeba4,0.4480978846549988,0.3674892485141754,0.0,0.2554127452163465,0.0,0,0.2714366912841797,196,0f2541e582f8,0.46755218505859375,0.5494635701179504,0.125,0.3465735069466602,0.4460490190027163,0,0.30961382389068604,35,e19513a85bed,0.4801473021507263,0.6672775149345398,0.20000000298023224,0.0,0.4185432430857448,0,0.3343304693698883,186,4c7ceb754866,0.4900514483451843,0.7599202394485474,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.3537663519382477,17,e1dbddbff402,0.4714244604110718,0.585684597492218,0.1666666716337204,0.14384099455923594,0.38008251264002774,0,0.3172127604484558,153,8594b6595861,0.4715026617050171,0.5864160656929016,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.31736621260643005
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.6829652786254883,4.204921245574951,0.1818181872367859,0.4054650386637325,0.5410330217665478,0,1.0,156,ae5e42c6c3d0,0.47879117727279663,0.34648841619491577,0.0833333358168602,0.4054650386637325,0.30614161182113425,0,0.27778589725494385,55,4805101e52c6,0.5117306709289551,0.9689710140228271,0.07692307978868484,0.29389328800662196,0.34345305712870267,0,0.39430099725723267,192,8562bf3caec4,0.49817678332328796,0.7128329277038574,0.07692307978868484,0.29389328800662196,0.18585554800777296,0,0.3463575839996338,157,018f6a0e7f9a,0.47427842020988464,0.2612074315547943,0.125,0.0,0.36036418183651636,0,0.2618231773376465,63,50171927f859,0.5418137311935425,1.537473440170288,0.06666667014360428,0.12565719826743915,0.16216015645362905,0,0.5007122159004211,220,7cd42be784e2,0.4989386200904846,0.7272299528121948,0.07692307978868484,0.29389328800662196,0.18945444021315078,0,0.349052369594574,89,b03b706832f2,0.5144957304000854,1.0212243795394897,0.0,0.20273252627630822,0.0,0,0.40408170223236084,102,f2c8cd5b27ab,0.511000394821167,0.9551704525947571,0.07692307978868484,0.29389328800662196,0.2803772187470784,0,0.3917178511619568,51,6385c0e2eb2e,0.5469141602516174,1.6338601112365723,0.27272728085517883,0.29389328800662196,1.0,0,0.518753707408905
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.7960438132286072,4.7248969078063965,0.27272728085517883,0.0,0.99530758268517,0,1.0,153,8594b6595861,0.5290286540985107,0.537977933883667,0.09090909361839294,0.1682360897391828,0.33780099145550035,0,0.27255576848983765,35,e19513a85bed,0.5247241258621216,0.47048094868659973,0.25,0.4236488349555293,0.7193948505967354,0,0.2608287036418915,63,50171927f859,0.5094155073165894,0.230434849858284,0.0,0.0,0.0,0,0.21912258863449097,16,6e6ec1a475b8,0.5264108180999756,0.4969290494918823,0.20000000298023224,0.1682360897391828,0.6227890661610791,0,0.26542386412620544,145,7809c19536e4,0.5276697874069214,0.516670286655426,0.27272728085517883,0.0,1.0,0,0.2688537538051605,184,389dd43f303d,0.582982063293457,1.3839918375015259,0.2222222238779068,0.27980784039629336,0.7213795363593288,0,0.4195440411567688,140,f07eaef01260,0.5097987651824951,0.23644450306892395,0.10000000149011612,0.27980784039629336,0.2844461331148134,0,0.22016672790050507,38,a3c08ed1a115,0.5343462228775024,0.6213598251342773,0.0833333358168602,0.07707532800886907,0.485764528545711,0,0.2870427370071411,77,9b108680399f,0.5366106033325195,0.6568663120269775,0.1111111119389534,0.4236488349555293,0.4061654778214944,0,0.2932116985321045
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",199,0d99df7b9f80,0.6723760366439819,3.8699700832366943,0.1818181872367859,0.07707532800886907,0.8768824657917131,0,1.0,84,c6940290ea74,0.5146728754043579,0.88547682762146,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.4102006256580353,168,ab35d13698b5,0.5175085067749023,0.9391404390335083,0.0,0.07707532800886907,0.0,0,0.4208056926727295,27,88a991273442,0.5350396633148193,1.2709132432937622,0.10000000149011612,0.27980784039629336,0.5542711270971936,0,0.4863710403442383,184,389dd43f303d,0.4915233254432678,0.4473773241043091,0.10000000149011612,0.27980784039629336,0.31927202197560756,0,0.32362282276153564,142,c71cb5036aef,0.6124974489212036,2.7367825508117676,0.1666666716337204,0.0,1.0,0,0.77605801820755,36,e5bfe7745119,0.5006686449050903,0.6204501986503601,0.0,0.07707532800886907,0.0,0,0.35782572627067566,198,edb3d68bc36f,0.5062079429626465,0.7252800464630127,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.37854233384132385,178,78b65ab85b19,0.48495280742645264,0.3230319023132324,0.0,0.1682360897391828,0.0,0,0.2990495264530182,61,dc17b84d2d6b,0.5062969923019409,0.7269653081893921,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.37887537479400635
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.6429274082183838,3.8171498775482178,0.125,0.11157175065711056,0.4243632379262217,0,1.0,83,4ffdd533affb,0.4274333119392395,0.29429736733436584,0.0,0.0,0.0,0,0.2937544584274292,209,2ac9980eb5e6,0.4246103763580322,0.2481486201286316,0.1111111119389534,0.2027325123874243,0.3914217993657387,0,0.284502774477005,162,957f012e4031,0.5005135536193848,1.4889979362487793,0.1666666716337204,0.14384099455923594,1.0,0,0.5332626104354858,193,adb21e5e1a03,0.4488745927810669,0.6448149681091309,0.0,0.11157175065711056,0.0,0,0.36402463912963867,161,f1f35b083d3a,0.42656293511390686,0.28006863594055176,0.0,0.11157175065711056,0.0,0,0.29090192914009094,73,a40c650a049f,0.4313696324825287,0.35864752531051636,0.0,0.27980784039629336,0.0,0,0.30665507912635803,76,298036041aa4,0.45279255509376526,0.7088649868965149,0.0,0.11157175065711056,0.0,0,0.37686508893966675,127,3d77dabe7560,0.44932588934898376,0.6521926522254944,0.1428571492433548,0.0,0.46335877870863124,0,0.3655036985874176,65,8da0e9e0dffc,0.44383952021598816,0.5625026226043701,0.0,0.11157175065711056,0.0,0,0.347523033618927
6,75e527217c38,research engineering aspects of biological or chemical processes,204,62b52b411f3a,0.6710986495018005,3.3051249980926514,0.25,0.2027325123874243,0.7370548607343586,0,1.0,185,7b03e0901b8c,0.4081783890724182,0.18481312692165375,0.10000000149011612,0.09116076173031373,0.2988671198922223,0,0.2873769700527191,141,dbc0d59bd942,0.4645034670829773,0.8532736301422119,0.2222222238779068,0.09116076173031373,0.6219592058133134,0,0.44004130363464355,181,49ccfbfcfc0a,0.5331571698188782,1.6680490970611572,0.1111111119389534,0.2027325123874243,0.47072232479609577,0,0.6261213421821594,192,8562bf3caec4,0.441675066947937,0.5823484063148499,0.0,0.09116076173031373,0.0,0,0.3781668543815613,59,da6e8742f6bf,0.5201594829559326,1.5137938261032104,0.25,0.2027325123874243,0.6211695670957962,0,0.5908921957015991,206,c32f9f13a109,0.6400746703147888,2.9369356632232666,0.375,0.09116076173031373,1.0,0,0.9159121513366699,157,018f6a0e7f9a,0.49410170316696167,1.204542636871338,0.1538461595773697,0.20273252627630822,0.4653176280529234,0,0.5202648043632507,182,8729852fc4b8,0.42625489830970764,0.3993433713912964,0.0,0.0,0.0,0,0.3363718092441559,160,56c85bc2a8f3,0.45760756731033325,0.7714337706565857,0.1111111119389534,0.2027325123874243,0.29483898213239673,0,0.42135053873062134
7,bfcc3cdee21d,devise research or testing protocols,158,16ac0e74dbe1,0.46842658519744873,2.8451712131500244,0.0,0.0,0.0,0,1.0,163,3ac212a9f7c3,0.3333401679992676,0.24684497714042664,0.0,0.11157175065711056,0.0,0,0.3433017432689667,116,1cf7420e0aac,0.3435162603855133,0.4425775110721588,0.0,0.2027325123874243,0.0,0,0.39277100563049316,134,469df54e4928,0.39986705780029297,1.5264596939086914,0.0,0.4054650386637325,0.0,0,0.6667101979255676,57,c1933354ef21,0.33182859420776367,0.2177705317735672,0.0,0.14384099455923594,0.0,0,0.3359535038471222,209,2ac9980eb5e6,0.38089922070503235,1.1616219282150269,0.1111111119389534,0.2027325123874243,0.6149755153908953,0,0.5745015144348145,108,3f3251058257,0.41044819355010986,1.7299830913543701,0.0,0.11157175065711056,0.0,0,0.7181485295295715,201,42bb588edac5,0.3590348958969116,0.7410714626312256,0.0,0.14384099455923594,0.0,0,0.4682120382785797,149,c9b79bbec6f3,0.38401558995246887,1.2215638160705566,0.0,0.0,0.0,0,0.5896511673927307,145,7809c19536e4,0.33389294147491455,0.2574773132801056,0.0,0.27980784039629336,0.0,0,0.3459889590740204
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,148,253c9a1feb09,0.7081685066223145,3.125727653503418,0.0714285746216774,0.34657354027998,0.3971492778525809,0,1.0,167,00c6f12023ab,0.43899744749069214,0.12108483165502548,0.07692307978868484,0.45814529093709055,0.24072201212809577,0,0.25455817580223083,92,3f67b920ee49,0.44709423184394836,0.21146580576896667,0.06666667014360428,0.25541277854966626,0.30226484596362396,0,0.276981383562088,215,79b70e0eb0dc,0.46441349387168884,0.4047934114933014,0.0,0.25541277854966626,0.0,0,0.324945330619812,94,832ecabbf00a,0.6069350838661194,1.9957016706466675,0.0714285746216774,0.34657354027998,0.2791607921593588,0,0.7196443676948547,29,ef7349785e11,0.44478440284729004,0.18568216264247894,0.0,0.45814529093709055,0.0,0,0.2705845534801483,192,8562bf3caec4,0.45743054151535034,0.3268456757068634,0.0,0.34657354027998,0.0,0,0.30560675263404846,96,1cbedefabffc,0.4623818099498749,0.38211458921432495,0.0,0.25541277854966626,0.0,0,0.3193187713623047,81,e9ce432833f3,0.4503270387649536,0.2475522756576538,0.0714285746216774,0.34657354027998,0.22046322892919656,0,0.28593432903289795,46,f64f2eefbcb7,0.47364991903305054,0.5078957080841064,0.0714285746216774,0.34657354027998,0.2791607921593588,0,0.3505246639251709
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.6518239974975586,2.5212059020996094,0.3333333432674408,0.0,1.0,0,1.0,98,207462e43a8e,0.552699089050293,0.7520185112953186,0.10000000149011612,0.27980784039629336,0.3115379614384862,0,0.5208723545074463,85,e9ceea91a9c3,0.5273754000663757,0.30003973841667175,0.1666666716337204,0.14384099455923594,0.5606586605526216,0,0.3984684348106384,99,78b76b55f875,0.5387481451034546,0.5030211806297302,0.0,0.0,0.0,0,0.4534394443035126,195,6b483cafcca2,0.5836448669433594,1.3043407201766968,0.1428571492433548,0.0,0.5399943009509689,0,0.6704511046409607,8,04d0abdf0b41,0.5216326713562012,0.1975431740283966,0.27272728085517883,0.45814529093709055,0.9727897385813257,0,0.3707105219364166,29,ef7349785e11,0.575043797492981,1.150828242301941,0.0,0.0,0.0,0,0.6288771629333496,73,a40c650a049f,0.5448586940765381,0.6120826601982117,0.0,0.27980784039629336,0.0,0,0.4829752445220947,59,da6e8742f6bf,0.6098557710647583,1.772154450416565,0.1428571492433548,0.0,0.5091386755288673,0,0.7971434593200684,146,284cc33eb902,0.5345009565353394,0.42721712589263916,0.0,0.0,0.0,0,0.43291035294532776
10,365ec2897755,create models of engineering designs or methods,141,dbc0d59bd942,0.7318539619445801,3.7345426082611084,0.25,0.0,0.7567483094442703,0,1.0,153,8594b6595861,0.4818713665008545,0.4296581745147705,0.0,0.0,0.0,0,0.3438262343406677,97,48c561c86be0,0.5099570751190186,0.8009641170501709,0.10000000149011612,0.09116076173031373,0.40918581043703006,0,0.4175477921962738,163,3ac212a9f7c3,0.4967157244682312,0.6259074211120605,0.1111111119389534,0.0,0.3712529889115234,0,0.38279086351394653,131,c3b47654a283,0.6537295579910278,2.701702117919922,0.2857142984867096,0.11157175065711056,1.0,0,0.7949329614639282,9,3cdbc3929112,0.5035064220428467,0.7156835198402405,0.125,0.11157175065711056,0.37911370641117814,0,0.4006156325340271,83,4ffdd533affb,0.4828442931175232,0.44252070784568787,0.125,0.11157175065711056,0.4053681284331229,0,0.3463800549507141,102,f2c8cd5b27ab,0.5333322286605835,1.1099944114685059,0.1111111119389534,0.0,0.3712529889115234,0,0.47890472412109375,104,985eed507e3a,0.5382036566734314,1.1743968725204468,0.10000000149011612,0.09116076173031373,0.34243426374487546,0,0.49169161915779114,75,f634ee56b726,0.49112993478775024,0.5520607233047485,0.0,0.2554127452163465,0.0,0,0.36812886595726013
11,810124c49b5c,maintain operational records or records systems,43,61355ce7e829,0.7485939264297485,3.806144952774048,0.4000000059604645,0.2554127452163465,1.0,0,1.0,200,9ff41f315fd5,0.43993762135505676,0.1350201964378357,0.1666666716337204,0.2554127452163465,0.21954820813358603,0,0.2465115487575531,140,f07eaef01260,0.4929113984107971,0.7650845646858215,0.1428571492433548,0.11157175065711056,0.15375417716650638,0,0.3758305609226227,27,88a991273442,0.48770463466644287,0.7031558752059937,0.1428571492433548,0.11157175065711056,0.2360410175661345,0,0.36311987042427063,86,19ea31d71f7c,0.6373390555381775,2.48289155960083,0.2857142984867096,0.0,0.39877072879295705,0,0.7284058332443237,164,0c9fad019eee,0.5487781763076782,1.4295580387115479,0.1666666716337204,0.2554127452163465,0.16931263557025997,0,0.5122119188308716,118,eb485b5cf6a6,0.5332490801811218,1.244856595993042,0.1666666716337204,0.2554127452163465,0.16931263557025997,0,0.4743024706840515,191,a9be4c9c15a1,0.48827454447746277,0.7099343538284302,0.09090909361839294,0.23500177712287373,0.11242894377788015,0,0.3645111322402954,81,e9ce432833f3,0.4580395519733429,0.3503226041793823,0.125,0.0,0.1408144691871469,0,0.2907017767429352,44,2d4009710863,0.5060669779777527,0.9215556383132935,0.125,0.0,0.1408144691871469,0,0.40794581174850464
12,9251af4a3821,supervise engineering or other technical personnel,184,389dd43f303d,0.8467646837234497,4.176249980926514,0.5,0.11157175065711056,1.0,0,1.0,75,f634ee56b726,0.5079408884048462,0.03998580574989319,0.0,0.2554127452163465,0.0,0,0.19474564492702484,173,49c0d2367c5d,0.5422739386558533,0.45911386609077454,0.0,0.0,0.0,0,0.27634215354919434,43,61355ce7e829,0.516081690788269,0.13936640322208405,0.1428571492433548,0.2554127452163465,0.3580481265453592,0,0.21409320831298828,197,3a46124701c0,0.5090105533599854,0.053043972700834274,0.0,0.11157175065711056,0.0,0,0.19728782773017883,0,d52ebdd6c51c,0.5538400411605835,0.6003095507621765,0.1111111119389534,0.0,0.2977826002951503,0,0.3038303554058075,62,c6d9ce80244c,0.5575901865959167,0.6460902690887451,0.20000000298023224,0.1682360897391828,0.526213114380662,0,0.31274300813674927,114,98e7b9000779,0.5441230535507202,0.4816873371601105,0.1666666716337204,0.45814521593713003,0.39835818052728705,0,0.2807367742061615,201,42bb588edac5,0.5324195623397827,0.33881446719169617,0.0,0.2554127452163465,0.0,0,0.25292208790779114,65,8da0e9e0dffc,0.509040355682373,0.05340778827667236,0.0,0.0,0.0,0,0.1973586529493332
13,f7e80a0049c6,estimate operational costs,35,e19513a85bed,0.6638193726539612,2.6479122638702393,0.20000000298023224,0.0,0.2943049496355578,0,1.0,88,d1809a4492b8,0.6312786340713501,2.2747340202331543,0.4000000059604645,0.14384099455923594,1.0,0,0.9037283658981323,220,7cd42be784e2,0.5285090804100037,1.096168875694275,0.1428571492433548,0.2554127452163465,0.2447684729642263,0,0.59968501329422,106,48548f20bc23,0.4731636047363281,0.4614648222923279,0.20000000298023224,0.0,0.5062195869865909,0,0.43594563007354736,197,3a46124701c0,0.4681606590747833,0.40409085154533386,0.1666666716337204,0.14384099455923594,0.2672607110203985,0,0.4211444556713104,164,0c9fad019eee,0.47305434942245483,0.4602119028568268,0.20000000298023224,0.0,0.2943049496355578,0,0.4356224238872528,55,4805101e52c6,0.4888930022716522,0.6418501734733582,0.0,0.2554127452163465,0.0,0,0.4824810028076172,100,6002eddcd7d0,0.5257239937782288,1.0642293691635132,0.1666666716337204,0.14384099455923594,0.2672607110203985,0,0.5914453268051147,104,985eed507e3a,0.5468767881393433,1.3068103790283203,0.125,0.3465735069466602,0.45641602459476116,0,0.6540257930755615,36,e5bfe7745119,0.5316157341003418,1.1317960023880005,0.125,0.3465735069466602,0.2257681805423457,0,0.6088760495185852
14,ccf9fc39d00f,estimate time requirements for development or production projects,98,207462e43a8e,0.8372962474822998,4.800624847412109,0.625,0.07707532800886907,1.0,0,1.0,172,2c5271f1a3e4,0.47089964151382446,0.49569401144981384,0.0,0.0,0.0,0,0.2616942822933197,106,48548f20bc23,0.5303990840911865,1.1947752237319946,0.2857142984867096,0.3465735069466602,0.5833067680250507,0,0.381588339805603,49,824d3015533f,0.4855119287967682,0.6673792600631714,0.0,0.09116076173031373,0.0,0,0.2911387085914612,55,4805101e52c6,0.5500193238258362,1.4253007173538208,0.0,0.09116076173031373,0.0,0,0.42112401127815247,2,771b010da2fa,0.48553937673568726,0.6677017211914062,0.0,0.20273252627630822,0.0,0,0.29119399189949036,105,8bb47fa10a52,0.4696199595928192,0.48065856099128723,0.1111111119389534,0.2027325123874243,0.24473018031009058,0,0.25911566615104675,89,b03b706832f2,0.5147750973701477,1.0112031698226929,0.09090909361839294,0.0,0.20673554044459702,0,0.35010531544685364,146,284cc33eb902,0.47735071182250977,0.5714900493621826,0.1111111119389534,0.2027325123874243,0.26485280277894196,0,0.27469348907470703,71,1cb040da80f9,0.45571717619895935,0.31730955839157104,0.0,0.07707532800886907,0.0,0,0.2311009168624878
