model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.0832041501998901,0.49665042757987976,3.2373032569885254,0.1320754736661911,0.4285714328289032,1.0,0
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4515,4a1caf119652,2,0.6197382378578186,0.2604787349700928,0.9928949475288391,0.029411764815449715,0.7142857313156128,0.45632249116897583,1
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,3,0.6715465950965881,0.2880270779132843,1.2546948194503784,0.01923076994717121,0.5714285969734192,0.5206381678581238,1
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,824,b2b3f57d7c91,4,0.5274451375007629,0.2050599455833435,0.466234028339386,0.145454540848732,0.7142857313156128,0.45632249116897583,0
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,5,0.6406224370002747,0.18013885617256165,0.22940166294574738,0.15625,0.7142857313156128,0.6748585104942322,0
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,2198,d24136be4b15,6,0.5453980565071106,0.2775179445743561,1.1548235416412354,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3762,3f9e06094af7,7,0.4837014079093933,0.22683119773864746,0.673132598400116,0.014492753893136978,0.8571428656578064,0.40614983439445496,0
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,2449,b23da12a1f47,8,0.5010135173797607,0.2183804214000702,0.5928223729133606,0.019607843831181526,0.7142857313156128,0.45632249116897583,0
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3229,095a703ccc5d,9,0.4788679051399231,0.41511663794517517,2.462463855743408,0.08196721225976944,0.4285714328289032,0.0,1
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,461,74295bd1e6b4,10,0.4700334966182709,0.1459754854440689,-0.0952627956867218,0.01666666753590107,0.5714285969734192,0.5206381678581238,0
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.282759861946106,0.5950114727020264,4.141520977020264,0.23999999463558197,0.5,1.0,1
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,1.103945450782776,0.5096023082733154,3.3572187423706055,0.17241379618644714,0.75,0.8359322547912598,1
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,3,0.6257445383071899,0.1385347545146942,-0.05025137588381767,0.19512194395065308,0.6666666865348816,0.560200035572052,1
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4454,bfc3dbee3d73,4,0.4647586810588837,0.4369710087776184,2.690253973007202,0.0,0.2666666805744171,0.0,1
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,5,0.8166418242454528,0.38623476028442383,2.224348783493042,0.12962962687015533,0.6666666865348816,0.560200035572052,1
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,6,0.712736189365387,0.3640138506889343,2.020296812057495,0.11290322244167328,0.6666666865348816,0.560200035572052,0
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4310,506583358173,7,0.5464473366737366,0.21839958429336548,0.6831380128860474,0.09803921729326248,0.5714285969734192,0.5047074556350708,0
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,2894,cf18143d1067,8,0.4632649290561676,0.39207637310028076,2.277991771697998,0.0,1.0,0.0,1
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,3270,8b34e22b3caa,9,0.4754543471336365,0.399213969707489,2.3435356616973877,0.020408162847161293,1.0,0.0,1
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4311,dad8075f10c2,10,0.653102457523346,0.3413265347480774,1.8119618892669678,0.10526315867900848,0.5714285969734192,0.5047074556350708,0
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,1.1304603385925294,0.4798673987388611,2.9513957500457764,0.1034482792019844,0.23076923191547394,1.0,1
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5212,4560445c4d7f,2,0.8259526062011718,0.3667629361152649,1.96235990524292,0.05263157933950424,0.23076923191547394,0.6781270503997803,1
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1719,2af2d91166d4,3,0.9183503556251525,0.32819175720214844,1.625076413154602,0.08791209012269974,0.23076923191547394,0.8691253662109375,1
