model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/paraphrase-albert-small-v2,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.92284095287323,0.49665042757987976,3.2373032569885254,0.1666666716337204,0.4285714328289032,1.0,0
sentence-transformers/paraphrase-albert-small-v2,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,2,0.5773932814598084,0.2880270779132843,1.2546948194503784,0.0,0.5714285969734192,0.5206381678581238,1
sentence-transformers/paraphrase-albert-small-v2,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,4515,4a1caf119652,3,0.49162015318870544,0.2604787349700928,0.9928949475288391,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/paraphrase-albert-small-v2,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,398,f60c11ff2b62,4,0.4783897280693054,0.371246874332428,2.0455567836761475,0.0,0.5714285969734192,0.0,1
sentence-transformers/paraphrase-albert-small-v2,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,3229,095a703ccc5d,5,0.5079737782478333,0.41511663794517517,2.462463855743408,0.0,0.4285714328289032,0.0,1
sentence-transformers/paraphrase-albert-small-v2,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,6,0.5127679109573364,0.18013885617256165,0.22940166294574738,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/paraphrase-albert-small-v2,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,2198,d24136be4b15,7,0.5086594223976135,0.2775179445743561,1.1548235416412354,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/paraphrase-albert-small-v2,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,3651,1efe61d0a58c,8,0.49458845257759093,0.40173131227493286,2.335259199142456,0.0,0.4285714328289032,0.0,1
sentence-transformers/paraphrase-albert-small-v2,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,4813,2bd4f6ae2127,9,0.5065678834915162,0.37085360288619995,2.0418193340301514,0.0,0.8571428656578064,0.0,1
sentence-transformers/paraphrase-albert-small-v2,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,1652,ebcee30ccff3,10,0.5356829047203064,0.42854005098342896,2.5900306701660156,0.0,0.5714285969734192,0.0,1
