model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.0031302452087403,0.5769397020339966,4.801148891448975,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3945,5ec93c2c1fe8,2,0.4602155566215515,0.25558924674987793,1.663872480392456,0.0,0.699999988079071,0.28208768367767334,1
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,246,f1178d8582ef,3,0.4136440932750702,0.3207869529724121,2.3003838062286377,0.0,0.4285714328289032,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4057,f7d2308e7f34,4,0.5204830169677734,0.2652681767940521,1.7583657503128052,0.10000000149011612,0.875,0.49238282442092896,0
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,1844,3e122c78f945,5,0.4508256196975708,0.34368276596069336,2.5239107608795166,0.0,0.5714285969734192,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4073,9a99b459aa08,6,0.4392343759536743,0.22945919632911682,1.4087703227996826,0.0,1.0,0.36591723561286926,0
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4838,53dd4fb611bb,7,0.5568306922912598,0.4496878385543823,3.5588159561157227,0.0,0.5714285969734192,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3762,3f9e06094af7,8,0.4257660210132599,0.21820677816867828,1.298915147781372,0.0,0.8571428656578064,0.40614983439445496,0
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,2539,8657d3271db0,9,0.49105151295661925,0.36962294578552246,2.7771594524383545,0.0,0.7142857313156128,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,421,cb5492305996,10,0.4267319142818451,0.3553033471107483,2.637360095977783,0.0,0.7142857313156128,0.0,0
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.0783896923065186,0.611723005771637,4.552754878997803,0.3333333432674408,0.5,1.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,0.9538922190666199,0.528112530708313,3.768004894256592,0.25,0.75,0.8359322547912598,1
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,3985,b7fefc34e42b,3,0.5432267367839814,0.4132267236709595,2.689711093902588,0.0,0.800000011920929,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,4120,b7a5c5464363,4,0.5059061229228974,0.3559061288833618,2.151712417602539,0.0,1.0,0.0,1
