model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
embedding-data/deberta-sentence-transformer,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,4058,74fe0528c27f,1,1.0764944553375244,0.8339077234268188,1.9068517684936523,0.17142857611179352,0.8571428656578064,0.6006578207015991,0
embedding-data/deberta-sentence-transformer,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,3945,5ec93c2c1fe8,2,0.8522177815437317,0.7067667245864868,0.7822471261024475,0.0731707289814949,0.699999988079071,0.28208768367767334,1
embedding-data/deberta-sentence-transformer,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,3056,4b76c705aa42,3,0.8364253520965577,0.8186588883399963,1.7719707489013672,0.0235294122248888,0.875,0.0,1
embedding-data/deberta-sentence-transformer,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,4,1.0700560808181763,0.6762527823448181,0.5123410820960999,0.1599999964237213,0.4285714328289032,1.0,0
embedding-data/deberta-sentence-transformer,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,3782,0d6b3a3f8dee,5,0.944555151462555,0.7939053177833557,1.5530171394348145,0.07594936341047287,0.7777777910232544,0.3054102659225464,1
embedding-data/deberta-sentence-transformer,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,1692,31d24bb1ddd1,6,0.8617990493774415,0.8317428231239319,1.8877025842666626,0.07792207598686218,0.875,0.0,1
embedding-data/deberta-sentence-transformer,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,1184,d3d06761a9d7,7,0.8653510689735413,0.852992057800293,2.0756590366363525,0.050632912665605545,0.699999988079071,0.0,1
embedding-data/deberta-sentence-transformer,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,4507,4308d262ba90,8,0.8585252046585083,0.8366775512695312,1.931351900100708,0.050632912665605545,0.8571428656578064,0.0,1
embedding-data/deberta-sentence-transformer,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,1855,20dc1dc3600c,9,0.9168807148933411,0.7641726732254028,1.2900220155715942,0.07228915393352509,0.7777777910232544,0.3054102659225464,1
embedding-data/deberta-sentence-transformer,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,2660,691d02fdc094,10,0.8392645597457886,0.8152322769165039,1.7416611909866333,0.0793650820851326,0.7142857313156128,0.0,1
