model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.0899974584579468,0.5769397020339966,4.801148891448975,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,461,74295bd1e6b4,2,0.4311180293560028,0.1425287127494812,0.5600862503051758,0.0,0.5714285969734192,0.5206381678581238,1
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3945,5ec93c2c1fe8,3,0.43374924659729003,0.25558924674987793,1.663872480392456,0.0,0.699999988079071,0.28208768367767334,1
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,4,0.5715195536613464,0.2405763417482376,1.5173044204711914,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,2198,d24136be4b15,5,0.40214499831199646,0.19212017953395844,1.0442372560501099,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,2935,6fb39caadfac,6,0.3949682593345642,0.3541019558906555,2.625631332397461,0.0,0.4285714328289032,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,4073,9a99b459aa08,7,0.40264901518821716,0.22945919632911682,1.4087703227996826,0.0,1.0,0.36591723561286926,0
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,246,f1178d8582ef,8,0.36331902742385863,0.3207869529724121,2.3003838062286377,0.0,0.4285714328289032,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,4838,53dd4fb611bb,9,0.4886320114135742,0.4496878385543823,3.5588159561157227,0.0,0.5714285969734192,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3762,3f9e06094af7,10,0.4072067141532898,0.21820677816867828,1.298915147781372,0.0,0.8571428656578064,0.40614983439445496,0
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.157803463935852,0.611723005771637,4.552754878997803,0.3333333432674408,0.5,1.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,0.992876398563385,0.528112530708313,3.768004894256592,0.25,0.75,0.8359322547912598,1
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,3985,b7fefc34e42b,3,0.4585653722286224,0.4132267236709595,2.689711093902588,0.0,0.800000011920929,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,4,0.5777808904647828,0.24107810854911804,1.0739610195159912,0.1666666716337204,0.6666666865348816,0.560200035572052,1
