model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.0043433260917665,0.49103808403015137,3.2887485027313232,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,2,0.6788372349739075,0.24469280242919922,0.9199404716491699,0.125,0.7142857313156128,0.6748585104942322,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,751,2a63b9d3beeb,3,0.5768799138069153,0.37566307187080383,2.1793248653411865,0.0,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3211,bf363c434df6,4,0.5772003483772278,0.31772416830062866,1.622195839881897,0.0,0.6363636255264282,0.26207441091537476,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3611,a9cf3208589d,5,0.6498922061920166,0.5126684904098511,3.4967422485351562,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,1855,20dc1dc3600c,6,0.5948051464557648,0.3054039776325226,1.5037271976470947,0.0,0.7777777910232544,0.3054102659225464,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,1891,50173787ddd0,7,0.6816914629936218,0.5461413860321045,3.8186111450195312,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3127,1df2bc055e00,8,0.5779629302024841,0.4219158887863159,2.6240830421447754,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4793,ecfb3bfe17da,9,0.5799225521087646,0.3939034342765808,2.3547208309173584,0.0,0.8571428656578064,0.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3738,4c75851c265c,10,0.5805225324630737,0.4246101975440979,2.649991035461426,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.0619671893119813,0.5178601741790771,4.811087608337402,0.3333333432674408,0.5,1.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,0.9817050647735596,0.48066186904907227,4.361941337585449,0.25,0.75,0.8359322547912598,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,3,0.742788667678833,0.35268634557724,2.8167176246643066,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,4,0.8556197237968445,0.47521519660949707,4.296176433563232,0.1428571492433548,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,2093,bc30fde7977a,5,0.5705739510059357,0.36902523040771484,3.0139994621276855,0.0,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4519,5b705c94c97e,6,0.5645092082023621,0.38895708322525024,3.2546639442443848,0.0,0.75,0.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,7,0.5669195902347565,0.16756093502044678,0.5814449787139893,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4311,dad8075f10c2,8,0.7419677329063415,0.38229191303253174,3.1741862297058105,0.1666666716337204,0.5714285969734192,0.5047074556350708,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,5287,2c4e397c0273,9,0.5694580030441284,0.39416632056236267,3.3175621032714844,0.0,0.75,0.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,2890,5371441504ea,10,0.5621871900558472,0.386512815952301,3.2251510620117188,0.0,0.75,0.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,1.071719641685486,0.574009895324707,4.2056708335876465,0.2222222238779068,0.23076923191547394,1.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1607,6544768291be,2,0.7122423005104065,0.32527363300323486,1.76570725440979,0.10000000149011612,0.23076923191547394,0.7004439830780029,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5097,b18de4af858c,3,0.8412516069412231,0.5119863748550415,3.597254753112793,0.09090909361839294,0.3076923191547394,0.5441684722900391,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5134,29c1e14899e6,4,0.7571467113494873,0.40931451320648193,2.5901012420654297,0.09090909361839294,0.3076923191547394,0.582549512386322,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",142,c477df18ea2a,5,0.7130124521255493,0.46508073806762695,3.137136697769165,0.0,0.9230769276618958,0.16822299361228943,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4453,d9ea7797e0d6,6,0.7881562066078186,0.41951751708984375,2.6901869773864746,0.0714285746216774,0.7692307829856873,0.519934892654419,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4558,7b0342e1d11a,7,0.7323265624046326,0.41088777780532837,2.605534076690674,0.07692307978868484,0.4615384638309479,0.4694025218486786,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3303,8dee13915ca0,8,0.8023931932449341,0.5265547037124634,3.740161895751953,0.07692307978868484,0.6153846383094788,0.3116838037967682,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2307,0d8ee81558b5,9,0.7193221402168274,0.35740846395492554,2.0809319019317627,0.10000000149011612,0.23076923191547394,0.6334490180015564,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",447,0dbbcd9e85e6,10,0.7174474549293518,0.268606960773468,1.2098388671875,0.10000000149011612,0.23076923191547394,0.8691253662109375,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3978,6918d9132472,1,0.9333696913719177,0.44999808073043823,2.697035551071167,0.125,0.27272728085517883,0.9709965586662292,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3215,d4793dfe8103,2,0.9302153539657593,0.40166211128234863,2.2479982376098633,0.10000000149011612,0.6363636255264282,1.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4059,966ff254f415,3,0.6317588043212891,0.23363623023033142,0.687050998210907,0.10000000149011612,0.4545454680919647,0.6552852392196655,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3331,bd1098fcfc05,4,0.7979592633247375,0.35050493478775024,1.7727521657943726,0.1111111119389534,0.3636363744735718,0.8341408967971802,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,226,7e56613a2ebc,5,0.7599489045143127,0.2899187207221985,1.2099109888076782,0.10000000149011612,0.5454545617103577,0.8428020477294922,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4558,7b0342e1d11a,6,0.7882536005973816,0.4584815204143524,2.775846242904663,0.09090909361839294,0.5454545617103577,0.47004103660583496,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3248,e9ec0a2c6e6d,7,0.8120220255851746,0.4215899705886841,2.433126449584961,0.125,0.27272728085517883,0.7013967037200928,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,2728,b12a99169d3e,8,0.6659349751472473,0.3744397759437561,1.9951049089431763,0.0,0.8461538553237915,0.3017194867134094,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4310,506583358173,9,0.720246250629425,0.3635503053665161,1.8939425945281982,0.09090909361839294,0.6363636255264282,0.5074306130409241,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,1268,41400dedd9f3,10,0.6534554314613342,0.5232545137405396,3.37758207321167,0.0,0.3636363744735718,0.0,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",9,68043ff470d5,1,0.8669537258148193,0.4948940575122833,3.504098415374756,0.125,0.30000001192092896,0.6515839695930481,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1554,ba67eebc2f04,2,0.747343475818634,0.2535010278224945,1.1786866188049316,0.10000000149011612,0.6000000238418579,0.8900499939918518,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",2897,f073c86c6791,3,0.7383815002441406,0.28189510107040405,1.452215313911438,0.125,0.30000001192092896,0.8623746037483215,1
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",4415,859f5dcf8041,4,0.6481468033790588,0.47497236728668213,3.3121869564056396,0.0,0.7692307829856873,0.0,1
