q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,103,6680fc36f234,0.6446065902709961,2.6610052585601807,0.1111111119389534,0.0,0.42020984140568113,0,1.0,164,0c9fad019eee,0.49225103855133057,0.2292599081993103,0.1428571492433548,0.2554127452163465,0.35035564487217496,0,0.3699764311313629,40,f64df278da5d,0.529984176158905,0.8315181136131287,0.0,0.11157175065711056,0.0,0,0.5260112285614014,47,8f3ed6033a9e,0.49447357654571533,0.26473382115364075,0.0,0.0,0.0,0,0.3791671097278595,151,506120811a05,0.532538652420044,0.8722900748252869,0.1428571492433548,0.2554127452163465,0.35035564487217496,0,0.5365745425224304,137,a4f4cc8a14a2,0.5103641748428345,0.5183634757995605,0.0,0.2554127452163465,0.0,0,0.4448782205581665,114,98e7b9000779,0.5423564910888672,1.0289925336837769,0.1666666716337204,0.45814521593713003,0.562135019628792,0,0.5771734714508057,117,f2f5eb941075,0.49630776047706604,0.2940092086791992,0.0,0.23500177712287373,0.0,0,0.38675186038017273,167,00c6f12023ab,0.5516211986541748,1.1768664121627808,0.2857142984867096,0.11157175065711056,0.8065963084128944,0,0.6154850721359253,30,c6a87cc5d35e,0.5331843495368958,0.8825960159301758,0.1428571492433548,0.2554127452163465,0.35035564487217496,0,0.5392446517944336
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.6763184070587158,2.845137357711792,0.5,0.0,1.0,0,1.0,0,d52ebdd6c51c,0.4245266914367676,0.47008585929870605,0.0,0.2554127452163465,0.0,0,0.38974788784980774,188,be19a52818cf,0.4089173376560211,0.32284900546073914,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.35191646218299866,124,3b11edaeeba4,0.4399738609790802,0.6157928705215454,0.0,0.2554127452163465,0.0,0,0.4271862506866455,27,88a991273442,0.4469906687736511,0.6819796562194824,0.0,0.14384099455923594,0.0,0,0.44419246912002563,16,6e6ec1a475b8,0.46833449602127075,0.8833075165748596,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.49592217803001404,35,e19513a85bed,0.4681781530380249,0.8818328380584717,0.20000000298023224,0.0,0.4185432430857448,0,0.4955432713031769,186,4c7ceb754866,0.5010742545127869,1.1921286582946777,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.5752715468406677,95,7c80e08ee743,0.5859827399253845,1.9930368661880493,0.5,0.0,1.0,0,0.7810589671134949,44,2d4009710863,0.4886738061904907,1.0751601457595825,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.5452173352241516
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.7500577569007874,4.15471887588501,0.1818181872367859,0.4054650386637325,0.5410330217665478,0,1.0,4,9fc64a999e12,0.5152955055236816,0.5192955732345581,0.06666667014360428,0.12565719826743915,0.15907974871851754,0,0.32129544019699097,19,9d76ae41867e,0.518701434135437,0.5720382928848267,0.0,0.4054650386637325,0.0,0,0.3311420679092407,141,dbc0d59bd942,0.5103781223297119,0.443147212266922,0.0,0.29389328800662196,0.0,0,0.30707913637161255,81,e9ce432833f3,0.5734484195709229,1.419825553894043,0.1666666716337204,0.29389328800662196,0.6661069603241577,0,0.4894172251224518,51,6385c0e2eb2e,0.5819971561431885,1.5522074699401855,0.27272728085517883,0.29389328800662196,1.0,0,0.5141318440437317,74,318da22b73fb,0.4978581666946411,0.2492687702178955,0.0,0.4054650386637325,0.0,0,0.27088356018066406,24,2ae9204d54c8,0.554182767868042,1.1214863061904907,0.0833333358168602,0.4054650386637325,0.20686376715165652,0,0.4337196350097656,195,6b483cafcca2,0.5478753447532654,1.0238124132156372,0.0,0.4054650386637325,0.0,0,0.4154846966266632,62,c6d9ce80244c,0.5205247402191162,0.6002731919288635,0.06666667014360428,0.12565719826743915,0.16216015645362905,0,0.33641329407691956
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.7708336114883423,4.234505653381348,0.27272728085517883,0.0,0.99530758268517,0,1.0,153,8594b6595861,0.559778094291687,0.7726666331291199,0.09090909361839294,0.1682360897391828,0.33780099145550035,0,0.3513517677783966,145,7809c19536e4,0.5501211285591125,0.6142681837081909,0.27272728085517883,0.0,1.0,0,0.3216724991798401,75,f634ee56b726,0.5441786050796509,0.5167959332466125,0.0,0.4236488349555293,0.0,0,0.30340901017189026,68,7a9450b42a26,0.5365054607391357,0.3909371495246887,0.10000000149011612,0.27980784039629336,0.31117616805690224,0,0.27982673048973083,12,9251af4a3821,0.5501433610916138,0.6146328449249268,0.20000000298023224,0.1682360897391828,0.6606693773587912,0,0.3217408359050751,183,ff9c96c6d776,0.5101760029792786,-0.04093192145228386,0.0833333358168602,0.07707532800886907,0.262865712742132,0,0.1989070028066635,9,3cdbc3929112,0.5509706735610962,0.6282028555870056,0.10000000149011612,0.27980784039629336,0.31117616805690224,0,0.3242834508419037,83,4ffdd533affb,0.558482825756073,0.7514209747314453,0.10000000149011612,0.27980784039629336,0.45208944765912534,0,0.3473709523677826,142,c71cb5036aef,0.5547084808349609,0.6895122528076172,0.0,0.0,0.0,0,0.3357710540294647
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.6778684854507446,2.734858512878418,0.1666666716337204,0.0,1.0,0,1.0,18,1c10b347eeee,0.5079770088195801,0.29166537523269653,0.1111111119389534,0.4236488349555293,0.35157930991361547,0,0.37015992403030396,191,a9be4c9c15a1,0.5113658905029297,0.3404005467891693,0.0714285746216774,0.06676568738369093,0.23345977891496997,0,0.38272354006767273,73,a40c650a049f,0.5047179460525513,0.24479709565639496,0.0,0.0,0.0,0,0.3580775856971741,198,edb3d68bc36f,0.6142842769622803,1.8204599618911743,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.7642737627029419,27,88a991273442,0.5392690896987915,0.7416737675666809,0.10000000149011612,0.27980784039629336,0.5542711270971936,0,0.48616930842399597,16,6e6ec1a475b8,0.5332921743392944,0.6557203531265259,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.4640110433101654,49,824d3015533f,0.5265434384346008,0.5586674213409424,0.0,0.1682360897391828,0.0,0,0.43899139761924744,199,0d99df7b9f80,0.6551826000213623,2.4086148738861084,0.1818181872367859,0.07707532800886907,0.8768824657917131,0,0.9158964157104492,2,771b010da2fa,0.5152955055236816,0.39691197872161865,0.06666667014360428,0.12565719826743915,0.21876045950180517,0,0.3972918391227722
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.7206270694732666,3.4591426849365234,0.125,0.11157175065711056,0.4243632379262217,0,1.0,131,c3b47654a283,0.5139250755310059,0.6662971377372742,0.0,0.0,0.0,0,0.3927244544029236,60,90e3d91fbf4d,0.5274597406387329,0.8491702079772949,0.1111111119389534,0.2027325123874243,0.3914217993657387,0,0.4324883222579956,155,f6d7dbe3f71e,0.509825587272644,0.6109070777893066,0.1666666716337204,0.14384099455923594,0.5102462741731951,0,0.38068047165870667,147,a2140782858a,0.5283762812614441,0.8615540266036987,0.125,0.11157175065711056,0.4243632379262217,0,0.43518105149269104,182,8729852fc4b8,0.5177936553955078,0.7185673117637634,0.0,0.2027325123874243,0.0,0,0.4040900766849518,197,3a46124701c0,0.5002620816230774,0.4816901683807373,0.0,0.0,0.0,0,0.3525835871696472,59,da6e8742f6bf,0.5073925852775574,0.5780336856842041,0.0,0.0,0.0,0,0.3735324740409851,84,c6940290ea74,0.49284830689430237,0.38151925802230835,0.0,0.11157175065711056,0.0,0,0.33080244064331055,162,957f012e4031,0.567612886428833,1.3916977643966675,0.1666666716337204,0.14384099455923594,1.0,0,0.5504553914070129
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.7239991426467896,3.9873886108398438,0.375,0.09116076173031373,1.0,0,1.0,10,365ec2897755,0.4495828151702881,0.7253738045692444,0.10000000149011612,0.09116076173031373,0.3519334053455243,0,0.35848331451416016,148,253c9a1feb09,0.4215266704559326,0.39186757802963257,0.10000000149011612,0.09116076173031373,0.27002580046778907,0,0.2928950786590576,187,02b0fa193387,0.4658272862434387,0.918473482131958,0.10000000149011612,0.09116076173031373,0.27002580046778907,0,0.39645883440971375,160,56c85bc2a8f3,0.4049881100654602,0.19527201354503632,0.1111111119389534,0.2027325123874243,0.29483898213239673,0,0.2542320489883423,24,2ae9204d54c8,0.43697771430015564,0.5755357146263123,0.0,0.2027325123874243,0.0,0,0.32901573181152344,208,c1c0caaa937b,0.4714861512184143,0.9857410192489624,0.1111111119389534,0.2027325123874243,0.29483898213239673,0,0.4096878468990326,5,abdac161e57b,0.4115108847618103,0.27280890941619873,0.0,0.2027325123874243,0.0,0,0.2694806754589081,209,2ac9980eb5e6,0.41685277223587036,0.33630847930908203,0.09090909361839294,0.0,0.24906489358216158,0,0.2819686532020569,181,49ccfbfcfc0a,0.4811375141143799,1.1004676818847656,0.1111111119389534,0.2027325123874243,0.47072232479609577,0,0.4322502911090851
7,bfcc3cdee21d,devise research or testing protocols,204,62b52b411f3a,0.4640192985534668,2.368593692779541,0.1428571492433548,0.0,0.7279980425438168,0,1.0,56,269bfa3db5c6,0.40907013416290283,1.3170874118804932,0.0,0.11157175065711056,0.0,0,0.7042526006698608,124,3b11edaeeba4,0.3784084916114807,0.7303466200828552,0.0,0.11157175065711056,0.0,0,0.5392255187034607,126,ebdb003908ef,0.4135398268699646,1.4026193618774414,0.125,0.11157175065711056,0.666730880547555,0,0.7283093929290771,49,824d3015533f,0.39778846502304077,1.1012015342712402,0.0,0.11157175065711056,0.0,0,0.643532395362854,59,da6e8742f6bf,0.3708905279636383,0.5864830017089844,0.1428571492433548,0.0,0.7279980425438168,0,0.4987623393535614,205,45b6fa08d56b,0.3577880263328552,0.3357537090778351,0.1666666716337204,0.14384099455923594,0.8016645111345602,0,0.4282420575618744,183,ff9c96c6d776,0.40505486726760864,1.2402513027191162,0.1111111119389534,0.2027325123874243,0.6149755153908953,0,0.6826416254043579,150,3ffc9e8eaffb,0.40260934829711914,1.1934539079666138,0.0,0.0,0.0,0,0.6694793701171875,195,6b483cafcca2,0.44983893632888794,2.097238540649414,0.0,0.0,0.0,0,0.923678457736969
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,94,832ecabbf00a,0.7074658274650574,2.762479305267334,0.0714285746216774,0.34657354027998,0.2791607921593588,0,1.0,59,da6e8742f6bf,0.5081996917724609,0.42763838171958923,0.07692307978868484,0.45814529093709055,0.33737037144743715,0,0.38025620579719543,152,fbe465293a7d,0.5175758004188538,0.5375001430511475,0.0,0.34657354027998,0.0,0,0.40941715240478516,159,3319e1abdfb1,0.5666605234146118,1.112635612487793,0.0714285746216774,0.34657354027998,0.3971492778525809,0,0.5620770454406738,166,505ab84c8d87,0.509122908115387,0.4384559094905853,0.0,0.25541277854966626,0.0,0,0.3831275403499603,81,e9ce432833f3,0.532059907913208,0.707213282585144,0.0714285746216774,0.34657354027998,0.22046322892919656,0,0.4544646143913269,9,3cdbc3929112,0.5497860312461853,0.9149138331413269,0.27272728085517883,0.45814529093709055,1.0,0,0.5095951557159424,176,62eda05f366c,0.6372445821762085,1.9396830797195435,0.07692307978868484,0.45814529093709055,0.43364407635795327,0,0.7816027402877808,72,91e3b64a6f04,0.6552735567092896,2.1509320735931396,0.0625,0.1783374505407972,0.3399328564670396,0,0.8376752138137817,71,1cb040da80f9,0.5491020679473877,0.9068996906280518,0.0,0.1783374505407972,0.0,0,0.5074679851531982
9,3cdbc3929112,develop technical methods or processes,182,8729852fc4b8,0.7597647905349731,3.300492763519287,0.25,0.2027325123874243,0.8447488584474884,0,1.0,191,a9be4c9c15a1,0.5342460870742798,0.28318867087364197,0.09090909361839294,0.3465735277799843,0.2906045806303666,0,0.3019848167896271,198,edb3d68bc36f,0.5394567847251892,0.35290464758872986,0.125,0.11157175065711056,0.3639750440568452,0,0.31811273097991943,3,33b4e36b0d81,0.5509706735610962,0.5069535374641418,0.10000000149011612,0.27980784039629336,0.3115379614384862,0,0.35374999046325684,24,2ae9204d54c8,0.5268840193748474,0.18468864262104034,0.0,0.0,0.0,0,0.2791980803012848,10,365ec2897755,0.5861016511917114,0.9769847989082336,0.125,0.11157175065711056,0.4945492360194517,0,0.46248579025268555,29,ef7349785e11,0.5417070388793945,0.38301169872283936,0.0,0.0,0.0,0,0.3250775933265686,204,62b52b411f3a,0.5629026889801025,0.6665967106819153,0.3333333432674408,0.0,1.0,0,0.3906814157962799,73,a40c650a049f,0.5259491205215454,0.17218025028705597,0.0,0.27980784039629336,0.0,0,0.2763044238090515,8,04d0abdf0b41,0.5497860312461853,0.49110373854637146,0.27272728085517883,0.45814529093709055,0.9727897385813257,0,0.3500833213329315
