model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn,is_rel
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,6,75e527217c38,research engineering aspects of biological or chemical processes,3797,74f3fd3bb3da,1,1.1679811954498291,0.7031381130218506,5.895332336425781,0.3333333432674408,0.3333333432674408,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,989,4ec4f7a20f54,2,0.8196672677993775,0.3629916310310364,2.206502676010132,0.1818181872367859,0.3846153914928436,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,3586,f77f2bcecc27,4,0.684186577796936,0.356538712978363,2.1469857692718506,0.1333333402872085,0.6153846383094788,0.7350562810897827,0,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,9,3cdbc3929112,develop technical methods or processes,1629,a9ac5a6cc3cb,2,1.00428204536438,0.5483670830726624,3.087160348892212,0.25,0.3333333432674408,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,10,365ec2897755,create models of engineering designs or methods,3774,3bb46e004c8a,4,0.6933764100074769,0.3305190205574035,1.5103389024734497,0.1666666716337204,0.375,0.7387140989303589,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,11,810124c49b5c,maintain operational records or records systems,3918,d4c62f1a558b,9,0.7199079871177674,0.3839949369430542,2.376558542251587,0.2000000029802322,0.4285714328289032,0.6350160837173462,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,13,f7e80a0049c6,estimate operational costs,1649,bd1d85f33bd2,1,1.238421130180359,0.7509695887565613,4.767949104309082,0.25,0.75,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,13,f7e80a0049c6,estimate operational costs,3880,3815b0b5a181,4,0.9980045437812806,0.4978995323181152,2.85554838180542,0.25,0.75,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,15,c5e6a1a8c44d,prepare detailed work plans,4310,506583358173,1,1.1960059881210328,0.702562689781189,5.0963873863220215,0.2857142984867096,0.7142857313156128,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,15,c5e6a1a8c44d,prepare detailed work plans,4590,5d45850c5baa,3,0.9946142315864565,0.6059544086456299,4.262226104736328,0.2000000029802322,0.6000000238418579,0.768450140953064,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,16,6e6ec1a475b8,prepare technical reports for internal use,4589,a8445719836f,1,0.9275256872177124,0.483109712600708,3.2694077491760254,0.2000000029802322,0.2857142984867096,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,16,6e6ec1a475b8,prepare technical reports for internal use,1897,d330010440a6,6,0.9219984889030456,0.5297175049781799,3.7088522911071777,0.1666666716337204,0.4285714328289032,0.8359322547912598,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,17,e1dbddbff402,"prepare contracts, disclosures, or applications",3619,e9839443e2c0,1,1.1333616256713868,0.6842404007911682,4.794233322143555,0.25,0.3333333432674408,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,18,1c10b347eeee,update technical knowledge,2912,65b13af81036,8,0.8931380987167359,0.3875137567520141,2.37187123298645,0.25,0.75,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,19,9d76ae41867e,evaluate characteristics of equipment or systems,3979,9e51eeb429ae,1,0.8667424201965332,0.5715317130088806,3.371262311935425,0.2000000029802322,0.4285714328289032,0.545514702796936,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,19,9d76ae41867e,evaluate characteristics of equipment or systems,2657,805fc5c1d17a,3,0.8346302390098572,0.3702874183654785,1.7053260803222656,0.2000000029802322,0.4285714328289032,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,25,79d2ac46742b,direct operational or production activities,112,59eb32e7d575,8,0.8717744827270508,0.495194673538208,3.0587143898010254,0.1666666716337204,0.6666666865348816,0.7181130647659302,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,27,88a991273442,maintain regulatory or compliance documentation,3251,fb35d872b6ae,2,0.7811106324195862,0.4433899521827698,2.6259922981262207,0.2000000029802322,0.5,0.6282576322555542,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,27,88a991273442,maintain regulatory or compliance documentation,835,e9aecb868cc4,9,1.0284119129180909,0.7343202829360962,5.121445178985596,0.25,0.3333333432674408,0.5642123222351074,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,30,c6a87cc5d35e,prepare operational reports,4489,91f41a9ddfae,5,0.8737757086753846,0.4446696043014526,2.736022710800171,0.25,1.0,0.7181130647659302,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,39,202cbfb3aef7,evaluate employee performance,44,3fd4fe53e04b,10,1.039959955215454,0.6243041753768921,4.242090225219727,0.25,0.75,0.7767742872238159,1,True
