model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/paraphrase-MiniLM-L3-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.0859498929977418,0.5769397020339966,4.801148891448975,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,461,74295bd1e6b4,2,0.4947684955596924,0.1425287127494812,0.5600862503051758,0.0,0.5714285969734192,0.5206381678581238,1
sentence-transformers/paraphrase-MiniLM-L3-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3945,5ec93c2c1fe8,3,0.5315404784679413,0.25558924674987793,1.663872480392456,0.0,0.699999988079071,0.28208768367767334,1
sentence-transformers/paraphrase-MiniLM-L3-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,4,0.5549266338348389,0.2405763417482376,1.5173044204711914,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/paraphrase-MiniLM-L3-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,1844,3e122c78f945,5,0.5036414813995361,0.34368276596069336,2.5239107608795166,0.0,0.5714285969734192,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4885,5af9467a2e0d,6,0.49831419706344604,0.33807510137557983,2.4691643714904785,0.0,0.5714285969734192,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,2699,485d26352e99,7,0.4879353594779968,0.312112420797348,2.215696334838867,0.0,0.7142857313156128,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4855,0e550c83c7ff,8,0.531390632390976,0.3879300057888031,2.9558873176574707,0.0,0.4285714328289032,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3844,9d3455eb929f,9,0.5448860776424408,0.3570229411125183,2.6541481018066406,0.0,0.8571428656578064,0.0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,2539,8657d3271db0,10,0.5425703477859497,0.36962294578552246,2.7771594524383545,0.0,0.7142857313156128,0.0,1
