model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-mpnet-base-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.9693864464759827,0.5191535949707031,3.6771066188812256,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/all-mpnet-base-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4058,74fe0528c27f,2,0.7735739827156067,0.4267444908618927,2.7877883911132812,0.1111111119389534,0.8571428656578064,0.6006578207015991,1
sentence-transformers/all-mpnet-base-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3844,9d3455eb929f,3,0.6185651898384095,0.5082641243934631,3.572309732437134,0.0,0.8571428656578064,0.0,1
sentence-transformers/all-mpnet-base-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3211,bf363c434df6,4,0.6280938267707825,0.4449804425239563,2.9632861614227295,0.0,0.6363636255264282,0.26207441091537476,1
sentence-transformers/all-mpnet-base-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3611,a9cf3208589d,5,0.641453492641449,0.5774698257446289,4.2383246421813965,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-mpnet-base-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4077,aa1012ca2dbf,6,0.5567961215972901,0.4432440400123596,2.94657564163208,0.0,0.8571428656578064,0.0,1
sentence-transformers/all-mpnet-base-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4855,0e550c83c7ff,7,0.5904254198074341,0.5237560868263245,3.7213997840881348,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-mpnet-base-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4128,0e5eddee75e1,8,0.5534049153327942,0.48478710651397705,3.3463737964630127,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-mpnet-base-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3724,7dd99b8b52cd,9,0.5503058314323426,0.466487318277359,3.1702616214752197,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-mpnet-base-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3567,b9a61efec89c,10,0.5446163594722748,0.43877747654914856,2.903590440750122,0.0,0.7777777910232544,0.0,1
sentence-transformers/all-mpnet-base-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.053636360168457,0.5652313232421875,4.823812961578369,0.3333333432674408,0.5,1.0,1
sentence-transformers/all-mpnet-base-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,0.8820475816726685,0.4362855553627014,3.42467999458313,0.25,0.75,0.8359322547912598,1
sentence-transformers/all-mpnet-base-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,3,0.7536123871803284,0.4340045154094696,3.3999295234680176,0.1428571492433548,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-mpnet-base-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,1702,6b306e6c84b1,4,0.8370931029319764,0.4165826737880707,3.210892915725708,0.20000000298023224,1.0,0.7181130647659302,1
sentence-transformers/all-mpnet-base-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,5,0.6621199727058411,0.33268415927886963,2.3005475997924805,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-mpnet-base-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,6,0.7259419441223145,0.39986518025398254,3.029498815536499,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-mpnet-base-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,1412,e63b1bee1602,7,0.5594590187072754,0.4310094714164734,3.367431640625,0.0,1.0,0.0,1
sentence-transformers/all-mpnet-base-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,4856,8854c5efcfea,8,0.560729730129242,0.45866286754608154,3.6674861907958984,0.0,0.75,0.0,1
sentence-transformers/all-mpnet-base-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,4310,506583358173,9,0.5099956393241882,0.260667085647583,1.5191223621368408,0.1428571492433548,0.5714285969734192,0.5047074556350708,0
sentence-transformers/all-mpnet-base-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,5287,2c4e397c0273,10,0.4823524832725525,0.37616053223609924,2.7722902297973633,0.0,0.75,0.0,1
sentence-transformers/all-mpnet-base-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3413,0c3e5c7f3c75,1,0.942706573009491,0.6853159666061401,5.5015482902526855,0.10000000149011612,0.23076923191547394,0.5673700571060181,1
sentence-transformers/all-mpnet-base-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5212,4560445c4d7f,2,0.6986617326736451,0.3876214325428009,2.4980697631835938,0.10000000149011612,0.23076923191547394,0.6781270503997803,1
sentence-transformers/all-mpnet-base-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",619,724f875fd92b,3,0.7090400338172913,0.48899227380752563,3.520813465118408,0.10000000149011612,0.23076923191547394,0.43262994289398193,1
sentence-transformers/all-mpnet-base-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",447,0dbbcd9e85e6,4,0.7092369675636292,0.3283853828907013,1.9004297256469727,0.10000000149011612,0.23076923191547394,0.8691253662109375,1
