model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/sentence-t5-base,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.2188618183135986,0.8426713943481445,3.6782193183898926,0.1666666716337204,0.4285714328289032,1.0,0
sentence-transformers/sentence-t5-base,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,2,1.0444043159484864,0.7810699939727783,1.3048959970474243,0.0,0.5714285969734192,0.5206381678581238,1
sentence-transformers/sentence-t5-base,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4058,74fe0528c27f,3,1.0927507877349854,0.8046168088912964,2.2120864391326904,0.1111111119389534,0.8571428656578064,0.6006578207015991,0
sentence-transformers/sentence-t5-base,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3890,1a65db798a29,4,0.9249477863311768,0.7749477624893188,1.0690242052078247,0.0,1.0,0.0,1
sentence-transformers/sentence-t5-base,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3801,d1938abe505c,5,0.9033689379692078,0.7676546573638916,0.7880420684814453,0.0,0.8571428656578064,0.0,1
sentence-transformers/sentence-t5-base,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4073,9a99b459aa08,6,0.9991904497146606,0.7894152402877808,1.626414179801941,0.0,1.0,0.36591723561286926,0
sentence-transformers/sentence-t5-base,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,2757,5d1eca18d8d4,7,0.9060367226600647,0.7846081256866455,1.4412100315093994,0.0,0.7142857313156128,0.0,1
sentence-transformers/sentence-t5-base,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4368,2840909e1745,8,0.9086352467536927,0.7872066497802734,1.5413235425949097,0.0,0.7142857313156128,0.0,1
sentence-transformers/sentence-t5-base,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,2449,b23da12a1f47,9,0.9688473343849182,0.7605220079421997,0.5132417678833008,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/sentence-t5-base,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3889,e7fd9e578cbd,10,0.9496185660362244,0.8139042854309082,2.569905996322632,0.0,0.8571428656578064,0.0,1
sentence-transformers/sentence-t5-base,H_zfilter,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.3513194799423218,0.884652853012085,4.9232258796691895,0.3333333432674408,0.5,1.0,1
sentence-transformers/sentence-t5-base,H_zfilter,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,1.2870196580886841,0.8612399697303772,4.063077449798584,0.25,0.75,0.8359322547912598,1
sentence-transformers/sentence-t5-base,H_zfilter,1,06d678da6c8d,prepare procedural documents,4311,dad8075f10c2,3,1.1259257078170777,0.8340372443199158,3.06369686126709,0.1666666716337204,0.5714285969734192,0.5047074556350708,1
sentence-transformers/sentence-t5-base,H_zfilter,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,4,1.1562904596328736,0.8429921865463257,3.392685890197754,0.1428571492433548,0.6666666865348816,0.560200035572052,1
sentence-transformers/sentence-t5-base,H_zfilter,1,06d678da6c8d,prepare procedural documents,1702,6b306e6c84b1,5,1.241802740097046,0.8363687992095947,3.1493542194366455,0.20000000298023224,1.0,0.7181130647659302,1
sentence-transformers/sentence-t5-base,H_zfilter,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,6,1.160608696937561,0.8425486087799072,3.376389503479004,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/sentence-t5-base,H_zfilter,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,7,1.1242520093917847,0.8061919212341309,2.040708303451538,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/sentence-t5-base,H_zfilter,1,06d678da6c8d,prepare procedural documents,4310,506583358173,8,1.097767996788025,0.8106414675712585,2.204176902770996,0.1428571492433548,0.5714285969734192,0.5047074556350708,1
sentence-transformers/sentence-t5-base,H_zfilter,1,06d678da6c8d,prepare procedural documents,2093,bc30fde7977a,9,0.9425299644470215,0.7925299406051636,1.5387910604476929,0.0,1.0,0.0,1
sentence-transformers/sentence-t5-base,H_zfilter,1,06d678da6c8d,prepare procedural documents,233,81861c829fa0,10,0.9509548425674439,0.8009548187255859,1.84830641746521,0.0,1.0,0.0,1
sentence-transformers/sentence-t5-base,H_zfilter,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,1.2762102365493775,0.8586888909339905,3.648521900177002,0.2222222238779068,0.23076923191547394,1.0,1
