model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.9961424350738526,0.5385709404945374,4.702530860900879,0.1599999964237213,0.4285714328289032,1.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,3211,bf363c434df6,2,0.5100067734718323,0.3345351219177246,2.4765191078186035,0.0891089141368866,0.6363636255264282,0.26207441091537476,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,3,0.5597409009933472,0.23222361505031586,1.3603100776672363,0.1803278625011444,0.7142857313156128,0.6748585104942322,0
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,1844,3e122c78f945,4,0.3999848246574402,0.34224504232406616,2.560633659362793,0.0535714291036129,0.5714285969734192,0.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,5,0.3857367932796478,0.1480945497751236,0.4424697458744049,0.0625,0.5714285969734192,0.5206381678581238,0
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,2449,b23da12a1f47,6,0.47363449931144713,0.21048195660114288,1.1231105327606201,0.06382978707551956,0.7142857313156128,0.45632249116897583,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,3844,9d3455eb929f,7,0.404780375957489,0.33886533975601196,2.52376127243042,0.02777777798473835,0.8571428656578064,0.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,4855,0e550c83c7ff,8,0.48992117047309874,0.4397392272949219,3.62428617477417,0.09090909361839294,0.4285714328289032,0.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,3595,8639c05835d2,9,0.3963109731674194,0.34895896911621094,2.6338818073272705,0.014705882407724857,0.5714285969734192,0.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,2206,2d6089baf90f,10,0.5065210640430451,0.4620685577392578,3.8678970336914062,0.07692307978868484,0.4285714328289032,0.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.014105248451233,0.5242195129394531,4.74448299407959,0.26923078298568726,0.5,1.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,3956,915401041266,2,0.4012171506881714,0.3457968533039093,2.7466347217559814,0.0,0.800000011920929,0.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,3,0.870030152797699,0.44239693880081177,3.8282928466796875,0.20000000298023224,0.75,0.8359322547912598,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,4355,3df3fc1e4e70,4,0.3937128663063049,0.33292657136917114,2.602522611618042,0.02631578966975212,0.75,0.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,1207,cde3daee3654,5,0.4090511381626129,0.34554073214530945,2.7437667846679688,0.032258063554763794,0.800000011920929,0.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,6,0.5838307619094849,0.24760662019252777,1.6471710205078125,0.2142857164144516,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,2857,c5e2c93f8e5c,7,0.4172910928726196,0.36643457412719727,2.9777207374572754,0.0,0.75,0.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,3044,f8e5c752972c,8,0.45149903297424315,0.39019837975502014,3.2438111305236816,0.05128205195069313,0.75,0.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,4310,506583358173,9,0.44364649057388306,0.20482881367206573,1.1681759357452393,0.11538461595773697,0.5714285969734192,0.5047074556350708,0
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,10,0.605610191822052,0.345901757478714,2.747809410095215,0.14754098653793335,0.6666666865348816,0.560200035572052,0
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,0.9721203923225403,0.5313656330108643,3.818218946456909,0.12941177189350128,0.23076923191547394,1.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3215,d4793dfe8103,2,0.6408194303512573,0.35177189111709595,2.080085039138794,0.11009174585342407,0.5384615659713745,0.6744468212127686,0
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1719,2af2d91166d4,3,0.759805190563202,0.3617962598800659,2.1771020889282227,0.10000000149011612,0.23076923191547394,0.8691253662109375,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4130,a7c4c4994d02,4,0.8492075681686402,0.5327627658843994,3.831740617752075,0.14772726595401764,0.23076923191547394,0.6781270503997803,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2216,7f54b0ad802f,5,0.7328218698501587,0.4344690442085266,2.8804397583007812,0.10752688348293304,0.23076923191547394,0.6334490180015564,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",619,724f875fd92b,6,0.6758671879768372,0.47504499554634094,3.273139715194702,0.05494505539536476,0.23076923191547394,0.43262994289398193,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4183,3d50ffa95952,7,0.6305710554122925,0.337405264377594,1.9410426616668701,0.0833333358168602,0.3076923191547394,0.6017209887504578,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4561,7dbb7909a0ac,8,0.7051242470741272,0.46491581201553345,3.175107955932617,0.1034482792019844,0.4615384638309479,0.4694025218486786,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",733,813e418f098e,9,0.7012845754623414,0.4765593707561493,3.2877960205078125,0.151162788271904,0.23076923191547394,0.43262994289398193,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5097,b18de4af858c,10,0.7258944392204285,0.45236465334892273,3.053636074066162,0.1428571492433548,0.3076923191547394,0.5441684722900391,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3215,d4793dfe8103,1,0.9790252923965455,0.49754273891448975,3.132322311401367,0.19767442345619202,0.6363636255264282,1.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,2686,2e522a60ddc9,2,0.6764193058013916,0.3039616346359253,1.4285328388214111,0.08749999850988388,0.3636363744735718,0.7819926142692566,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4590,5d45850c5baa,3,0.6646254062652588,0.32161080837249756,1.5838706493377686,0.10144927352666855,0.27272728085517883,0.8404425382614136,0
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3978,6918d9132472,4,0.9057778596878052,0.4749189615249634,2.9332008361816406,0.10526315867900848,0.27272728085517883,0.9709965586662292,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3331,bd1098fcfc05,5,0.8111738443374634,0.4367799460887909,2.5975229740142822,0.06493506580591202,0.3636363744735718,0.8341408967971802,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4558,7b0342e1d11a,6,0.7360635876655579,0.4758014380931854,2.940967559814453,0.1702127605676651,0.5454545617103577,0.47004103660583496,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4058,74fe0528c27f,7,0.5705978870391846,0.30975615978240967,1.4795328378677368,0.125,0.5454545617103577,0.5832366347312927,0
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3560,5f0ac5f58a14,8,0.5024770975112915,0.3460218906402588,1.7987229824066162,0.0520833320915699,0.7272727489471436,0.22918228805065155,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,675,e1f28709fa97,9,0.5282964885234833,0.3390344977378845,1.7372239828109741,0.04651162773370743,0.3636363744735718,0.3583892583847046,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4864,b4b65dd80416,10,0.5077723741531373,0.48293596506118774,3.0037617683410645,0.037974681705236435,0.27272728085517883,0.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1607,6544768291be,1,0.8494933724403382,0.5037736296653748,3.728245496749878,0.13924050331115723,0.30000001192092896,0.7407174110412598,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1555,5f8ae87ccde0,2,0.7807282686233521,0.301383912563324,1.7021496295928955,0.13793103396892548,0.5,1.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",2027,25cf50b99247,3,0.6996394872665406,0.33877670764923096,2.076483726501465,0.11363636702299118,0.4000000059604645,0.7408285140991211,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3150,7ca5740d8368,4,0.6146032094955445,0.275938481092453,1.4474188089370728,0.16249999403953552,0.30000001192092896,0.6515839695930481,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1869,243f7993b10e,5,0.5350816726684571,0.2934984266757965,1.6232091188430786,0.11428571492433548,0.699999988079071,0.3934042155742645,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1873,0084fa936ea8,6,0.5759795188903809,0.30677056312561035,1.7560746669769287,0.1145833358168602,0.5,0.4906005263328552,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",180,1984ba551855,7,0.5346554100513459,0.36435666680336,2.3325612545013428,0.11564625799655914,0.625,0.2414320707321167,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3213,e73f40d83ac6,8,0.6679085969924927,0.33873623609542847,2.0760786533355713,0.13600000739097595,0.8333333134651184,0.5934482216835022,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",4023,5562b14daecb,9,0.6000518679618836,0.27061566710472107,1.3941328525543213,0.12345679104328156,0.30000001192092896,0.6515839695930481,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3603,d590836dad8c,10,0.7554820060729981,0.3194967806339264,1.8834750652313232,0.12765957415103912,0.6000000238418579,0.8900499939918518,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,5,abdac161e57b,design medical devices or appliances,1421,c88a10398d0d,1,1.1621387481689454,0.7571675777435303,7.089978218078613,0.3636363744735718,0.5,0.7869473099708557,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,5,abdac161e57b,design medical devices or appliances,1176,6d2f97bbf35c,2,0.6200791478157044,0.38579240441322327,2.9997756481170654,0.09803921729326248,0.6666666865348816,0.4125571548938751,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,5,abdac161e57b,design medical devices or appliances,4729,1d83ab47ce3e,3,0.7021106958389283,0.419245183467865,3.3682138919830322,0.23076923191547394,0.5,0.4802444577217102,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,5,abdac161e57b,design medical devices or appliances,3515,171adad99b61,4,0.7832075238227845,0.37217795848846436,2.8498311042785645,0.13636364042758942,0.5,0.8478910326957703,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,5,abdac161e57b,design medical devices or appliances,1423,4fa5fba1ff35,5,0.6730342984199524,0.41234076023101807,3.292170763015747,0.2142857164144516,0.6666666865348816,0.4125571548938751,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,5,abdac161e57b,design medical devices or appliances,78,cefdec315735,6,0.6427656412124634,0.4524170756340027,3.733557939529419,0.1489361673593521,0.6666666865348816,0.4125571548938751,0
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,5,abdac161e57b,design medical devices or appliances,4412,a558f59f975e,7,1.0262611985206604,0.5275688171386719,4.561254024505615,0.239130437374115,0.8333333134651184,1.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,5,abdac161e57b,design medical devices or appliances,4318,856b865d27ae,8,0.7641857147216797,0.37327247858047485,2.8618857860565186,0.1538461595773697,0.5,0.7869473099708557,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,5,abdac161e57b,design medical devices or appliances,4200,45cb8fc9e53f,9,0.6816858530044556,0.2855813503265381,1.8960847854614258,0.13953489065170288,0.5,0.7869473099708557,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,5,abdac161e57b,design medical devices or appliances,3964,59317769254f,10,0.5716359496116639,0.32964888215065,2.38142991065979,0.10638298094272614,0.6666666865348816,0.4125571548938751,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,6,75e527217c38,research engineering aspects of biological or chemical processes,3797,74f3fd3bb3da,1,1.131803560256958,0.6603373885154724,6.292852401733398,0.28333333134651184,0.3333333432674408,1.0,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,6,75e527217c38,research engineering aspects of biological or chemical processes,1417,3432f1a88aa3,2,0.5459795773029328,0.3316307067871094,2.8048369884490967,0.13846154510974884,0.3333333432674408,0.3655746877193451,1
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,6,75e527217c38,research engineering aspects of biological or chemical processes,1611,3444f93619e5,3,0.5443925142288208,0.24543999135494232,1.8902391195297241,0.1267605572938919,0.4444444477558136,0.5489603877067566,1
