model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.3139757680892945,0.5385709404945374,4.702530860900879,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,4515,4a1caf119652,2,0.6014861631393432,0.15368448197841644,0.503455400466919,0.0,0.7142857313156128,0.45632249116897583,1
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,3,0.8462196159362793,0.23222361505031586,1.3603100776672363,0.125,0.7142857313156128,0.6748585104942322,1
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,4420,6bc76a3eb886,4,0.4871590733528137,0.11329972743988037,0.06286145746707916,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,3762,3f9e06094af7,5,0.47633546590805054,0.1250779926776886,0.19136124849319458,0.0,0.8571428656578064,0.40614983439445496,0
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,6,0.5474699139595032,0.1480945497751236,0.4424697458744049,0.0,0.5714285969734192,0.5206381678581238,0
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,461,74295bd1e6b4,7,0.5060837864875793,0.09940497577190399,-0.08872899413108826,0.0,0.5714285969734192,0.5206381678581238,0
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,824,b2b3f57d7c91,8,0.4815364480018616,0.10668488591909409,-0.009305848740041256,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,1855,20dc1dc3600c,9,0.45976492762565613,0.19788233935832977,0.9856499433517456,0.0,0.7777777910232544,0.3054102659225464,0
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,2449,b23da12a1f47,10,0.6497640180587768,0.21048195660114288,1.1231105327606201,0.0,0.7142857313156128,0.45632249116897583,1
