model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.6948059678077698,0.2686154246330261,3.355260133743286,0.1666666716337204,0.4285714328289032,1.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3211,bf363c434df6,2,0.4589260697364807,0.26666736602783203,3.3320696353912354,0.0,0.6363636255264282,0.26207441091537476,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,3,0.5083442330360413,0.20945808291435242,2.6510298252105713,0.125,0.7142857313156128,0.6748585104942322,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4856,8854c5efcfea,4,0.3637882649898529,0.2709311246871948,3.382827043533325,0.0,0.4285714328289032,0.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,2449,b23da12a1f47,5,0.32646705508232116,0.06814173609018326,0.9687486886978149,0.0,0.7142857313156128,0.45632249116897583,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4304,752a4c697549,6,0.32666687965393065,0.1988891065120697,2.5252127647399902,0.0,0.7777777910232544,0.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3889,e7fd9e578cbd,7,0.34155465960502623,0.20584037899971008,2.6079633235931396,0.0,0.8571428656578064,0.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4778,62c0d38e8e50,8,0.35320283770561217,0.24605998396873474,3.086751937866211,0.0,0.5714285969734192,0.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,414,1367d6918205,9,0.3252868831157684,0.1752868890762329,2.2442433834075928,0.0,1.0,0.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,1727,7a8fd898a210,10,0.34936635494232177,0.2565092146396637,3.2111434936523438,0.0,0.4285714328289032,0.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,1,0.9088786125183106,0.48309892416000366,6.169468402862549,0.25,0.75,0.8359322547912598,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,2,0.8534894466400147,0.38682273030281067,4.938808917999268,0.3333333432674408,0.5,1.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,1701,bb4777f1578b,3,0.4133081018924713,0.2633081078529358,3.359971284866333,0.0,1.0,0.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,2002,23c775e5c000,4,0.3741012692451477,0.22410127520561218,2.858806610107422,0.0,1.0,0.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,5,0.6217300176620484,0.3084318935871124,3.936770439147949,0.1428571492433548,0.6666666865348816,0.560200035572052,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,4864,b4b65dd80416,6,0.36843262910842894,0.2434326410293579,3.1059114933013916,0.0,0.75,0.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,2894,cf18143d1067,7,0.39546342492103576,0.24546343088150024,3.1318702697753906,0.0,1.0,0.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,1205,4be0f5458938,8,0.3461219847202301,0.19612199068069458,2.5011587142944336,0.0,1.0,0.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,438,dfa6893c753d,9,0.34812461137771605,0.2181246131658554,2.782409191131592,0.0,0.800000011920929,0.0,1
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,10,0.5423910200595856,0.22433099150657654,2.8617429733276367,0.1666666716337204,0.6666666865348816,0.560200035572052,1
