model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.198836522102356,0.5385709404945374,4.702530860900879,0.1320754736661911,0.4285714328289032,1.0,1
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4515,4a1caf119652,2,0.5289631652832031,0.15368448197841644,0.503455400466919,0.029411764815449715,0.7142857313156128,0.45632249116897583,1
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,3,0.7648944425582885,0.23222361505031586,1.3603100776672363,0.15625,0.7142857313156128,0.6748585104942322,1
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4420,6bc76a3eb886,4,0.41050007939338684,0.11329972743988037,0.06286145746707916,0.015625,0.7142857313156128,0.45632249116897583,0
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,5,0.4726039469242096,0.1480945497751236,0.4424697458744049,0.01923076994717121,0.5714285969734192,0.5206381678581238,0
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,824,b2b3f57d7c91,6,0.4438263177871704,0.10668488591909409,-0.009305848740041256,0.145454540848732,0.7142857313156128,0.45632249116897583,0
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,461,74295bd1e6b4,7,0.4304485619068146,0.09940497577190399,-0.08872899413108826,0.01666666753590107,0.5714285969734192,0.5206381678581238,0
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,1844,3e122c78f945,8,0.4096492397785187,0.34224504232406616,2.560633659362793,0.033898305147886276,0.5714285969734192,0.0,1
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,2449,b23da12a1f47,9,0.574299829006195,0.21048195660114288,1.1231105327606201,0.019607843831181526,0.7142857313156128,0.45632249116897583,1
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3179,5ffef7f46939,10,0.42155216813087465,0.36821264028549194,2.843937635421753,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.2225865888595582,0.5242195129394531,4.74448299407959,0.23999999463558197,0.5,1.0,1
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,3956,915401041266,2,0.41392733335494997,0.3457968533039093,2.7466347217559814,0.0,0.800000011920929,0.0,1
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,3,1.0468209552764893,0.44239693880081177,3.8282928466796875,0.17241379618644714,0.75,0.8359322547912598,1
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,4,0.7184556293487548,0.24760662019252777,1.6471710205078125,0.19512194395065308,0.6666666865348816,0.560200035572052,1
