q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,167,00c6f12023ab,0.5275501012802124,2.295557975769043,0.35087719559669495,0.11157175065711056,0.8065963084128944,1,1.4609475676187171,103,6680fc36f234,0.5565820932388306,2.8458666801452637,0.09859155118465424,0.0,0.42020984140568113,1,1.4525484767409154,12,9251af4a3821,0.5538400411605835,2.7938902378082275,0.1066666692495346,0.0,0.42020984140568113,1,1.4357565966101475,43,61355ce7e829,0.4789596199989319,1.3745137453079224,0.21568627655506134,0.2554127452163465,0.5052523093092118,1,1.0608045200637157,62,c6d9ce80244c,0.46080827713012695,1.0304505825042725,0.3055555522441864,0.1682360897391828,0.6090768487392924,1,1.0202634218520867,81,e9ce432833f3,0.4619191884994507,1.0515081882476807,0.1265822798013687,0.0,0.2913848927649772,1,0.8734392762799809,151,506120811a05,0.5089153051376343,1.9423309564590454,0.30000001192092896,0.2554127452163465,0.35035564487217496,0,1.0206102078391004,37,78a6d412d86e,0.4237116575241089,0.3272751271724701,0.2567567527294159,0.09116076173031373,1.0,0,1.0001683479837358,40,f64df278da5d,0.48651808500289917,1.5177862644195557,0.04477611929178238,0.11157175065711056,0.0,1,0.8377300865642056,41,babe1d93de49,0.4618249237537384,1.049721360206604,0.1627907007932663,0.45814521593713003,0.562135019628792,1,1.0064528348999437
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.819359302520752,3.840245246887207,0.5483871102333069,0.0,1.0,1,1.6654838997125627,198,edb3d68bc36f,0.44628503918647766,0.35053202509880066,0.15789473056793213,0.2554127452163465,0.5866964104389011,1,0.7146192480821895,121,66497e9d2189,0.558461606502533,1.399824619293213,0.08474576473236084,0.2554127452163465,0.3480953704871541,1,0.8248960835799828,35,e19513a85bed,0.4801473021507263,0.6672775149345398,0.11363636702299118,0.0,0.4185432430857448,1,0.7042083750220554,95,7c80e08ee743,0.7089164853096008,2.8071701526641846,0.4000000059604645,0.0,1.0,1,1.4867651093006136,186,4c7ceb754866,0.4900514483451843,0.7599202394485474,0.0746268630027771,0.2554127452163465,0.3480953704871541,1,0.6749977631435051,61,dc17b84d2d6b,0.5497415661811829,1.3182579278945923,0.18367347121238708,0.2554127452163465,0.4835877978296777,1,0.8729719492023778,17,e1dbddbff402,0.4714244604110718,0.585684597492218,0.08474576473236084,0.14384099455923594,0.38008251264002774,1,0.6575874048865991,119,b729f6985724,0.4433111548423767,0.3227144777774811,0.0,0.2554127452163465,0.0,1,0.3685790622364056,153,8594b6595861,0.4715026617050171,0.5864160656929016,0.10169491171836853,0.2554127452163465,0.3480953704871541,1,0.6313753811583176
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.6829652786254883,4.204921245574951,0.20879121124744415,0.4054650386637325,0.5410330217665478,1,1.4717092379856442,81,e9ce432833f3,0.5941545963287354,2.5265984535217285,0.1428571492433548,0.29389328800662196,0.6661069603241577,1,1.2243086804619567,51,6385c0e2eb2e,0.5469141602516174,1.6338601112365723,0.17307692766189575,0.29389328800662196,1.0,1,1.234936837631949,63,50171927f859,0.5418137311935425,1.537473440170288,0.08461538702249527,0.12565719826743915,0.16216015645362905,1,0.7341219016900905,156,ae5e42c6c3d0,0.47879117727279663,0.34648841619491577,0.05882352963089943,0.4054650386637325,0.30614161182113425,1,0.5579634038902106,157,018f6a0e7f9a,0.47427842020988464,0.2612074315547943,0.10000000149011612,0.0,0.36036418183651636,1,0.5894604718923989,98,207462e43a8e,0.5386874675750732,1.4783940315246582,0.07407407462596893,0.12565719826743915,0.15907974871851754,1,0.7213857063902254,102,f2c8cd5b27ab,0.511000394821167,0.9551704525947571,0.0803571417927742,0.29389328800662196,0.2803772187470784,1,0.6745640169112399,99,78b76b55f875,0.4997016191482544,0.7416489124298096,0.05999999865889549,0.4054650386637325,0.3341692546148913,1,0.6584107823630766,9,3cdbc3929112,0.5499680638313293,1.6915720701217651,0.1340206116437912,0.4054650386637325,0.20293416593281158,1,0.7691853347227146
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.7960438132286072,4.7248969078063965,0.353658527135849,0.0,0.99530758268517,1,1.7210870212726697,15,c5e6a1a8c44d,0.6474781632423401,2.395319938659668,0.1428571492433548,0.27980784039629336,0.8812522236029512,1,1.2537926015066563,145,7809c19536e4,0.5276697874069214,0.516670286655426,0.18888889253139496,0.0,1.0,1,0.9739467802643775,184,389dd43f303d,0.582982063293457,1.3839918375015259,0.22368420660495758,0.27980784039629336,0.7213795363593288,1,0.9531593773273874,84,c6940290ea74,0.566807746887207,1.1303712129592896,0.10752688348293304,0.1682360897391828,0.28498807470557874,1,0.6622701815502819,0,d52ebdd6c51c,0.45391833782196045,-0.6397860050201416,0.28378379344940186,0.1682360897391828,0.6361888998128188,1,0.5256362915441232,30,c6a87cc5d35e,0.6143568754196167,1.8759632110595703,0.23076923191547394,0.4236488349555293,0.7193948505967354,1,1.0362647955441255,83,4ffdd533affb,0.5050607323646545,0.16214999556541443,0.07894736528396606,0.27980784039629336,0.45208944765912534,1,0.5707019732879159,38,a3c08ed1a115,0.5343462228775024,0.6213598251342773,0.09000000357627869,0.07707532800886907,0.485764528545711,1,0.6899539626250238,153,8594b6595861,0.5290286540985107,0.537977933883667,0.06666667014360428,0.1682360897391828,0.33780099145550035,1,0.5822568156343917
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",199,0d99df7b9f80,0.6723760366439819,3.8699700832366943,0.19819819927215576,0.07707532800886907,0.8768824657917131,1,1.6928162860754923,142,c71cb5036aef,0.6124974489212036,2.7367825508117676,0.18421052396297455,0.0,1.0,1,1.5295793193578722,27,88a991273442,0.5350396633148193,1.2709132432937622,0.10891088843345642,0.27980784039629336,0.5542711270971936,1,0.9420076641012868,63,50171927f859,0.5081782937049866,0.762568473815918,0.10743801295757294,0.0,0.35121644979786815,1,0.7220894291762825,18,1c10b347eeee,0.45160549879074097,-0.30805763602256775,0.1325301229953766,0.4236488349555293,0.35157930991361547,1,0.4633165653658592,183,ff9c96c6d776,0.47588950395584106,0.15151111781597137,0.07377049326896667,0.07707532800886907,0.26970467609811594,1,0.5370272828907426,103,6680fc36f234,0.545594334602356,1.4706577062606812,0.0891089141368866,0.1682360897391828,0.29240259438360094,1,0.837694064386663,198,edb3d68bc36f,0.5062079429626465,0.7252800464630127,0.09803921729326248,0.1682360897391828,0.29240259438360094,1,0.6712198412497612,168,ab35d13698b5,0.5175085067749023,0.9391404390335083,0.08196721225976944,0.07707532800886907,0.0,1,0.5497251113466154,61,dc17b84d2d6b,0.5062969923019409,0.7269653081893921,0.0833333358168602,0.1682360897391828,0.29240259438360094,1,0.6732645636876198
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.6429274082183838,3.8171498775482178,0.054054055362939835,0.11157175065711056,0.4243632379262217,1,1.4628231725141374,162,957f012e4031,0.5005135536193848,1.4889979362487793,0.12244898080825806,0.14384099455923594,1.0,1,1.2664707337755707,155,f6d7dbe3f71e,0.48250168561935425,1.1945436000823975,0.0784313753247261,0.14384099455923594,0.5102462741731951,1,0.9131638634938354,209,2ac9980eb5e6,0.4246103763580322,0.2481486201286316,0.05263157933950424,0.2027325123874243,0.3914217993657387,1,0.6274025152631564,75,f634ee56b726,0.5476981401443481,2.260361671447754,0.07999999821186066,0.14384099455923594,0.5102462741731951,1,1.1535335857409592,60,90e3d91fbf4d,0.5360919237136841,2.0706257820129395,0.08571428805589676,0.2027325123874243,0.3914217993657387,1,1.035350100249843,68,7a9450b42a26,0.40433311462402344,-0.08333982527256012,0.1538461595773697,0.0,0.46335877870863124,0,0.5187061206719008,29,ef7349785e11,0.3878626823425293,-0.3525950014591217,0.06896551698446274,0.0,0.46335877870863124,0,0.46329941985217,127,3d77dabe7560,0.44932588934898376,0.6521926522254944,0.095238097012043,0.0,0.46335877870863124,1,0.767901567788991,147,a2140782858a,0.36929115653038025,-0.6561984419822693,0.05797101557254791,0.11157175065711056,0.4243632379262217,1,0.44592836633771327
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.6400746703147888,2.9369356632232666,0.4166666567325592,0.09116076173031373,1.0,1,1.614251967697519,141,dbc0d59bd942,0.4645034670829773,0.8532736301422119,0.190476194024086,0.09116076173031373,0.6219592058133134,1,0.9295197846864074,204,62b52b411f3a,0.6710986495018005,3.3051249980926514,0.2142857164144516,0.2027325123874243,0.7370548607343586,1,1.5978106012288826,59,da6e8742f6bf,0.5201594829559326,1.5137938261032104,0.20000000298023224,0.2027325123874243,0.6211695670957962,1,1.0866376174895929,181,49ccfbfcfc0a,0.5331571698188782,1.6680490970611572,0.10126582533121109,0.2027325123874243,0.47072232479609577,1,1.0533149089782492,157,018f6a0e7f9a,0.49410170316696167,1.204542636871338,0.14159291982650757,0.20273252627630822,0.4653176280529234,1,0.9252587421830157,209,2ac9980eb5e6,0.5350152254104614,1.6901003122329712,0.06185567006468773,0.0,0.24906489358216158,1,0.9435578638665058,214,fc824bfe7bf0,0.511542558670044,1.4115289449691772,0.13414634764194489,0.09116076173031373,0.4049996907988265,1,0.9482691714743002,185,7b03e0901b8c,0.4081783890724182,0.18481312692165375,0.0941176488995552,0.09116076173031373,0.2988671198922223,0,0.4971315858318881,9,3cdbc3929112,0.5064657926559448,1.3512784242630005,0.1184210553765297,0.2027325123874243,0.3263305849633995,1,0.8828311949536238
7,bfcc3cdee21d,devise research or testing protocols,158,16ac0e74dbe1,0.46842658519744873,2.8451712131500244,0.03773584961891174,0.0,0.0,1,1.2186792957782746,209,2ac9980eb5e6,0.38089922070503235,1.1616219282150269,0.09589041024446487,0.2027325123874243,0.6149755153908953,0,1.0029987023071827,27,88a991273442,0.38420164585113525,1.2251425981521606,0.0,0.0,0.0,0,0.6791390180587769,108,3f3251058257,0.41044819355010986,1.7299830913543701,0.02666666731238365,0.11157175065711056,0.0,1,0.8945470370046124,213,f1b4c19341de,0.3042653203010559,-0.3123965859413147,0.07407407462596893,0.2027325123874243,0.9223744292237441,1,0.8510536106914731,124,3b11edaeeba4,0.45295989513397217,2.5476763248443604,0.046875,0.11157175065711056,0.0,0,1.044949491738461,188,be19a52818cf,0.2771843671798706,-0.8332865238189697,0.0923076942563057,0.11157175065711056,1.0,0,0.6733313832870945,214,fc824bfe7bf0,0.3420461416244507,0.41430044174194336,0.09375,0.11157175065711056,1.0,0,1.0270436887136922,134,469df54e4928,0.39986705780029297,1.5264596939086914,0.0,0.4054650386637325,0.0,0,0.7464434965428418,208,c1c0caaa937b,0.2651994824409485,-1.0638103485107422,0.09375,0.0,0.7279980425438168,1,0.5303152944535543
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,148,253c9a1feb09,0.7081685066223145,3.125727653503418,0.04958677664399147,0.34657354027998,0.3971492778525809,1,1.4360848876242616,48,23ca56c5d573,0.5119551420211792,0.9354807734489441,0.2448979616165161,0.45814529093709055,0.6626296285525629,1,0.9462220310249297,72,91e3b64a6f04,0.6717733144760132,2.719463586807251,0.028776979073882103,0.1783374505407972,0.3399328564670396,1,1.3013682459971962,176,62eda05f366c,0.6693475842475891,2.6923861503601074,0.03448275849223137,0.45814529093709055,0.43364407635795327,1,1.334409407164753,174,003763627ff4,0.5783514976501465,1.6766352653503418,0.10769230872392654,0.25541277854966626,0.20334964494839133,1,0.9051043875425508,94,832ecabbf00a,0.6069350838661194,1.9957016706466675,0.1111111119389534,0.34657354027998,0.2791607921593588,1,1.0337707172641222,9,3cdbc3929112,0.5216326713562012,1.0435069799423218,0.23404255509376526,0.45814529093709055,1.0,1,1.1790705400543382,159,3319e1abdfb1,0.6484930515289307,2.4595956802368164,0.0416666679084301,0.34657354027998,0.3971492778525809,1,1.2504718812708833,57,c1933354ef21,0.4181934595108032,-0.11114130169153214,0.1827957034111023,0.6019862854963265,0.6591046042245914,0,0.5810485289968141,92,3f67b920ee49,0.44709423184394836,0.21146580576896667,0.04651162773370743,0.25541277854966626,0.30226484596362396,1,0.5632520215641661
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.6518239974975586,2.5212059020996094,0.3461538553237915,0.0,1.0,1,1.726153873205185,84,c6940290ea74,0.6072883605957031,1.7263312339782715,0.234375,0.11157175065711056,0.7852673921958094,1,1.3928490284658588,182,8729852fc4b8,0.6385985016822815,2.285156488418579,0.20000000298023224,0.2027325123874243,0.8447488584474884,1,1.597032941033175,151,506120811a05,0.5812332630157471,1.2612981796264648,0.13725490868091583,0.14384099455923594,0.5606586605526216,1,1.1396899121074946,192,8562bf3caec4,0.6425156593322754,2.355070114135742,0.13846154510974884,0.11157175065711056,0.3639750440568452,1,1.3513954652331532,195,6b483cafcca2,0.5836448669433594,1.3043407201766968,0.14814814925193787,0.0,0.5399943009509689,1,1.1452175465520649,59,da6e8742f6bf,0.6098557710647583,1.772154450416565,0.11290322244167328,0.0,0.5091386755288673,1,1.275198176502051,8,04d0abdf0b41,0.5216326713562012,0.1975431740283966,0.23404255509376526,0.45814529093709055,0.9727897385813257,1,1.0410550710431181,185,7b03e0901b8c,0.5957584977149963,1.520545482635498,0.1428571492433548,0.11157175065711056,0.4662903711526754,1,1.1613064215967381,49,824d3015533f,0.5961325168609619,1.5272209644317627,0.21666666865348816,0.11157175065711056,0.8875827192916397,1,1.3999010510230243
