model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.3931252360343933,0.3931252360343933,4.669672966003418,0.1666666716337204,0.4285714328289032,1.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,42,02d9739e2d83,2,0.3807426691055298,0.3807426691055298,4.517836570739746,0.0,0.4285714328289032,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,1300,b510e0f063cc,3,0.37871795892715454,0.37871795892715454,4.493009567260742,0.0,0.4285714328289032,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4224,40b1287b6f99,4,0.3734392821788788,0.3734392821788788,4.428281784057617,0.0,0.4285714328289032,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4062,f5cd1e11c87f,5,0.3721325397491455,0.3721325397491455,4.412258148193359,0.0,0.4285714328289032,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,2206,2d6089baf90f,6,0.3680188059806824,0.3680188059806824,4.361815452575684,0.0,0.4285714328289032,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4905,a57e4cb16fc4,7,0.36066755652427673,0.36066755652427673,4.271673679351807,0.0,0.4285714328289032,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,1727,7a8fd898a210,8,0.3544340431690216,0.3544340431690216,4.195237636566162,0.0,0.4285714328289032,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,1207,cde3daee3654,9,0.33056867122650146,0.33056867122650146,3.902597665786743,0.0,0.7142857313156128,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3611,a9cf3208589d,10,0.3240332007408142,0.3240332007408142,3.8224589824676514,0.0,0.4285714328289032,0.0,0
