model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/sentence-t5-base,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.4573219585418702,0.8426713943481445,3.6782193183898926,0.1320754736661911,0.4285714328289032,1.0,1
sentence-transformers/sentence-t5-base,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,2,1.090633111000061,0.7810699939727783,1.3048959970474243,0.01923076994717121,0.5714285969734192,0.5206381678581238,1
sentence-transformers/sentence-t5-base,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,3,1.1154452562332153,0.7387539148330688,-0.32541969418525696,0.15625,0.7142857313156128,0.6748585104942322,0
sentence-transformers/sentence-t5-base,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,461,74295bd1e6b4,4,0.9742648005485535,0.7391887307167053,-0.30866751074790955,0.01666666753590107,0.5714285969734192,0.5206381678581238,0
sentence-transformers/sentence-t5-base,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,824,b2b3f57d7c91,5,0.9773960113525391,0.7344139218330383,-0.49262702465057373,0.145454540848732,0.7142857313156128,0.45632249116897583,0
sentence-transformers/sentence-t5-base,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4420,6bc76a3eb886,6,0.9485775828361511,0.7463321089744568,-0.033453866839408875,0.015625,0.7142857313156128,0.45632249116897583,0
sentence-transformers/sentence-t5-base,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,1790,2edce95010e4,7,0.8768119215965271,0.6893872022628784,-2.2273759841918945,0.014285714365541935,0.8571428656578064,0.40614983439445496,0
sentence-transformers/sentence-t5-base,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4515,4a1caf119652,8,0.9584563374519348,0.7530882358551025,0.2268400937318802,0.029411764815449715,0.7142857313156128,0.45632249116897583,0
sentence-transformers/sentence-t5-base,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,2496,f056cc76ec32,9,0.8837098479270935,0.697429358959198,-1.9175349473953247,0.014492753893136978,0.8571428656578064,0.40614983439445496,0
sentence-transformers/sentence-t5-base,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,2198,d24136be4b15,10,0.9441390037536621,0.7466249465942383,-0.022171683609485626,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/sentence-t5-base,J_char_heavy,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.5289549398422242,0.884652853012085,4.9232258796691895,0.23999999463558197,0.5,1.0,1
sentence-transformers/sentence-t5-base,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,1.4028375911712647,0.8612399697303772,4.063077449798584,0.17241379618644714,0.75,0.8359322547912598,1
sentence-transformers/sentence-t5-base,J_char_heavy,1,06d678da6c8d,prepare procedural documents,1702,6b306e6c84b1,3,1.3535995054244996,0.8363687992095947,3.1493542194366455,0.27272728085517883,1.0,0.7181130647659302,1
sentence-transformers/sentence-t5-base,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4311,dad8075f10c2,4,1.1519065666198731,0.8340372443199158,3.06369686126709,0.10526315867900848,0.5714285969734192,0.5047074556350708,1
sentence-transformers/sentence-t5-base,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,5,1.1998676824569703,0.8429921865463257,3.392685890197754,0.11290322244167328,0.6666666865348816,0.560200035572052,1
sentence-transformers/sentence-t5-base,J_char_heavy,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,6,1.2241562175750733,0.8425486087799072,3.376389503479004,0.19512194395065308,0.6666666865348816,0.560200035572052,1
sentence-transformers/sentence-t5-base,J_char_heavy,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,7,1.173605399131775,0.8061919212341309,2.040708303451538,0.12962962687015533,0.6666666865348816,0.560200035572052,1
sentence-transformers/sentence-t5-base,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4310,506583358173,8,1.1298529672622681,0.8106414675712585,2.204176902770996,0.09803921729326248,0.5714285969734192,0.5047074556350708,1
sentence-transformers/sentence-t5-base,J_char_heavy,1,06d678da6c8d,prepare procedural documents,233,81861c829fa0,9,0.8526721167564392,0.8009548187255859,1.84830641746521,0.13953489065170288,1.0,0.0,1
sentence-transformers/sentence-t5-base,J_char_heavy,1,06d678da6c8d,prepare procedural documents,2093,bc30fde7977a,10,0.8369838166236877,0.7925299406051636,1.5387910604476929,0.1111111119389534,1.0,0.0,1
sentence-transformers/sentence-t5-base,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,1.452458577156067,0.8586888909339905,3.648521900177002,0.1034482792019844,0.23076923191547394,1.0,1
sentence-transformers/sentence-t5-base,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3310,1b5b70c37d4d,2,1.3282709884643555,0.794519305229187,1.6196633577346802,0.05319149047136307,0.23076923191547394,0.9090558886528015,1
sentence-transformers/sentence-t5-base,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1719,2af2d91166d4,3,1.3114105033874512,0.7906153798103333,1.4962323904037476,0.08791209012269974,0.23076923191547394,0.8691253662109375,1
sentence-transformers/sentence-t5-base,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4045,3837c62f004b,4,1.2260303068161011,0.7871891260147095,1.3879040479660034,0.06542056053876877,0.38461539149284363,0.730104386806488,1
sentence-transformers/sentence-t5-base,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4130,a7c4c4994d02,5,1.2697068023681641,0.8686175346374512,3.962437152862549,0.10989011079072952,0.23076923191547394,0.6781270503997803,1
sentence-transformers/sentence-t5-base,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1694,d6c8c0983834,6,1.0923678874969482,0.7099205255508423,-1.0551077127456665,0.0,0.23076923191547394,0.7956615686416626,0
sentence-transformers/sentence-t5-base,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",447,0dbbcd9e85e6,7,1.335205512046814,0.8202255964279175,2.432422637939453,0.0833333358168602,0.23076923191547394,0.8691253662109375,1
