model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.053547191619873,0.5385709404945374,4.702530860900879,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3211,bf363c434df6,2,0.4984691023826599,0.3345351219177246,2.4765191078186035,0.0,0.6363636255264282,0.26207441091537476,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,3,0.5635845065116882,0.23222361505031586,1.3603100776672363,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,1844,3e122c78f945,4,0.3865613520145416,0.34224504232406616,2.560633659362793,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,5,0.3864055573940277,0.1480945497751236,0.4424697458744049,0.0,0.5714285969734192,0.5206381678581238,0
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,2449,b23da12a1f47,6,0.46958868503570556,0.21048195660114288,1.1231105327606201,0.0,0.7142857313156128,0.45632249116897583,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3844,9d3455eb929f,7,0.38906492590904235,0.33886533975601196,2.52376127243042,0.0,0.8571428656578064,0.0,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,4855,0e550c83c7ff,8,0.47632368206977843,0.4397392272949219,3.62428617477417,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3595,8639c05835d2,9,0.3929395854473114,0.34895896911621094,2.6338818073272705,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,2206,2d6089baf90f,10,0.49753652811050414,0.4620685577392578,3.8678970336914062,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.0746752500534058,0.5242195129394531,4.74448299407959,0.3333333432674408,0.5,1.0,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,3956,915401041266,2,0.39450700879096984,0.3457968533039093,2.7466347217559814,0.0,0.800000011920929,0.0,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,3,0.9114465594291687,0.44239693880081177,3.8282928466796875,0.25,0.75,0.8359322547912598,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4355,3df3fc1e4e70,4,0.38128023147583007,0.33292657136917114,2.602522611618042,0.0,0.75,0.0,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,1207,cde3daee3654,5,0.3942637026309967,0.34554073214530945,2.7437667846679688,0.0,0.800000011920929,0.0,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,6,0.5839829921722413,0.24760662019252777,1.6471710205078125,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,2857,c5e2c93f8e5c,7,0.4131128370761871,0.36643457412719727,2.9777207374572754,0.0,0.75,0.0,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4310,506583358173,8,0.4617057144641876,0.20482881367206573,1.1681759357452393,0.1428571492433548,0.5714285969734192,0.5047074556350708,0
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,9,0.6226014494895935,0.345901757478714,2.747809410095215,0.1428571492433548,0.6666666865348816,0.560200035572052,0
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4931,053909c2795a,10,0.3828423202037811,0.33457088470458984,2.620934247970581,0.0,0.75,0.0,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,1.0538571357727051,0.5313656330108643,3.818218946456909,0.2222222238779068,0.23076923191547394,1.0,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1719,2af2d91166d4,2,0.8094282031059266,0.3617962598800659,2.1771020889282227,0.10000000149011612,0.23076923191547394,0.8691253662109375,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3215,d4793dfe8103,3,0.6651202440261841,0.35177189111709595,2.080085039138794,0.0833333358168602,0.5384615659713745,0.6744468212127686,0
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4130,a7c4c4994d02,4,0.8858971476554871,0.5327627658843994,3.831740617752075,0.10000000149011612,0.23076923191547394,0.6781270503997803,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2216,7f54b0ad802f,5,0.7724130034446717,0.4344690442085266,2.8804397583007812,0.10000000149011612,0.23076923191547394,0.6334490180015564,1
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",619,724f875fd92b,6,0.7205915331840516,0.47504499554634094,3.273139715194702,0.10000000149011612,0.23076923191547394,0.43262994289398193,1
