model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-MiniLM-L6-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.9878328919410706,0.5385709404945374,4.702530860900879,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4058,74fe0528c27f,2,0.6614784598350525,0.36138075590133667,2.769402503967285,0.1111111119389534,0.8571428656578064,0.6006578207015991,0
sentence-transformers/all-MiniLM-L6-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3211,bf363c434df6,3,0.5231707572937012,0.3345351219177246,2.4765191078186035,0.0,0.6363636255264282,0.26207441091537476,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,1844,3e122c78f945,4,0.43227564096450805,0.34224504232406616,2.560633659362793,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4855,0e550c83c7ff,5,0.5106094062328339,0.4397392272949219,3.62428617477417,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,2449,b23da12a1f47,6,0.4810992956161499,0.21048195660114288,1.1231105327606201,0.0,0.7142857313156128,0.45632249116897583,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3844,9d3455eb929f,7,0.4576363444328308,0.33886533975601196,2.52376127243042,0.0,0.8571428656578064,0.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,1207,cde3daee3654,8,0.5346595525741578,0.43497997522354126,3.5723631381988525,0.0,0.7142857313156128,0.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3595,8639c05835d2,9,0.4386538743972778,0.34895896911621094,2.6338818073272705,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4073,9a99b459aa08,10,0.49143853783607483,0.2772289514541626,1.8513140678405762,0.0,1.0,0.36591723561286926,0
sentence-transformers/all-MiniLM-L6-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.0146751880645752,0.5242195129394531,4.74448299407959,0.3333333432674408,0.5,1.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,0.8878533720970154,0.44239693880081177,3.8282928466796875,0.25,0.75,0.8359322547912598,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,3956,915401041266,3,0.4585070192813873,0.3457968533039093,2.7466347217559814,0.0,0.800000011920929,0.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,4,0.5812963128089905,0.24760662019252777,1.6471710205078125,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,5,0.6199147701263428,0.345901757478714,2.747809410095215,0.1428571492433548,0.6666666865348816,0.560200035572052,0
sentence-transformers/all-MiniLM-L6-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,1702,6b306e6c84b1,6,0.8278314352035523,0.4068335294723511,3.430079221725464,0.20000000298023224,1.0,0.7181130647659302,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,4934,52d43cc4e31c,7,0.47707735300064086,0.37060773372650146,3.024448871612549,0.0,0.75,0.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,8,0.6743036985397339,0.3455091416835785,2.743412971496582,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,4355,3df3fc1e4e70,9,0.44128023386001586,0.33292657136917114,2.602522611618042,0.0,0.75,0.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,3044,f8e5c752972c,10,0.49568848609924315,0.39019837975502014,3.2438111305236816,0.0,0.75,0.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,0.9723187565803528,0.5313656330108643,3.818218946456909,0.2222222238779068,0.23076923191547394,1.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3891,6579f5e89913,2,0.8134605169296265,0.5811189413070679,4.29973840713501,0.0833333358168602,0.4615384638309479,0.4245058596134186,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3215,d4793dfe8103,3,0.6407524943351746,0.35177189111709595,2.080085039138794,0.0833333358168602,0.5384615659713745,0.6744468212127686,0
sentence-transformers/all-MiniLM-L6-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5211,4da88cffef86,4,0.6978365659713746,0.38675281405448914,2.418635368347168,0.10000000149011612,0.23076923191547394,0.6781270503997803,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",619,724f875fd92b,5,0.6957901597023011,0.47504499554634094,3.273139715194702,0.10000000149011612,0.23076923191547394,0.43262994289398193,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3303,8dee13915ca0,6,0.781354832649231,0.5740447044372559,4.231273174285889,0.07692307978868484,0.6153846383094788,0.3116838037967682,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",447,0dbbcd9e85e6,7,0.762411105632782,0.38435816764831543,2.3954596519470215,0.10000000149011612,0.23076923191547394,0.8691253662109375,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2936,50c9c563c764,8,0.8015804171562195,0.512417197227478,3.6348330974578857,0.10000000149011612,0.23076923191547394,0.6334490180015564,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4561,7dbb7909a0ac,9,0.7187813997268677,0.46491581201553345,3.175107955932617,0.0833333358168602,0.4615384638309479,0.4694025218486786,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3963,91bd8992e298,10,0.7152652621269227,0.5222392082214355,3.7298920154571533,0.0833333358168602,0.38461539149284363,0.32574233412742615,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3215,d4793dfe8103,1,0.9563019156455994,0.49754273891448975,3.132322311401367,0.10000000149011612,0.6363636255264282,1.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3331,bd1098fcfc05,2,0.8154761075973511,0.4367799460887909,2.5975229740142822,0.1111111119389534,0.3636363744735718,0.8341408967971802,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3978,6918d9132472,3,0.8932945013046265,0.4749189615249634,2.9332008361816406,0.125,0.27272728085517883,0.9709965586662292,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4558,7b0342e1d11a,4,0.7392529726028443,0.4758014380931854,2.940967559814453,0.09090909361839294,0.5454545617103577,0.47004103660583496,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4311,dad8075f10c2,5,0.7339860081672669,0.4449988603591919,2.669861316680908,0.10000000149011612,0.6363636255264282,0.5074306130409241,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4828,0207b591a5d5,6,0.849759864807129,0.45145776867866516,2.7267086505889893,0.125,0.27272728085517883,0.910292387008667,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,2686,2e522a60ddc9,7,0.6710468411445618,0.3039616346359253,1.4285328388214111,0.1111111119389534,0.3636363744735718,0.7819926142692566,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,2899,02494e9ed104,8,0.8460358262062073,0.5542749166488647,3.631646156311035,0.1111111119389534,0.3636363744735718,0.6025394201278687,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,1607,6544768291be,9,0.8029566884040833,0.4791528284549713,2.9704647064208984,0.125,0.27272728085517883,0.7013967037200928,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4310,506583358173,10,0.6705522418022156,0.38014039397239685,2.0990142822265625,0.09090909361839294,0.6363636255264282,0.5074306130409241,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1607,6544768291be,1,0.8428359508514405,0.5037736296653748,3.728245496749878,0.125,0.30000001192092896,0.7407174110412598,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1555,5f8ae87ccde0,2,0.758536982536316,0.301383912563324,1.7021496295928955,0.1111111119389534,0.5,1.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3872,4e4ff7039f22,3,0.7795784950256348,0.3923657536506653,2.6129565238952637,0.125,0.30000001192092896,0.8623746037483215,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1929,17803db9ce31,4,0.734870719909668,0.42296454310417175,2.919276714324951,0.125,0.30000001192092896,0.6515839695930481,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3603,d590836dad8c,5,0.745039451122284,0.3194967806339264,1.8834750652313232,0.10000000149011612,0.6000000238418579,0.8900499939918518,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",4558,7b0342e1d11a,6,0.752185869216919,0.47396522760391235,3.429837703704834,0.09090909361839294,0.6000000238418579,0.49639177322387695,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3215,d4793dfe8103,7,0.7970208406448365,0.42883366346359253,2.978031635284424,0.10000000149011612,0.699999988079071,0.7132254838943481,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3925,35c1bebe9ccc,8,0.6370873928070069,0.3748157322406769,2.437265634536743,0.09090909361839294,0.6000000238418579,0.4366590082645416,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3214,38264b2c039c,9,0.6288007974624634,0.3450394868850708,2.1391797065734863,0.06666667014360428,0.8333333134651184,0.44099047780036926,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",180,1984ba551855,10,0.5431400418281556,0.36435666680336,2.3325612545013428,0.0,0.625,0.2414320707321167,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,5,abdac161e57b,design medical devices or appliances,1421,c88a10398d0d,1,1.1347406387329102,0.7571675777435303,7.089978218078613,0.20000000298023224,0.5,0.7869473099708557,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,5,abdac161e57b,design medical devices or appliances,4412,a558f59f975e,2,1.0645236253738404,0.5275688171386719,4.561254024505615,0.4000000059604645,0.8333333134651184,1.0,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,5,abdac161e57b,design medical devices or appliances,1295,6fcebac7e736,3,0.7250825643539429,0.43894416093826294,3.585171699523926,0.20000000298023224,0.5,0.4802444577217102,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,5,abdac161e57b,design medical devices or appliances,3448,e4f3b5639229,4,1.005521285533905,0.5986940860748291,5.344604015350342,0.20000000298023224,0.5,0.8478910326957703,1
sentence-transformers/all-MiniLM-L6-v2,E_diversity,5,abdac161e57b,design medical devices or appliances,4318,856b865d27ae,5,0.7700404405593873,0.37327247858047485,2.8618857860565186,0.20000000298023224,0.5,0.7869473099708557,1
