model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.5769397020339966,0.5769397020339966,4.801148891448975,0.1666666716337204,0.4285714328289032,1.0,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,319,c185ddac8b5a,2,0.48915576934814453,0.48915576934814453,3.9441330432891846,0.0,0.2857142984867096,0.0,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,42,02d9739e2d83,3,0.4866372346878052,0.4866372346878052,3.9195451736450195,0.0,0.4285714328289032,0.0,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3611,a9cf3208589d,4,0.48156386613845825,0.48156386613845825,3.8700149059295654,0.0,0.4285714328289032,0.0,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4880,995c33174219,5,0.47541874647140503,0.47541874647140503,3.81002140045166,0.0,0.5714285969734192,0.0,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,5297,c91a5c4b0bdb,6,0.46299034357070923,0.46299034357070923,3.688685655593872,0.0,0.4285714328289032,0.0,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4062,f5cd1e11c87f,7,0.4520571827888489,0.4520571827888489,3.5819473266601562,0.0,0.4285714328289032,0.0,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4838,53dd4fb611bb,8,0.4496878385543823,0.4496878385543823,3.5588159561157227,0.0,0.5714285969734192,0.0,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3612,4a2adc186b51,9,0.4489331841468811,0.4489331841468811,3.5514485836029053,0.0,0.4285714328289032,0.0,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,396,d0d62d040f36,10,0.43061894178390503,0.43061894178390503,3.372650384902954,0.0,0.5714285969734192,0.0,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,0.611723005771637,0.611723005771637,4.552754878997803,0.3333333432674408,0.5,1.0,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,1702,6b306e6c84b1,2,0.5970849394798279,0.5970849394798279,4.415365219116211,0.20000000298023224,1.0,0.7181130647659302,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,3,0.528112530708313,0.528112530708313,3.768004894256592,0.25,0.75,0.8359322547912598,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,758,077b37efd178,4,0.49566301703453064,0.49566301703453064,3.4634406566619873,0.0,1.0,0.0,0
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,1303,a796f929350d,5,0.4897759258747101,0.4897759258747101,3.4081857204437256,0.0,0.75,0.0,0
