model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.198343276977539,0.49665042757987976,3.2373032569885254,0.1666666716337204,0.4285714328289032,1.0,0
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,4515,4a1caf119652,2,0.6922612357139587,0.2604787349700928,0.9928949475288391,0.0,0.7142857313156128,0.45632249116897583,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,3,0.7464125919342041,0.2880270779132843,1.2546948194503784,0.0,0.5714285969734192,0.5206381678581238,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,824,b2b3f57d7c91,4,0.5651552677154541,0.2050599455833435,0.466234028339386,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,5,0.7219475507736206,0.18013885617256165,0.22940166294574738,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,2198,d24136be4b15,6,0.6267445683479309,0.2775179445743561,1.1548235416412354,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,3762,3f9e06094af7,7,0.5628256797790527,0.22683119773864746,0.673132598400116,0.0,0.8571428656578064,0.40614983439445496,0
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,2449,b23da12a1f47,8,0.5764777064323425,0.2183804214000702,0.5928223729133606,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,3229,095a703ccc5d,9,0.47570629596710207,0.41511663794517517,2.462463855743408,0.0,0.4285714328289032,0.0,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,0,d52ebdd6c51c,train personnel on proper operational procedures,461,74295bd1e6b4,10,0.5456687211990356,0.1459754854440689,-0.0952627956867218,0.0,0.5714285969734192,0.5206381678581238,0
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.402426438331604,0.5950114727020264,4.141520977020264,0.3333333432674408,0.5,1.0,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,1,06d678da6c8d,prepare procedural documents,4310,506583358173,2,0.6246491074562073,0.21839958429336548,0.6831380128860474,0.1428571492433548,0.5714285969734192,0.5047074556350708,0
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,3,1.2233145999908448,0.5096023082733154,3.3572187423706055,0.25,0.75,0.8359322547912598,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,4,0.689894573688507,0.1385347545146942,-0.05025137588381767,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,1,06d678da6c8d,prepare procedural documents,3213,e73f40d83ac6,5,0.5068484413623809,0.4629589319229126,2.9288980960845947,0.0,0.3333333432674408,0.0,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,1,06d678da6c8d,prepare procedural documents,2894,cf18143d1067,6,0.5132649111747741,0.39207637310028076,2.277991771697998,0.0,1.0,0.0,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,7,0.9004395771026611,0.38623476028442383,2.224348783493042,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,1,06d678da6c8d,prepare procedural documents,3270,8b34e22b3caa,8,0.5193318891525268,0.399213969707489,2.3435356616973877,0.0,1.0,0.0,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,9,0.7967898845672607,0.3640138506889343,2.020296812057495,0.1428571492433548,0.6666666865348816,0.560200035572052,0
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,1,06d678da6c8d,prepare procedural documents,4311,dad8075f10c2,10,0.7338989973068237,0.3413265347480774,1.8119618892669678,0.1666666716337204,0.5714285969734192,0.5047074556350708,0
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,1.2554086017608643,0.4798673987388611,2.9513957500457764,0.2222222238779068,0.23076923191547394,1.0,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5212,4560445c4d7f,2,0.9095143246650695,0.3667629361152649,1.96235990524292,0.10000000149011612,0.23076923191547394,0.6781270503997803,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3310,1b5b70c37d4d,3,0.9107912349700927,0.1780884563922882,0.3125062882900238,0.10000000149011612,0.23076923191547394,0.9090558886528015,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1719,2af2d91166d4,4,1.0104277300834656,0.32819175720214844,1.625076413154602,0.10000000149011612,0.23076923191547394,0.8691253662109375,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4045,3837c62f004b,5,0.9366514253616333,0.3417060971260071,1.7432518005371094,0.0833333358168602,0.38461539149284363,0.730104386806488,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1607,6544768291be,6,0.9412437844276428,0.38571304082870483,2.128068208694458,0.10000000149011612,0.23076923191547394,0.7004439830780029,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2978,c05f6c233521,7,0.9689166116714477,0.37749049067497253,2.056166410446167,0.1111111119389534,0.1538461595773697,0.7577754855155945,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",988,3b90c12a006f,8,0.8622625041007995,0.38297271728515625,2.1041054725646973,0.09090909361839294,0.3076923191547394,0.582549512386322,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2912,65b13af81036,9,0.926222698688507,0.36804109811782837,1.973536729812622,0.10000000149011612,0.23076923191547394,0.7004439830780029,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",144,c5c6e125b314,10,0.7947911190986633,0.3705710470676422,1.9956597089767456,0.03703703731298447,0.4333333373069763,0.4986642599105835,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3215,d4793dfe8103,1,1.355981903076172,0.5792301893234253,3.126361846923828,0.10000000149011612,0.6363636255264282,1.0,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3978,6918d9132472,2,1.2728799152374268,0.5422466993331909,2.8266239166259766,0.125,0.27272728085517883,0.9709965586662292,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,1694,d6c8c0983834,3,0.7061230540275574,0.1425054669380188,-0.41313591599464417,0.0,0.27272728085517883,0.7967438697814941,0
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4828,0207b591a5d5,4,0.8863257765769958,0.23158639669418335,0.30883315205574036,0.125,0.27272728085517883,0.910292387008667,0
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4590,5d45850c5baa,5,1.0623166728019715,0.4020402729511261,1.6903008222579956,0.125,0.27272728085517883,0.8404425382614136,1
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,2912,65b13af81036,6,0.9632783699035644,0.4000329077243805,1.6740318536758423,0.125,0.27272728085517883,0.7013967037200928,1
