q_idx,q_text,rank,score,sim,z,jacc,lenpen,bm25,mnn,cand_idx,cand_label,cand_text,score2,sim2,margin_top1_top2,delta_sim_top1_top2,accepted,near_threshold
3,confer with technical personnel to prepare designs or operational plans,1,1.77216988747137,0.7708336114883423,4.234505653381348,0.2727272808551788,0.0,0.99530758268517,1,62,c6d9ce80244c,confer with other personnel to resolve design or operational problems,0.8273913979634459,0.4967421293258667,0.9447784895079242,0.2740914821624756,True,False
4,"communicate technical information to suppliers, contractors, or regulatory agencies",1,1.7966666954755783,0.6778684854507446,2.734858512878418,0.1666666716337204,0.0,1.0,1,142,c71cb5036aef,"coordinate activities with suppliers, contractors, clients, or other departments",0.6641827759305501,0.5079770088195801,1.1324839195450283,0.16989147663116455,True,False
6,research engineering aspects of biological or chemical processes,1,1.7458839476688266,0.7239991426467896,3.987388610839844,0.375,0.0911607617303137,1.0,1,206,c32f9f13a109,research microbiological or chemical processes or structures,0.8548098598930531,0.4445118904113769,0.8910740877757735,0.27948725223541265,True,False
8,develop operational methods or processes that use green materials or emphasize sustainability,1,1.276469513871424,0.7074658274650574,2.762479305267334,0.0714285746216774,0.34657354027998,0.2791607921593588,1,94,832ecabbf00a,develop sustainable business strategies or practices,1.2357933264152734,0.6691981554031372,0.04067618745615054,0.038267672061920166,True,False
10,create models of engineering designs or methods,1,1.7616999980195016,0.7523037195205688,4.018455505371094,0.2857142984867096,0.1115717506571105,1.0,1,131,c3b47654a283,create physical models or prototypes,1.3461776999608848,0.6488814353942871,0.41552229805861685,0.10342228412628174,True,False
11,maintain operational records or records systems,1,1.5798046514651325,0.6588859558105469,3.322334051132202,0.4000000059604645,0.2554127452163465,1.0,1,43,61355ce7e829,maintain personnel records,0.9742650349643844,0.5915248394012451,0.6055396165007481,0.06736111640930176,True,False
12,supervise engineering or other technical personnel,1,1.718842850266263,0.8258953094482422,4.124668598175049,0.5,0.1115717506571105,1.0,1,184,389dd43f303d,supervise scientific or technical personnel,0.3645289796937557,0.3948873281478882,1.3543138705725073,0.431007981300354,True,False
15,prepare detailed work plans,1,1.4372791329391017,0.5581607818603516,1.9813358783721924,0.125,0.1115717506571105,0.7623573517492219,1,61,dc17b84d2d6b,review technical documents to plan work,1.367713696230016,0.5774686336517334,0.06956543670908566,-0.019307851791381836,True,False
23,conduct environmental audits,1,1.607419478121214,0.6597373485565186,3.174933671951294,0.1428571492433548,0.2554127452163465,0.7593316466988533,1,152,fbe465293a7d,monitor activities affecting environmental quality,0.962004093553736,0.3927043676376343,0.6454153845674782,0.2670329809188843,True,False
36,analyze data to inform operational decisions or activities,1,1.550185246823585,0.7539279460906982,2.940676689147949,0.5714285969734192,0.0911607617303137,1.0,1,119,b729f6985724,analyze data to inform personnel decisions,0.5327743272178597,0.5013934969902039,1.0174109196057253,0.2525344491004944,True,False
45,evaluate quality of materials or products,1,1.718842850266263,0.8100920915603638,3.911606788635254,0.5,0.1115717506571105,1.0,1,190,c2a2570c95d4,test quality of materials or finished products,1.042568314903561,0.612822413444519,0.676274535362702,0.19726967811584473,True,False
46,"develop operating strategies, plans, or procedures",1,1.658137067936467,0.7770426869392395,3.752742528915405,0.2857142984867096,0.1115717506571105,0.8520529570242366,1,48,23ca56c5d573,develop organizational methods or procedures,0.5046457066723607,0.459842324256897,1.1534913612641065,0.31720036268234253,True,False
57,determine operational methods,1,1.7356159291543058,0.5952144861221313,2.831916332244873,0.4000000059604645,0.1438409945592359,1.0,1,140,f07eaef01260,determine operational criteria or specifications,1.2540998811383706,0.5291544198989868,0.4815160480159353,0.06606006622314453,True,False
155,design structures or facilities,1,1.1864088330197802,0.5355067253112793,1.640923023223877,0.1428571492433548,0.2554127452163465,0.915841584158416,1,193,adb21e5e1a03,inspect condition or functioning of facilities or equipment,1.1156159273661663,0.7213293313980103,0.07079290565361385,-0.18582260608673096,True,True
163,collaborate with others to develop or refine designs,1,1.699525466619289,0.5628097057342529,2.391599655151367,0.1000000014901161,0.0911607617303137,1.0,1,183,ff9c96c6d776,collaborate on research activities with scientists or technical specialists,1.4183392572159583,0.523105263710022,0.2811862094033306,0.03970444202423096,True,False
