model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.6488311290740967,0.3607358932495117,3.3631303310394287,0.1666666716337204,0.4285714328289032,1.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,3211,bf363c434df6,2,0.3788512647151947,0.2815144956111908,2.3741064071655273,0.0,0.6363636255264282,0.26207441091537476,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,3,0.3894459009170532,0.23071494698524475,1.7399094104766846,0.0,0.5714285969734192,0.5206381678581238,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,4,0.5008412003517151,0.2839123010635376,2.4040415287017822,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,2479,8cee47cceb1c,5,0.45343339443206787,0.43200480937957764,4.252873420715332,0.0,0.4285714328289032,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,398,f60c11ff2b62,6,0.38005906343460083,0.3514876365661621,3.2476723194122314,0.0,0.5714285969734192,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,2450,59d676f6659f,7,0.4330558478832245,0.3901987075805664,3.7309532165527344,0.0,0.8571428656578064,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,2539,8657d3271db0,8,0.3996334373950958,0.36391913890838623,3.4028711318969727,0.0,0.7142857313156128,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,751,2a63b9d3beeb,9,0.3980879783630371,0.34808796644210815,3.2052297592163086,0.0,1.0,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,3212,d8505c1983d9,10,0.3806634843349457,0.34884530305862427,3.2146847248077393,0.0,0.6363636255264282,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,0.9100017547607422,0.6016684174537659,5.553860664367676,0.3333333432674408,0.5,1.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,1,06d678da6c8d,prepare procedural documents,4310,506583358173,2,0.5326163172721863,0.3635823130607605,2.6739563941955566,0.1428571492433548,0.5714285969734192,0.5047074556350708,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,1,06d678da6c8d,prepare procedural documents,80,5402ba93471c,3,0.4724898338317871,0.42248982191085815,3.386505365371704,0.0,1.0,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,1,06d678da6c8d,prepare procedural documents,3006,a912f5be80d2,4,0.4478174149990082,0.41031742095947266,3.239267349243164,0.0,0.75,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,1,06d678da6c8d,prepare procedural documents,1089,766934966e97,5,0.4447380602359772,0.3947380483150482,3.0508182048797607,0.0,1.0,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,1,06d678da6c8d,prepare procedural documents,529,876a8f680ffb,6,0.47034111618995667,0.43284112215042114,3.5117154121398926,0.0,0.75,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,1,06d678da6c8d,prepare procedural documents,2899,02494e9ed104,7,0.5151098966598511,0.4651098847389221,3.9020402431488037,0.0,1.0,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,1,06d678da6c8d,prepare procedural documents,4791,baded3c66d4d,8,0.4459032416343689,0.41256991028785706,3.2665135860443115,0.0,0.6666666865348816,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,1,06d678da6c8d,prepare procedural documents,3473,622bfb61ce83,9,0.5357884764671326,0.485788494348526,4.152170181274414,0.0,1.0,0.0,0
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,1,06d678da6c8d,prepare procedural documents,4311,dad8075f10c2,10,0.6193855404853821,0.44797056913375854,3.6947219371795654,0.1666666716337204,0.5714285969734192,0.5047074556350708,0
